# param=ns z=4.2 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/sobolev/refit/z4.2/pareto_ns.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,9.101224,0.3476922866116743,0.0007497613707126953,48,False,True
18,9.441854,0.3787071184410323,0.0016484042043239837,48,False,True
17,10.026624,0.37315932132112584,0.0013447353231145292,48,False,True
16,11.0915985,0.2962522540915289,0.0019721417014795083,48,False,True
15,11.32767,0.3160850959912387,0.0026342695655098597,48,False,True
14,12.7287855,0.2637933219952139,0.008022023459338948,48,False,True
13,13.275106,0.4308282038393215,0.0022752724959566903,48,False,True
12,14.308266,0.37502348298911486,0.006438931613911324,48,False,True
11,18.316792,0.4207523511832251,0.007610076318782285,48,False,True
10,22.58426,0.4818376405587348,0.004709963456516077,48,False,True
9,25.830748,0.3147104964703755,0.007550133593334864,48,False,True
8,34.49474,0.33947663887506035,0.004449988813764619,48,False,True
7,42.212784,0.5684384045830282,0.0069153699879215755,48,False,True
6,46.680603,0.9339467131841874,0.002352659540664686,48,False,True
5,48.81811,0.7027333828667794,0.006451821208012596,48,False,True
4,53.906273,0.8536360038986095,0.0050921334448109775,48,False,True
3,57.174217,0.9296069894438184,0.0024768866504458645,48,False,True
2,59.492104,0.42108353801648696,0.0030711926682870615,48,False,True
