Complexity,Loss,Equation,score,sympy_format,lambda_format
1,144.8338,x0,0.0,x0,PySRFunction(X=>x0)
2,139.63005,exp(x0),0.03659045308323225,exp(x0),PySRFunction(X=>exp(x0))
3,108.42883,x0 * 3.6125145,0.2529024119890694,x0*3.6125145,PySRFunction(X=>x0*3.6125145)
4,107.62312,log(x0 + 0.10825521),0.007458518519274188,log(x0 + 0.10825521),PySRFunction(X=>log(x0 + 0.10825521))
5,92.64519,"aq(-6.6204495, square(exp(x0)))",0.14985845896343178,-6.6204495/sqrt(exp(4*x0) + 1),PySRFunction(X=>-6.6204495/sqrt(exp(4*x0) + 1))
6,86.33069,exp(x1 - x0) * -4.2195644,0.07059188076942283,exp(-x0 + x1)*(-4.2195644),PySRFunction(X=>exp(-x0 + x1)*(-4.2195644))
7,85.969986,x0 - square(exp(x2 - x0)),0.004186919463242603,x0 - exp(-2*x0 + 2*x2),PySRFunction(X=>x0 - exp(-2*x0 + 2*x2))
8,72.401474,(exp(x1 - x0) * x2) * -7.153238,0.17177157703838594,exp(-x0 + x1)*x2*(-7.153238),PySRFunction(X=>exp(-x0 + x1)*x2*(-7.153238))
9,61.203552,square(exp(x2 * (x1 - x0))) * -3.5120182,0.16802143125069213,exp(2*x2*(-x0 + x1))*(-3.5120182),PySRFunction(X=>exp(2*x2*(-x0 + x1))*(-3.5120182))
11,57.650272,(square(exp(x2 * (x1 - x0))) * -3.6924207) + 1.9675155,0.02990513110959635,1.9675155 + exp(2*x2*(-x0 + x1))*(-3.6924207),PySRFunction(X=>1.9675155 + exp(2*x2*(-x0 + x1))*(-3.6924207))
12,56.15982,(log(x2) + square(exp(x2 * (x1 - x0)))) * -3.6977618,0.02619341024634969,-3.6977618*exp(2*x2*(-x0 + x1)) - 3.6977618*log(x2),PySRFunction(X=>-3.6977618*exp(2*x2*(-x0 + x1)) - 3.6977618*log(x2))
13,55.10229,x0 - square(exp((x2 * (0.5226773 - (x1 * -1.2170721))) - x0)),0.019010278490423266,x0 - exp(-2*x0 + 2*x2*(0.5226773 - (-1.2170721)*x1)),PySRFunction(X=>x0 - exp(-2*x0 + 2*x2*(0.5226773 - (-1.2170721)*x1)))
14,27.5421,"x0 - square(square(x0 - exp(aq(x2, (x1 * 9.567507) - 7.9051085))))",0.6934755329770617,x0 - (x0 - exp(x2/sqrt((x1*9.567507 - 1*7.9051085)**2 + 1)))**4,PySRFunction(X=>x0 - (x0 - exp(x2/sqrt((x1*9.567507 - 1*7.9051085)**2 + 1)))**4)
15,20.679283,"x0 - square(exp(aq(x2 * 2.1734924, 8.329679 - (x1 * 10.077025)) - x0))",0.286583365257444,x0 - exp(-2*x0 + 4.3469848*x2/sqrt((8.329679 - 10.077025*x1)**2 + 1)),PySRFunction(X=>x0 - exp(-2*x0 + 4.3469848*x2/sqrt((8.329679 - 10.077025*x1)**2 + 1)))
16,20.13046,"x0 - square(exp(aq(exp(x2) * x2, 8.975531 - (x1 * 10.863366)) - x0))",0.026898287003201574,x0 - exp(-2*x0 + 2*x2*exp(x2)/sqrt((8.975531 - 10.863366*x1)**2 + 1)),PySRFunction(X=>x0 - exp(-2*x0 + 2*x2*exp(x2)/sqrt((8.975531 - 10.863366*x1)**2 + 1)))
17,16.603851,"x0 - square(exp(aq(x2 * 2.161185, 12.4365015 - (x1 * 15.095446)) - x0) + x2)",0.19259943444682295,x0 - (x2 + exp(-x0 + 2.161185*x2/sqrt((12.4365015 - 15.095446*x1)**2 + 1)))**2,PySRFunction(X=>x0 - (x2 + exp(-x0 + 2.161185*x2/sqrt((12.4365015 - 15.095446*x1)**2 + 1)))**2)
18,15.419258,"x0 - square(x2 + exp((x2 * aq(exp(x2), 13.520992 - (x1 * 16.428148))) - x0))",0.07401740875740062,x0 - (x2 + exp(-x0 + x2*(exp(x2)/sqrt((13.520992 - 16.428148*x1)**2 + 1))))**2,PySRFunction(X=>x0 - (x2 + exp(-x0 + x2*(exp(x2)/sqrt((13.520992 - 16.428148*x1)**2 + 1))))**2)
19,15.154984,"aq(x0 - square(exp(aq(x2 * 2.299545, (x1 * 12.769525) - 10.555342) - x0) + x2), x1)",0.017287792899826952,(x0 - (x2 + exp(-x0 + 2.299545*x2/sqrt((x1*12.769525 - 1*10.555342)**2 + 1)))**2)/sqrt(x1**2 + 1),PySRFunction(X=>(x0 - (x2 + exp(-x0 + 2.299545*x2/sqrt((x1*12.769525 - 1*10.555342)**2 + 1)))**2)/sqrt(x1**2 + 1))
20,14.771809,"square(x1 - x0) - square(exp((x2 * (aq(1.6671824, (x1 * 13.835794) - 11.424391) - -0.58642614)) - x0))",0.02560888771262468,(-x0 + x1)**2 - exp(-2*x0 + 2*x2*(-1*(-0.58642614) + 1.6671824/sqrt((x1*13.835794 - 1*11.424391)**2 + 1))),PySRFunction(X=>(-x0 + x1)**2 - exp(-2*x0 + 2*x2*(-1*(-0.58642614) + 1.6671824/sqrt((x1*13.835794 - 1*11.424391)**2 + 1))))
