Complexity,Loss,Equation,score,sympy_format,lambda_format
1,50.4569,-2.0320554,0.0,-2.03205540000000,PySRFunction(X=>-2.03205540000000)
3,38.515083,x0 * -1.737167,0.13503478785936243,x0*(-1.737167),PySRFunction(X=>x0*(-1.737167))
4,33.676422,exp(x0 * -4.750292),0.13425198223077264,exp(x0*(-4.750292)),PySRFunction(X=>exp(x0*(-4.750292)))
5,30.092972,(x0 + -2.7202718) * x0,0.11250629245629477,x0*(x0 - 2.7202718),PySRFunction(X=>x0*(x0 - 2.7202718))
6,22.996689,log(x0 + x2) * -2.2219665,0.26894140707540737,-2.2219665*log(x0 + x2),PySRFunction(X=>-2.2219665*log(x0 + x2))
7,12.481469,"aq(-4.486008, log(x0 + square(x2)))",0.6111051846971431,-4.486008/sqrt(log(x0 + x2**2)**2 + 1),PySRFunction(X=>-4.486008/sqrt(log(x0 + x2**2)**2 + 1))
8,10.075165,"aq(-3.693505, log(x0 + (-0.37271613 + x2)))",0.21417157947767454,-3.693505/sqrt(log(x0 + x2 - 0.37271613)**2 + 1),PySRFunction(X=>-3.693505/sqrt(log(x0 + x2 - 0.37271613)**2 + 1))
9,5.5444674,square(log(x2 * (x2 + x0))) + -2.707364,0.5972729191766144,log(x2*(x0 + x2))**2 - 2.707364,PySRFunction(X=>log(x2*(x0 + x2))**2 - 2.707364)
10,4.586571,"-3.9847963 - log(x2 + aq(-0.39672348, x0 + 0.071511894))",0.1896678796318173,-log(x2 - 0.39672348/sqrt((x0 + 0.071511894)**2 + 1)) - 3.9847963,PySRFunction(X=>-log(x2 - 0.39672348/sqrt((x0 + 0.071511894)**2 + 1)) - 3.9847963)
11,4.14748,"aq(-6.449419, aq(log(square(x2) + x0), x2)) + 3.9082034",0.10063176517262816,3.9082034 - 6.449419/sqrt(1 + log(x0 + x2**2)**2/(x2**2 + 1)),PySRFunction(X=>3.9082034 - 6.449419/sqrt(1 + log(x0 + x2**2)**2/(x2**2 + 1)))
12,3.5930965,"aq(-5.990007, x0) + exp((3.27121 - (x2 * 2.9457402)) - x0)",0.14348655533906554,exp(-x0 - 2.9457402*x2 + 3.27121) - 5.990007/sqrt(x0**2 + 1),PySRFunction(X=>exp(-x0 - 2.9457402*x2 + 3.27121) - 5.990007/sqrt(x0**2 + 1))
13,2.387214,"exp((4.411237 - (x2 * 6.1674056)) - aq(x0, square(x0))) + -4.5373797",0.4088873699283647,exp(-x0/sqrt(x0**4 + 1) - 6.1674056*x2 + 4.411237) - 4.5373797,PySRFunction(X=>exp(-x0/sqrt(x0**4 + 1) - 6.1674056*x2 + 4.411237) - 4.5373797)
14,1.8150772,"(x0 + exp((3.553509 - (x2 * 3.4825537)) - aq(x0, x0))) + -6.190121",0.27399899437385566,x0 + exp(-x0/sqrt(x0**2 + 1) - 3.4825537*x2 + 3.553509) - 6.190121,PySRFunction(X=>x0 + exp(-x0/sqrt(x0**2 + 1) - 3.4825537*x2 + 3.553509) - 6.190121)
15,0.6987162,"(x0 + exp((3.5546112 - (x2 * 3.5536573)) - aq(x0, square(x0)))) + -5.998102",0.9546386290233311,x0 + exp(-x0/sqrt(x0**4 + 1) - 3.5536573*x2 + 3.5546112) - 5.998102,PySRFunction(X=>x0 + exp(-x0/sqrt(x0**4 + 1) - 3.5536573*x2 + 3.5546112) - 5.998102)
17,0.6264959,"(x0 + exp((3.5603385 - (x2 * 3.505896)) - aq(x0, square(x0) + 0.11553369))) + -6.141685",0.05455121059265217,x0 + exp(-x0/sqrt((x0**2 + 0.11553369)**2 + 1) - 3.505896*x2 + 3.5603385) - 6.141685,PySRFunction(X=>x0 + exp(-x0/sqrt((x0**2 + 0.11553369)**2 + 1) - 3.505896*x2 + 3.5603385) - 6.141685)
18,0.5819715,"(x0 + exp((3.562907 - (x2 * 3.4777663)) - aq(x0, square(exp(x0 + -0.91735774))))) + -6.243443",0.07372075256076517,x0 + exp(-x0/sqrt(0.0254909712026455*exp(4*x0) + 1) - 3.4777663*x2 + 3.562907) - 6.243443,PySRFunction(X=>x0 + exp(-x0/sqrt(0.0254909712026455*exp(4*x0) + 1) - 3.4777663*x2 + 3.562907) - 6.243443)
19,0.5766577,"((x0 + exp((3.5603385 - (x2 * 3.505896)) - aq(x0, square(x0) + 0.11553369))) - x1) + -5.9067397",0.009172627890370677,x0 - x1 + exp(-x0/sqrt((x0**2 + 0.11553369)**2 + 1) - 3.505896*x2 + 3.5603385) - 5.9067397,PySRFunction(X=>x0 - x1 + exp(-x0/sqrt((x0**2 + 0.11553369)**2 + 1) - 3.505896*x2 + 3.5603385) - 5.9067397)
20,0.5252418,"(exp((3.5893345 - (x2 * 3.6853821)) - aq(x0, square(exp(x0 + -0.81413305)))) + (x0 * x2)) + -5.8601575",0.0933901215801482,x0*x2 + exp(-x0/sqrt(0.0385217523937109*exp(4*x0) + 1) - 3.6853821*x2 + 3.5893345) - 5.8601575,PySRFunction(X=>x0*x2 + exp(-x0/sqrt(0.0385217523937109*exp(4*x0) + 1) - 3.6853821*x2 + 3.5893345) - 5.8601575)
