# param=heref z=2.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/value/refit/z2.6/pareto_heref.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.34945613,0.49869110846835873,0.00011957846482232035,48,False,True
19,0.3644679,0.5547813854988557,0.00012982235866061228,48,False,True
18,0.37949687,0.5517747759949797,0.0001306666349245101,48,False,True
17,0.4181321,0.41928102238016224,0.00014930437791093497,48,False,True
16,0.4226711,0.5598545979313345,0.00013407430786156472,48,False,True
15,0.464307,0.263043748121938,0.00016111680548525694,48,False,True
13,0.51709783,0.27481526952777485,0.0001643832459965929,48,False,True
12,0.810761,0.14913986420785258,0.00034312238328885005,48,True,True
11,0.9143272,0.1521940352347912,0.00036328470717205487,48,True,True
10,0.96438783,0.23446884920901612,0.00037051093661728736,48,True,True
9,1.036408,0.22101482267931377,0.0003709750884102881,48,True,True
