# param=omegamh2 z=2.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/value/refit/z2.6/pareto_omegamh2.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
19,0.8856096,0.08140637567384812,4.6491672212725356e-05,48,True,True
18,0.90234,0.08511208737943077,4.6976330291569315e-05,48,True,True
17,0.91485626,0.07655155427922711,4.728265263447995e-05,48,True,True
16,0.9495457,0.08194984594079163,4.6527263996933984e-05,48,True,True
15,0.9508434,0.08357743065970569,4.7342437702304355e-05,48,True,True
13,1.0542934,0.12124607332488174,4.578830003569351e-05,48,True,True
12,1.3873782,0.10455636121529777,5.35731529131145e-05,48,True,True
11,1.4955804,0.3839481974410175,6.351082223545769e-05,48,False,True
10,1.8528163,0.3468715407809597,7.099993634227309e-05,48,False,True
9,1.933032,0.2613107622597056,6.983990500002137e-05,48,False,True
7,2.070857,0.37821464845006725,8.73791279585863e-05,48,False,True
6,2.8322608,0.789773381231317,0.00012289581152491412,48,False,True
