Complexity,Loss,Equation,score,sympy_format,lambda_format
1,9.576094,-2.2859793,0.0,-2.28597930000000,PySRFunction(X=>-2.28597930000000)
3,6.440617,x2 * -4.572117,0.19832272071712032,x2*(-4.572117),PySRFunction(X=>x2*(-4.572117))
4,4.7469125,log(0.81075007 - x2),0.3051299362754739,log(0.81075007 - x2),PySRFunction(X=>log(0.81075007 - x2))
5,4.3503,(x2 * -11.429337) + 4.5715494,0.08724959846514127,4.5715494 + x2*(-11.429337),PySRFunction(X=>4.5715494 + x2*(-11.429337))
7,3.7907455,"(x2 * -11.885533) + aq(5.535518, x0)",0.0688410533208966,x2*(-11.885533) + 5.535518/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-11.885533) + 5.535518/sqrt(x0**2 + 1))
8,3.6761508,1.5325823 - square((x1 - -2.8268528) * x2),0.03069647509507756,1.5325823 - x2**2*(x1 - 1*(-2.8268528))**2,PySRFunction(X=>1.5325823 - x2**2*(x1 - 1*(-2.8268528))**2)
9,3.3180876,"(x2 * -11.98479) + aq(6.18312, x0 + x1)",0.10247763363655604,x2*(-11.98479) + 6.18312/sqrt((x0 + x1)**2 + 1),PySRFunction(X=>x2*(-11.98479) + 6.18312/sqrt((x0 + x1)**2 + 1))
10,3.1902714,"aq((x2 + -0.39999154) * -17.89655, log(x1 - -0.106803894))",0.039282601318695494,(7.158468595187 - 17.89655*x2)/sqrt(log(x1 + 0.106803894)**2 + 1),PySRFunction(X=>(7.158468595187 - 17.89655*x2)/sqrt(log(x1 + 0.106803894)**2 + 1))
11,1.6056596,"aq(16.49832 - (x2 * 41.248272), 7.919093 - exp(exp(x1)))",0.6865713536569207,(16.49832 - 41.248272*x2)/sqrt((7.919093 - exp(exp(x1)))**2 + 1),PySRFunction(X=>(16.49832 - 41.248272*x2)/sqrt((7.919093 - exp(exp(x1)))**2 + 1))
13,1.1893708,"aq(17.944906 - (x2 * 41.413918), 7.9465933 - exp(exp(x1))) - x0",0.1500551050475793,-x0 + (17.944906 - 41.413918*x2)/sqrt((7.9465933 - exp(exp(x1)))**2 + 1),PySRFunction(X=>-x0 + (17.944906 - 41.413918*x2)/sqrt((7.9465933 - exp(exp(x1)))**2 + 1))
15,1.0764656,"aq(19.17342 - (x2 * 41.51608), 7.963733 - exp(exp(x1))) + (x0 * -1.8571954)",0.049870672947489696,x0*(-1.8571954) + (19.17342 - 41.51608*x2)/sqrt((7.963733 - exp(exp(x1)))**2 + 1),PySRFunction(X=>x0*(-1.8571954) + (19.17342 - 41.51608*x2)/sqrt((7.963733 - exp(exp(x1)))**2 + 1))
16,1.0152686,"aq(17.480272 - (x2 * 41.40154), exp(exp(x1)) - 7.938785) + (1.3907363 - exp(x0))",0.05852987387350449,(17.480272 - 41.40154*x2)/sqrt((exp(exp(x1)) - 1*7.938785)**2 + 1) - exp(x0) + 1.3907363,PySRFunction(X=>(17.480272 - 41.40154*x2)/sqrt((exp(exp(x1)) - 1*7.938785)**2 + 1) - exp(x0) + 1.3907363)
17,0.9067222,"aq(17.460367 - (x2 * 41.37979), exp(exp(x1)) - 7.9389305) - ((x0 - 0.38181126) * 2.7797499)",0.11307236826304518,(17.460367 - 41.37979*x2)/sqrt((exp(exp(x1)) - 1*7.9389305)**2 + 1) - 2.7797499*(x0 - 1*0.38181126),PySRFunction(X=>(17.460367 - 41.37979*x2)/sqrt((exp(exp(x1)) - 1*7.9389305)**2 + 1) - 2.7797499*(x0 - 1*0.38181126))
18,0.8685608,"aq(aq(19.077454 - (x2 * 48.155228), 8.0633745 - exp(exp(x1))) - (exp(x0) - 1.7799333), x1)",0.04299852975830526,((19.077454 - 48.155228*x2)/sqrt((8.0633745 - exp(exp(x1)))**2 + 1) - (exp(x0) - 1*1.7799333))/sqrt(x1**2 + 1),PySRFunction(X=>((19.077454 - 48.155228*x2)/sqrt((8.0633745 - exp(exp(x1)))**2 + 1) - (exp(x0) - 1*1.7799333))/sqrt(x1**2 + 1))
19,0.718355,"aq(aq(19.080496 - (x2 * 48.157627), 8.063275 - exp(exp(x1))) - ((x0 * 3.040888) - 1.5789078), x1)",0.18987371316006835,((19.080496 - 48.157627*x2)/sqrt((8.063275 - exp(exp(x1)))**2 + 1) - (x0*3.040888 - 1*1.5789078))/sqrt(x1**2 + 1),PySRFunction(X=>((19.080496 - 48.157627*x2)/sqrt((8.063275 - exp(exp(x1)))**2 + 1) - (x0*3.040888 - 1*1.5789078))/sqrt(x1**2 + 1))
