Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.9477519,-0.89846146,0.0,-0.898461460000000,PySRFunction(X=>-0.898461460000000)
3,1.114548,x0 * -2.2071235,0.2791134470779414,x0*(-2.2071235),PySRFunction(X=>x0*(-2.2071235))
4,1.0286298,square(x0) * -2.893498,0.08022131620052934,x0**2*(-2.893498),PySRFunction(X=>x0**2*(-2.893498))
5,0.624558,(x0 * -3.9771178) * x2,0.49893870478609204,x0*(-3.9771178)*x2,PySRFunction(X=>x0*(-3.9771178)*x2)
6,0.26985732,2.3006294 - exp(x2 + x0),0.8391508246745656,2.3006294 - exp(x0 + x2),PySRFunction(X=>2.3006294 - exp(x0 + x2))
7,0.1772537,3.2129016 - ((x2 + x0) * 3.7376),0.42031133521250136,3.2129016 - 3.7376*(x0 + x2),PySRFunction(X=>3.2129016 - 3.7376*(x0 + x2))
8,0.14830773,2.2793753 - ((square(x2) + x0) * 3.5309205),0.17829266780715458,2.2793753 - 3.5309205*(x0 + x2**2),PySRFunction(X=>2.2793753 - 3.5309205*(x0 + x2**2))
9,0.12624162,"3.1815681 - ((x0 + aq(x2, x1)) * 3.8142638)",0.16109168214345398,3.1815681 - 3.8142638*(x0 + x2/sqrt(x1**2 + 1)),PySRFunction(X=>3.1815681 - 3.8142638*(x0 + x2/sqrt(x1**2 + 1)))
10,0.08370126,"2.2702336 - ((x0 + square(aq(x2, x1))) * 3.671734)",0.41094365856928183,2.2702336 - 3.671734*(x0 + x2**2/(x1**2 + 1)),PySRFunction(X=>2.2702336 - 3.671734*(x0 + x2**2/(x1**2 + 1)))
11,0.07329155,"2.3047137 - ((x0 + square(aq(x2, square(x1)))) * 3.6395466)",0.13280870857074864,2.3047137 - 3.6395466*(x0 + x2**2/(x1**4 + 1)),PySRFunction(X=>2.3047137 - 3.6395466*(x0 + x2**2/(x1**4 + 1)))
12,0.06518309,"(square(aq(x2, x1)) * -4.1465335) - ((x0 * 3.3896585) + -2.3015473)",0.11724524310896789,(x2**2/(x1**2 + 1))*(-4.1465335) - (x0*3.3896585 - 2.3015473),PySRFunction(X=>(x2**2/(x1**2 + 1))*(-4.1465335) - (x0*3.3896585 - 2.3015473))
13,0.05930258,"(square(aq(x2, square(x1))) * -4.03517) - ((x0 + -0.68742716) * 3.3896575)",0.09454726682006223,(x2**2/(x1**4 + 1))*(-4.03517) - 3.3896575*(x0 - 0.68742716),PySRFunction(X=>(x2**2/(x1**4 + 1))*(-4.03517) - 3.3896575*(x0 - 0.68742716))
14,0.045255024,"(square(square(aq(x2, square(x1)))) * -5.186811) - ((x0 + -0.5398322) * 3.389685)",0.27033912103865093,(x2**4/(x1**4 + 1)**2)*(-5.186811) - 3.389685*(x0 - 0.5398322),PySRFunction(X=>(x2**4/(x1**4 + 1)**2)*(-5.186811) - 3.389685*(x0 - 0.5398322))
15,0.041655228,"(aq(x2 * -1.4700842, (x1 * 2.066761) - 0.53375643) - (x0 + -1.0267017)) * 3.3896596",0.08288680866265191,(-1.4700842*x2/sqrt((x1*2.066761 - 1*0.53375643)**2 + 1) - (x0 - 1.0267017))*3.3896596,PySRFunction(X=>(-1.4700842*x2/sqrt((x1*2.066761 - 1*0.53375643)**2 + 1) - (x0 - 1.0267017))*3.3896596)
16,0.022877224,"(aq(x2, (exp(x2) * x1) - 0.5580871) * -5.239733) - ((x0 * 3.389651) + -3.6204114)",0.599285052465132,(x2/sqrt((x1*exp(x2) - 1*0.5580871)**2 + 1))*(-5.239733) - (x0*3.389651 - 3.6204114),PySRFunction(X=>(x2/sqrt((x1*exp(x2) - 1*0.5580871)**2 + 1))*(-5.239733) - (x0*3.389651 - 3.6204114))
17,0.01947924,"((x2 * aq(-1.563752, (0.19570884 - (x1 * x2)) * 2.8133178)) - (x0 + -1.0804962)) * 3.3896601",0.16079254739975807,(x2*(-1.563752/sqrt(7.91475704379684*(0.19570884 - x1*x2)**2 + 1)) - (x0 - 1.0804962))*3.3896601,PySRFunction(X=>(x2*(-1.563752/sqrt(7.91475704379684*(0.19570884 - x1*x2)**2 + 1)) - (x0 - 1.0804962))*3.3896601)
18,0.015911411,"((aq(-1.6824976, (x1 - 0.25532648) * (square(x2) * 3.4764514)) * x2) - (x0 + -1.1646972)) * 3.3894696",0.20231275830151976,(x2*(-1.6824976/sqrt(12.085714336562*x2**4*(x1 - 1*0.25532648)**2 + 1)) - (x0 - 1.1646972))*3.3894696,PySRFunction(X=>(x2*(-1.6824976/sqrt(12.085714336562*x2**4*(x1 - 1*0.25532648)**2 + 1)) - (x0 - 1.1646972))*3.3894696)
