Complexity,Loss,Equation,score,sympy_format,lambda_format
1,6.883781,-2.17943,0.0,-2.17943000000000,PySRFunction(X=>-2.17943000000000)
3,4.0338216,x2 * -4.3588004,0.26722692524242997,x2*(-4.3588004),PySRFunction(X=>x2*(-4.3588004))
4,2.5257027,log(0.8126371 - x2),0.46819489341932397,log(0.8126371 - x2),PySRFunction(X=>log(0.8126371 - x2))
5,2.1338494,4.3588715 - (x2 * 10.897175),0.1685917423466736,4.3588715 - 10.897175*x2,PySRFunction(X=>4.3588715 - 10.897175*x2)
6,2.1275578,"square(aq(x2, x1)) * -7.2009807",0.0029528295589669063,(x2**2/(x1**2 + 1))*(-7.2009807),PySRFunction(X=>(x2**2/(x1**2 + 1))*(-7.2009807))
7,1.5583597,"4.5237346 - aq(x2 * 11.766634, x1)",0.3113409554184516,4.5237346 - 11.766634*x2/sqrt(x1**2 + 1),PySRFunction(X=>4.5237346 - 11.766634*x2/sqrt(x1**2 + 1))
8,1.3942634,"square(aq(x2, x1) + -0.36468226) * -27.364119",0.11126754657223872,(x2/sqrt(x1**2 + 1) - 0.36468226)**2*(-27.364119),PySRFunction(X=>(x2/sqrt(x1**2 + 1) - 0.36468226)**2*(-27.364119))
9,1.036408,"(aq(x2, x1) * -12.180014) - aq(-5.4349976, x0)",0.2966053584398313,(x2/sqrt(x1**2 + 1))*(-12.180014) - (-1)*5.4349976/sqrt(x0**2 + 1),PySRFunction(X=>(x2/sqrt(x1**2 + 1))*(-12.180014) - (-1)*5.4349976/sqrt(x0**2 + 1))
10,0.96438783,"(aq(x2, x1) * -11.926598) + exp(aq(1.7242692, x0))",0.07202264070329979,(x2/sqrt(x1**2 + 1))*(-11.926598) + exp(1.7242692/sqrt(x0**2 + 1)),PySRFunction(X=>(x2/sqrt(x1**2 + 1))*(-11.926598) + exp(1.7242692/sqrt(x0**2 + 1)))
11,0.9143272,"aq(aq(x2 * -13.340543, x1) - -15.816482, x0) - 9.41676",0.05330503271923037,-1*9.41676 + (-13.340543*x2/sqrt(x1**2 + 1) - 1*(-15.816482))/sqrt(x0**2 + 1),PySRFunction(X=>-1*9.41676 + (-13.340543*x2/sqrt(x1**2 + 1) - 1*(-15.816482))/sqrt(x0**2 + 1))
12,0.810761,"aq((square(aq(x2, x1)) * -11.636636) - -12.440419, x0) - 9.416459",0.1202151814834057,-1*9.416459 + ((x2**2/(x1**2 + 1))*(-11.636636) - 1*(-12.440419))/sqrt(x0**2 + 1),PySRFunction(X=>-1*9.416459 + ((x2**2/(x1**2 + 1))*(-11.636636) - 1*(-12.440419))/sqrt(x0**2 + 1))
13,0.51709783,"aq((x2 * -16.272432) - aq(-7.5304427, x0), (x1 * -5.805911) + 1.1976575)",0.4497412298666309,(x2*(-16.272432) - (-1)*7.5304427/sqrt(x0**2 + 1))/sqrt((1.1976575 + x1*(-5.805911))**2 + 1),PySRFunction(X=>(x2*(-16.272432) - (-1)*7.5304427/sqrt(x0**2 + 1))/sqrt((1.1976575 + x1*(-5.805911))**2 + 1))
15,0.464307,"aq((x2 * -16.355564) - aq(-7.5284004, x0), x2 * ((x1 * -7.4733458) + 1.5474372))",0.053843055770792944,(x2*(-16.355564) - (-1)*7.5284004/sqrt(x0**2 + 1))/sqrt(x2**2*(1.5474372 + x1*(-7.4733458))**2 + 1),PySRFunction(X=>(x2*(-16.355564) - (-1)*7.5284004/sqrt(x0**2 + 1))/sqrt(x2**2*(1.5474372 + x1*(-7.4733458))**2 + 1))
16,0.4226711,"aq((x2 * -14.720804) - aq(-7.295763, x0), square((x1 + -0.23415478) * -4.7703347)) - x0",0.09395163613836986,-x0 + (x2*(-14.720804) - (-1)*7.295763/sqrt(x0**2 + 1))/sqrt(517.839775452573*(x1 - 0.23415478)**4 + 1),PySRFunction(X=>-x0 + (x2*(-14.720804) - (-1)*7.295763/sqrt(x0**2 + 1))/sqrt(517.839775452573*(x1 - 0.23415478)**4 + 1))
17,0.4181321,"(aq((x2 * -15.492548) - aq(-6.4311566, x0), (x1 * -5.4062667) + 1.1306977) - x0) + 0.91375685",0.010796923926706755,-x0 + (x2*(-15.492548) - (-1)*6.4311566/sqrt(x0**2 + 1))/sqrt((1.1306977 + x1*(-5.4062667))**2 + 1) + 0.91375685,PySRFunction(X=>-x0 + (x2*(-15.492548) - (-1)*6.4311566/sqrt(x0**2 + 1))/sqrt((1.1306977 + x1*(-5.4062667))**2 + 1) + 0.91375685)
18,0.37949687,"aq((x2 * -14.769135) - aq(-7.2585163, x0), square(x2 * ((x1 + -0.23415922) * -6.0892143))) - x0",0.09695106219899916,-x0 + (x2*(-14.769135) - (-1)*7.2585163/sqrt(x0**2 + 1))/sqrt(1374.8174456432*x2**4*(x1 - 0.23415922)**4 + 1),PySRFunction(X=>-x0 + (x2*(-14.769135) - (-1)*7.2585163/sqrt(x0**2 + 1))/sqrt(1374.8174456432*x2**4*(x1 - 0.23415922)**4 + 1))
19,0.3644679,"aq((x2 * -14.750063) - aq(-7.2253647, x0), square((square(x2) * -7.7023654) * (x1 + -0.23254733))) - x0",0.04040786738027015,-x0 + (x2*(-14.750063) - (-1)*7.2253647/sqrt(x0**2 + 1))/sqrt(3519.62562344744*x2**8*(x1 - 0.23254733)**4 + 1),PySRFunction(X=>-x0 + (x2*(-14.750063) - (-1)*7.2253647/sqrt(x0**2 + 1))/sqrt(3519.62562344744*x2**8*(x1 - 0.23254733)**4 + 1))
20,0.34945613,"aq(((x2 * -14.926966) - 2.2917283) - aq(-9.380672, x0), square((-1.4088601 - aq(x1 * -6.5308447, x1)) * x2))",0.042060450106304964,(x2*(-14.926966) - 1*2.2917283 - (-1)*9.380672/sqrt(x0**2 + 1))/sqrt(x2**4*(-(-1)*6.5308447*x1/sqrt(x1**2 + 1) - 1.4088601)**4 + 1),PySRFunction(X=>(x2*(-14.926966) - 1*2.2917283 - (-1)*9.380672/sqrt(x0**2 + 1))/sqrt(x2**4*(-(-1)*6.5308447*x1/sqrt(x1**2 + 1) - 1.4088601)**4 + 1))
