Complexity,Loss,Equation,score,sympy_format,lambda_format
1,17.748043,-3.8073213,0.0,-3.80732130000000,PySRFunction(X=>-3.80732130000000)
3,9.0509815,x2 * -7.6143374,0.3367010257260143,x2*(-7.6143374),PySRFunction(X=>x2*(-7.6143374))
4,3.687197,log(0.80041385 - x2),0.8980066560715881,log(0.80041385 - x2),PySRFunction(X=>log(0.80041385 - x2))
5,3.2529387,(x2 * -19.036823) + 7.614849,0.12530774562852107,7.614849 + x2*(-19.036823),PySRFunction(X=>7.614849 + x2*(-19.036823))
6,2.8322608,log(0.80041385 - x2) + x0,0.13848354118290085,x0 + log(0.80041385 - x2),PySRFunction(X=>x0 + log(0.80041385 - x2))
7,2.070857,"7.4460998 - (aq(x2, x0) * 21.29372)",0.31311273072613277,7.4460998 - 21.29372*x2/sqrt(x0**2 + 1),PySRFunction(X=>7.4460998 - 21.29372*x2/sqrt(x0**2 + 1))
9,1.933032,"7.679332 - aq(x2 * 20.89416, x0 - x1)",0.03443638829660822,7.679332 - 20.89416*x2/sqrt((x0 - x1)**2 + 1),PySRFunction(X=>7.679332 - 20.89416*x2/sqrt((x0 - x1)**2 + 1))
10,1.8528163,"7.608259 - aq(x2 * 21.13709, x0 - square(x1))",0.042382948814020424,7.608259 - 21.13709*x2/sqrt((x0 - x1**2)**2 + 1),PySRFunction(X=>7.608259 - 21.13709*x2/sqrt((x0 - x1**2)**2 + 1))
11,1.4955804,"(x2 * aq(aq(-22.763115, x0), x1 - 0.4598924)) + 7.5900397",0.21419244692689235,x2*(-22.763115/(sqrt(x0**2 + 1)*sqrt((x1 - 1*0.4598924)**2 + 1))) + 7.5900397,PySRFunction(X=>x2*(-22.763115/(sqrt(x0**2 + 1)*sqrt((x1 - 1*0.4598924)**2 + 1))) + 7.5900397)
12,1.3873782,"(x0 - square(x2 * aq(-1.969505, x1 + -0.4670998))) * 4.4060984",0.07509857992518437,(x0 - 3.878949945025*x2**2/((x1 - 0.4670998)**2 + 1))*4.4060984,PySRFunction(X=>(x0 - 3.878949945025*x2**2/((x1 - 0.4670998)**2 + 1))*4.4060984)
13,1.0542934,"(x0 - square(aq(x2 * -2.0979578, 1.6503948 - exp(x1)))) * 4.31912",0.27454499949805106,(x0 - 4.40142693058084*x2**2/((1.6503948 - exp(x1))**2 + 1))*4.31912,PySRFunction(X=>(x0 - 4.40142693058084*x2**2/((1.6503948 - exp(x1))**2 + 1))*4.31912)
15,0.9508434,"x2 * ((x0 - square(aq(-2.0195575, exp(x1) - 1.6512452) * x2)) * 6.014629)",0.05163833913462449,x2*(x0 - 4.07861249580625*x2**2/((exp(x1) - 1*1.6512452)**2 + 1))*6.014629,PySRFunction(X=>x2*(x0 - 4.07861249580625*x2**2/((exp(x1) - 1*1.6512452)**2 + 1))*6.014629)
16,0.9495457,"aq((x0 - square(aq(-2.0580053, 1.6509345 - exp(x1)) * x2)) * 4.6785975, log(x2))",0.0013657205271330624,(4.6785975*x0 - 19.8156654847902*x2**2/((1.6509345 - exp(x1))**2 + 1))/sqrt(log(x2)**2 + 1),PySRFunction(X=>(4.6785975*x0 - 19.8156654847902*x2**2/((1.6509345 - exp(x1))**2 + 1))/sqrt(log(x2)**2 + 1))
17,0.91485626,"((x0 - square(x2 * aq(-1.936297, exp(x1) - 1.6511279))) * x2) * (x0 + 6.298455)",0.03721669965018569,x2*(x0 + 6.298455)*(x0 - 3.749246072209*x2**2/((exp(x1) - 1*1.6511279)**2 + 1)),PySRFunction(X=>x2*(x0 + 6.298455)*(x0 - 3.749246072209*x2**2/((exp(x1) - 1*1.6511279)**2 + 1)))
18,0.90234,"((x2 * (x0 - square(aq(-2.321672, 1.6530443 - exp(x1)) * x2))) * 4.4248133) + square(x0)",0.0137755708673882,x0**2 + x2*(x0 - 5.390160875584*x2**2/((1.6530443 - exp(x1))**2 + 1))*4.4248133,PySRFunction(X=>x0**2 + x2*(x0 - 5.390160875584*x2**2/((1.6530443 - exp(x1))**2 + 1))*4.4248133)
19,0.8856096,"(aq(x0, x1) - square(x2 * aq(1.8684214, exp(x1) - 1.6100016))) * ((x0 + 6.6673) * x2)",0.01871516772750211,x2*(x0 + 6.6673)*(x0/sqrt(x1**2 + 1) - 3.49099852797796*x2**2/((exp(x1) - 1*1.6100016)**2 + 1)),PySRFunction(X=>x2*(x0 + 6.6673)*(x0/sqrt(x1**2 + 1) - 3.49099852797796*x2**2/((exp(x1) - 1*1.6100016)**2 + 1)))
