# param=alphaq z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/value/refit/z3.6/pareto_alphaq.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.29426458,0.12556534681900916,2.9062049231438493e-05,48,True,True
19,0.38629028,0.5011056091457481,3.302057741107325e-05,48,False,True
18,0.43588027,0.0908748436773601,5.3282446638933855e-05,48,True,True
17,0.6278273,0.08703389390294536,6.629303856440553e-05,48,True,True
16,1.0663134,0.1706235210719792,2.8754063916009898e-05,48,True,True
15,1.0775626,0.11270926604040976,2.7864164258082345e-05,48,True,True
14,1.1682702,0.10161208881905515,3.0053158925171168e-05,48,True,True
13,1.3663367,0.6545530452935119,5.10633443882285e-05,48,False,True
7,2.803663,0.6802231192020538,7.13985409843636e-05,48,False,True
6,3.042656,0.8294309005787849,0.00010859304138406548,48,False,True
