# param=dtau0 z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/value/refit/z3.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.0009360984,0.00854978316342575,2.082069180880336e-06,48,True,True
19,0.00093933084,0.00854987679679825,2.1292941904660553e-06,48,True,True
18,0.0009589218,0.008550250574742901,2.153747750267327e-06,48,True,True
17,0.000992971,0.008550136163644972,2.1660000597508396e-06,48,True,True
15,0.0010705697,0.008551177636183516,2.205094104752557e-06,48,True,True
14,0.001384294,0.008549991166239779,2.8687096710587136e-06,48,True,True
13,0.0017939798,0.00854985476457537,2.8391734510789365e-06,48,True,True
12,0.0019947102,0.007523464688915682,2.871466983569956e-06,48,True,True
11,0.004317512,0.029586275443572674,8.764306607695963e-06,48,True,True
9,0.019113036,0.06738667709400575,1.900267074610915e-05,48,True,True
8,0.035419814,0.014524354242274273,7.158441132600453e-05,48,True,True
7,0.048714757,0.08374087766301835,8.833425515060457e-05,48,True,True
5,0.08669644,0.04074478296682904,7.175926626346522e-05,48,True,True
4,0.51910144,0.58169111302066,0.00042517285724715415,48,False,True
3,0.8041895,0.7095447227128111,0.0009575323421538304,48,False,True
