# param=herei z=3.6 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/value/refit/z3.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.009060455,0.12126777038546577,1.292375704435034e-05,48,True,True
18,0.009672071,0.07850185016233319,1.8167166587857377e-05,48,True,True
17,0.011461242,0.10623629378770738,1.7225243972423697e-05,48,True,True
16,0.011990064,0.10128774729507184,1.6199826589948607e-05,48,True,True
14,0.0138099035,0.07309524560217606,2.3197901514198974e-05,48,True,True
13,0.016076202,0.06035052467226676,3.351007289040166e-05,48,True,True
11,0.018411981,0.07043584159980654,3.7418159044452284e-05,48,True,True
10,0.028319886,0.14109499493624889,5.7548744874252805e-05,48,True,True
9,0.037964713,0.25939372722759013,6.852586053445076e-05,48,False,True
8,0.05530647,0.13817413315160465,0.00010096104034384118,48,True,True
7,0.058822244,0.3305223820652262,8.150776474140302e-05,48,False,True
5,0.115535684,0.41872912138820106,0.000151863395754192,48,False,True
4,0.39267334,0.2166998564245804,0.0002666788666733366,48,True,True
3,0.6062867,0.5149572576236955,0.0006525550362369547,48,False,True
