# param=tau0 z=3.6 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/value/refit/z3.6/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,6.213689e-05,0.0055006517213208594,3.536167182493157e-06,48,True,True
18,7.8301964e-05,0.004918075867602512,4.0269810109541946e-06,48,True,True
16,0.000103464794,0.005255296704823775,5.668718564943983e-06,48,True,True
15,0.0002211099,0.005121631476908917,8.348638611910991e-06,48,True,True
14,0.00045733195,0.021382391024199754,1.727109341387364e-05,48,True,True
13,0.0005746314,0.021045129102510607,1.991912444629915e-05,48,True,True
12,0.00067050237,0.03021826605810707,2.267663790369973e-05,48,True,True
11,0.0014123064,0.020404590556714675,8.266339461916691e-05,48,True,True
10,0.0014425201,0.029777042714733526,8.372502964510063e-05,48,True,True
8,0.0030527103,0.08323051971582718,0.0001411461699596948,48,True,True
7,0.01091461,0.029505826868571283,0.00041737495716764856,48,True,True
6,0.010914823,0.029995076924181796,0.0004173273838770561,48,True,True
5,0.014097689,0.08503553350157711,0.0005308090191057748,48,True,True
4,0.28200287,0.3719013254062458,0.010001950999331589,48,False,True
3,0.5178297,0.6817947906083224,0.018235478604680888,48,False,True
2,0.721443,0.5672409152273322,0.02822782135202664,48,False,True
1,0.87462705,0.6817947906083224,0.03462998846246365,48,False,True
