Complexity,Loss,Equation,score,sympy_format,lambda_format
1,25.033514,-4.6854033,0.0,-4.68540330000000,PySRFunction(X=>-4.68540330000000)
3,11.861688,x2 * -9.371143,0.3734508882638811,x2*(-9.371143),PySRFunction(X=>x2*(-9.371143))
4,4.7487397,log(0.80041385 - x2),0.9154344540666097,log(0.80041385 - x2),PySRFunction(X=>log(0.80041385 - x2))
5,3.0804708,(x2 * -23.427298) - -9.370956,0.4327968140786284,x2*(-23.427298) - 1*(-9.370956),PySRFunction(X=>x2*(-23.427298) - 1*(-9.370956))
7,1.7788242,"(x2 * aq(-24.587833, x1)) - -9.321631",0.2745649291038527,x2*(-24.587833/sqrt(x1**2 + 1)) - 1*(-9.321631),PySRFunction(X=>x2*(-24.587833/sqrt(x1**2 + 1)) - 1*(-9.321631))
8,1.4631166,"aq((x2 * -38.327595) + 15.331126, exp(x1))",0.19538376612888092,(15.331126 + x2*(-38.327595))/sqrt(exp(2*x1) + 1),PySRFunction(X=>(15.331126 + x2*(-38.327595))/sqrt(exp(2*x1) + 1))
9,1.4036133,"aq((x2 * -26.936285) + 10.77444, x1 * 2.0585272)",0.04151897779417804,(10.77444 + x2*(-26.936285))/sqrt(4.23753423313984*x1**2 + 1),PySRFunction(X=>(10.77444 + x2*(-26.936285))/sqrt(4.23753423313984*x1**2 + 1))
10,1.3561981,"aq((x2 * -38.327488) + 16.12362, exp(x1)) - x0",0.03436457002279762,-x0 + (16.12362 + x2*(-38.327488))/sqrt(exp(2*x1) + 1),PySRFunction(X=>-x0 + (16.12362 + x2*(-38.327488))/sqrt(exp(2*x1) + 1))
11,1.273519,"aq((x2 * -27.10583) + 11.398598, x1 * 2.1613462) - x0",0.06290133545408301,-x0 + (11.398598 + x2*(-27.10583))/sqrt(4.67141739625444*x1**2 + 1),PySRFunction(X=>-x0 + (11.398598 + x2*(-27.10583))/sqrt(4.67141739625444*x1**2 + 1))
13,1.2434204,"aq((x2 * -38.31413) + 14.469137, exp(x1)) - log(x0 + 0.16134162)",0.011958982746864627,(14.469137 - 38.31413*x2)/sqrt(exp(2*x1) + 1) - log(x0 + 0.16134162),PySRFunction(X=>(14.469137 - 38.31413*x2)/sqrt(exp(2*x1) + 1) - log(x0 + 0.16134162))
14,1.1978236,"aq((x2 * -35.80499) + 13.464413, exp(x1)) - log(square(x2) + x0)",0.037359725902930296,(13.464413 - 35.80499*x2)/sqrt(exp(2*x1) + 1) - log(x0 + x2**2),PySRFunction(X=>(13.464413 - 35.80499*x2)/sqrt(exp(2*x1) + 1) - log(x0 + x2**2))
15,1.1339061,"aq((x2 * -35.355946) + 12.718182, exp(x1)) - log((x0 + x2) - 0.37774572)",0.05483784579827676,(12.718182 - 35.355946*x2)/sqrt(exp(2*x1) + 1) - log(x0 + x2 - 0.37774572),PySRFunction(X=>(12.718182 - 35.355946*x2)/sqrt(exp(2*x1) + 1) - log(x0 + x2 - 0.37774572))
17,1.0920482,"aq(((x2 * -35.364174) + x0) + 12.218028, exp(x1)) - log(x0 + square(square(x2)))",0.018806691050774656,-log(x0 + x2**4) + (x0 - 35.364174*x2 + 12.218028)/sqrt(exp(2*x1) + 1),PySRFunction(X=>-log(x0 + x2**4) + (x0 - 35.364174*x2 + 12.218028)/sqrt(exp(2*x1) + 1))
18,1.0736157,"aq((square(x0) + (x2 * -35.366085)) + 12.382449, exp(x1)) - log(x0 + square(square(x2)))",0.01702290471841577,-log(x0 + x2**4) + (x0**2 - 35.366085*x2 + 12.382449)/sqrt(exp(2*x1) + 1),PySRFunction(X=>-log(x0 + x2**4) + (x0**2 - 35.366085*x2 + 12.382449)/sqrt(exp(2*x1) + 1))
19,1.0637187,"aq((x0 + 12.288913) + (x2 * -35.59672), exp(x1)) - log(x0 + square(square(aq(x2, x1))))",0.009261134558600411,-log(x0 + x2**4/(x1**2 + 1)**2) + (x0 - 35.59672*x2 + 12.288913)/sqrt(exp(2*x1) + 1),PySRFunction(X=>-log(x0 + x2**4/(x1**2 + 1)**2) + (x0 - 35.59672*x2 + 12.288913)/sqrt(exp(2*x1) + 1))
20,1.0464255,"aq(((x2 * -35.59664) + square(x0)) + 12.4523325, exp(x1)) - log(square(square(aq(x2, x1))) + x0)",0.016390905575804287,-log(x0 + x2**4/(x1**2 + 1)**2) + (x0**2 - 35.59664*x2 + 12.4523325)/sqrt(exp(2*x1) + 1),PySRFunction(X=>-log(x0 + x2**4/(x1**2 + 1)**2) + (x0**2 - 35.59664*x2 + 12.4523325)/sqrt(exp(2*x1) + 1))
