Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.0033851,-0.5203718,0.0,-0.520371800000000,PySRFunction(X=>-0.520371800000000)
3,0.6062867,x0 + -1.0203036,0.2518908429631524,x0 - 1.0203036,PySRFunction(X=>x0 - 1.0203036)
4,0.39267334,log(x0 + 0.11214584),0.43437490619630054,log(x0 + 0.11214584),PySRFunction(X=>log(x0 + 0.11214584))
5,0.115535684,(x2 - x0) * -2.910947,1.2233986356787905,(-x0 + x2)*(-2.910947),PySRFunction(X=>(-x0 + x2)*(-2.910947))
7,0.058822244,((x2 - x0) * -2.7299645) + -0.24738708,0.3375296759698394,(-x0 + x2)*(-2.7299645) - 0.24738708,PySRFunction(X=>(-x0 + x2)*(-2.7299645) - 0.24738708)
8,0.05530647,square((x2 - 1.4647789) - x0) + -2.5096972,0.06163018281094627,(-x0 + x2 - 1*1.4647789)**2 - 2.5096972,PySRFunction(X=>(-x0 + x2 - 1*1.4647789)**2 - 2.5096972)
9,0.037964713,"(x2 - (x0 - 0.10113657)) * aq(-3.3091638, x2)",0.3762327768339564,(x2 - (x0 - 1*0.10113657))*(-3.3091638/sqrt(x2**2 + 1)),PySRFunction(X=>(x2 - (x0 - 1*0.10113657))*(-3.3091638/sqrt(x2**2 + 1)))
10,0.028319886,"((x0 - x2) * square(aq(-1.9571099, x2))) - 0.3351556",0.2930928796485717,(x0 - x2)*(3.83027916067801/(x2**2 + 1)) - 1*0.3351556,PySRFunction(X=>(x0 - x2)*(3.83027916067801/(x2**2 + 1)) - 1*0.3351556)
11,0.018411981,((x0 - x2) * 2.7383275) - square(x0 + log(x2)),0.43056264937491967,2.7383275*x0 - 2.7383275*x2 - (x0 + log(x2))**2,PySRFunction(X=>2.7383275*x0 - 2.7383275*x2 - (x0 + log(x2))**2)
13,0.016076202,((x0 + -0.44173795) * 4.2905226) - square((x0 + 0.8203804) + log(x2)),0.06783077609800087,4.2905226*x0 - (x0 + log(x2) + 0.8203804)**2 - 1.89528665775267,PySRFunction(X=>4.2905226*x0 - (x0 + log(x2) + 0.8203804)**2 - 1.89528665775267)
14,0.0138099035,((0.77984524 - x2) * 5.3894577) - (square((x0 + -2.0328429) + x2) * 1.4942098),0.15195406211605975,(0.77984524 - x2)*5.3894577 - 1.4942098*(x0 + x2 - 2.0328429)**2,PySRFunction(X=>(0.77984524 - x2)*5.3894577 - 1.4942098*(x0 + x2 - 2.0328429)**2)
16,0.011990064,"aq(((0.782965 - x2) * 5.664737) - (square((x2 + x0) + -2.0476763) * 1.5454643), x1)",0.07065383645002277,((0.782965 - x2)*5.664737 - 1.5454643*(x0 + x2 - 2.0476763)**2)/sqrt(x1**2 + 1),PySRFunction(X=>((0.782965 - x2)*5.664737 - 1.5454643*(x0 + x2 - 2.0476763)**2)/sqrt(x1**2 + 1))
17,0.011461242,"aq(((0.7837064 - x2) * 5.543514) - (square(x2 + (x0 + -2.049283)) * 1.5109545), square(x1))",0.04510722442907604,((0.7837064 - x2)*5.543514 - 1.5109545*(x0 + x2 - 2.049283)**2)/sqrt(x1**4 + 1),PySRFunction(X=>((0.7837064 - x2)*5.543514 - 1.5109545*(x0 + x2 - 2.049283)**2)/sqrt(x1**4 + 1))
18,0.009672071,"aq(((0.78399825 - x2) * 5.4829636) - (square(x2 + (x0 + -2.0621352)) * 1.466229), x2 * x1)",0.16972862831453517,((0.78399825 - x2)*5.4829636 - 1.466229*(x0 + x2 - 2.0621352)**2)/sqrt(x1**2*x2**2 + 1),PySRFunction(X=>((0.78399825 - x2)*5.4829636 - 1.466229*(x0 + x2 - 2.0621352)**2)/sqrt(x1**2*x2**2 + 1))
20,0.009060455,"aq(((x0 - x2) * 2.7562983) + -0.050649077, x1) - square((x2 + 0.6823944) * (x0 + (x2 + -1.2092249)))",0.03266155725931508,-(x2 + 0.6823944)**2*(x0 + x2 - 1.2092249)**2 + ((x0 - x2)*2.7562983 - 0.050649077)/sqrt(x1**2 + 1),PySRFunction(X=>-(x2 + 0.6823944)**2*(x0 + x2 - 1.2092249)**2 + ((x0 - x2)*2.7562983 - 0.050649077)/sqrt(x1**2 + 1))
