Complexity,Loss,Equation,score,sympy_format,lambda_format
1,15.76141,-3.373763,0.0,-3.37376300000000,PySRFunction(X=>-3.37376300000000)
3,8.932042,x2 * -6.7474213,0.2839597556358309,x2*(-6.7474213),PySRFunction(X=>x2*(-6.7474213))
4,4.8111486,log(0.8013991 - x2),0.6187091863715413,log(0.8013991 - x2),PySRFunction(X=>log(0.8013991 - x2))
5,4.37913,(x2 * -16.867685) + 6.7465734,0.09408577526788203,6.7465734 + x2*(-16.867685),PySRFunction(X=>6.7465734 + x2*(-16.867685))
7,3.5198417,"(x2 * -17.201933) + aq(7.91277, x0)",0.10921702875697287,x2*(-17.201933) + 7.91277/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-17.201933) + 7.91277/sqrt(x0**2 + 1))
9,3.3153508,"aq(aq(8.340294, x0) + (x2 * -18.133476), x1)",0.02992628847382872,(x2*(-18.133476) + 8.340294/sqrt(x0**2 + 1))/sqrt(x1**2 + 1),PySRFunction(X=>(x2*(-18.133476) + 8.340294/sqrt(x0**2 + 1))/sqrt(x1**2 + 1))
10,3.1954134,"aq(7.8341455, x0) + (x2 * aq(-17.564243, square(x1)))",0.036846970929448705,x2*(-17.564243/sqrt(x1**4 + 1)) + 7.8341455/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-17.564243/sqrt(x1**4 + 1)) + 7.8341455/sqrt(x0**2 + 1))
11,2.2831686,"aq((-26.54875 * x2) + 10.619457, (x1 + -0.27898067) * -6.053462)",0.336152254112762,(10.619457 - 26.54875*x2)/sqrt(36.644402185444*(x1 - 0.27898067)**2 + 1),PySRFunction(X=>(10.619457 - 26.54875*x2)/sqrt(36.644402185444*(x1 - 0.27898067)**2 + 1))
12,1.7541777,"aq((x2 * -24.80796) + 9.923248, log((x1 * 5.423964) + 0.023949713))",0.26356401491114323,(9.923248 - 24.80796*x2)/sqrt(log(5.423964*x1 + 0.023949713)**2 + 1),PySRFunction(X=>(9.923248 - 24.80796*x2)/sqrt(log(5.423964*x1 + 0.023949713)**2 + 1))
14,1.2879099,"aq((x2 * -25.010527) + 10.669624, log((x1 * 5.538101) + 0.009319385)) - x0",0.15448976414383714,-x0 + (10.669624 - 25.010527*x2)/sqrt(log(5.538101*x1 + 0.009319385)**2 + 1),PySRFunction(X=>-x0 + (10.669624 - 25.010527*x2)/sqrt(log(5.538101*x1 + 0.009319385)**2 + 1))
15,1.2461004,"aq((x2 * -23.428026) + 9.990747, square(log((x1 * 4.7687635) - -0.1473588))) - x0",0.03300167685100047,-x0 + (9.990747 - 23.428026*x2)/sqrt(log(4.7687635*x1 + 0.1473588)**4 + 1),PySRFunction(X=>-x0 + (9.990747 - 23.428026*x2)/sqrt(log(4.7687635*x1 + 0.1473588)**4 + 1))
16,0.79745656,"aq(aq(x2 * -27.009607, x0 - 0.88242006) + 9.846855, log((x1 * 5.372095) + 0.033629782))",0.44634691099428747,(-27.009607*x2/sqrt((x0 - 0.88242006)**2 + 1) + 9.846855)/sqrt(log(5.372095*x1 + 0.033629782)**2 + 1),PySRFunction(X=>(-27.009607*x2/sqrt((x0 - 0.88242006)**2 + 1) + 9.846855)/sqrt(log(5.372095*x1 + 0.033629782)**2 + 1))
17,0.7933411,"aq((aq(x2, exp(0.042241428 - x0)) * -29.63054) + 9.883394, log((x1 * 5.372857) + 0.033556))",0.005174095090551377,(-29.63054*x2/sqrt(1 + 1.08815418875668*exp(-2*x0)) + 9.883394)/sqrt(log(5.372857*x1 + 0.033556)**2 + 1),PySRFunction(X=>(-29.63054*x2/sqrt(1 + 1.08815418875668*exp(-2*x0)) + 9.883394)/sqrt(log(5.372857*x1 + 0.033556)**2 + 1))
18,0.684223,"aq(aq(aq(x2 * -28.043362, 0.87201893 - x0) + 10.250688, log((x1 * 4.612745) + 0.03854416)), x1)",0.1479693799851705,(-28.043362*x2/sqrt((0.87201893 - x0)**2 + 1) + 10.250688)/(sqrt(x1**2 + 1)*sqrt(log(4.612745*x1 + 0.03854416)**2 + 1)),PySRFunction(X=>(-28.043362*x2/sqrt((0.87201893 - x0)**2 + 1) + 10.250688)/(sqrt(x1**2 + 1)*sqrt(log(4.612745*x1 + 0.03854416)**2 + 1)))
20,0.67429334,"x2 + aq(aq(aq(x2 * -28.8347, x0 - 0.8630302) + 9.970269, log((x1 * 4.4517045) + 0.06752499)), x1)",0.007309324548957001,x2 + (-28.8347*x2/sqrt((x0 - 0.8630302)**2 + 1) + 9.970269)/(sqrt(x1**2 + 1)*sqrt(log(4.4517045*x1 + 0.06752499)**2 + 1)),PySRFunction(X=>x2 + (-28.8347*x2/sqrt((x0 - 0.8630302)**2 + 1) + 9.970269)/(sqrt(x1**2 + 1)*sqrt(log(4.4517045*x1 + 0.06752499)**2 + 1)))
