Complexity,Loss,Equation,score,sympy_format,lambda_format
1,0.87462705,x0,0.0,x0,PySRFunction(X=>x0)
2,0.721443,square(x0),0.19254419391087413,x0**2,PySRFunction(X=>x0**2)
3,0.5178297,x0 - 0.59733325,0.33160694928826534,x0 - 1*0.59733325,PySRFunction(X=>x0 - 1*0.59733325)
4,0.28200287,exp(x0) - 1.8184814,0.6077291755345396,exp(x0) - 1*1.8184814,PySRFunction(X=>exp(x0) - 1*1.8184814)
5,0.014097689,-1.802254 - (x0 * -3.409861),2.995906364949576,-(-3.409861)*x0 - 1.802254,PySRFunction(X=>-(-3.409861)*x0 - 1.802254)
6,0.010914823,2.8936052 - square(x0 + -2.2041814),0.25588910958750694,2.8936052 - (x0 - 2.2041814)**2,PySRFunction(X=>2.8936052 - (x0 - 2.2041814)**2)
7,0.01091461,(x0 + -0.50310963) * (3.9067907 - x0),1.951493655450648e-05,(3.9067907 - x0)*(x0 - 0.50310963),PySRFunction(X=>(3.9067907 - x0)*(x0 - 0.50310963))
8,0.0030527103,"aq(-8.665885 - x2, exp(x0)) + 4.7341166",1.2740724397391419,(-x2 - 8.665885)/sqrt(exp(2*x0) + 1) + 4.7341166,PySRFunction(X=>(-x2 - 8.665885)/sqrt(exp(2*x0) + 1) + 4.7341166)
10,0.0014425201,(x2 * -0.4869494) + (3.186984 - square(x0 + -2.204524)),0.3748190827666788,x2*(-0.4869494) - (x0 - 2.204524)**2 + 3.186984,PySRFunction(X=>x2*(-0.4869494) - (x0 - 2.204524)**2 + 3.186984)
11,0.0014123064,"((aq(0.38624156, x2) + x0) + -0.8332181) * (3.906888 - x0)",0.02116754074744336,(3.906888 - x0)*(x0 - 0.8332181 + 0.38624156/sqrt(x2**2 + 1)),PySRFunction(X=>(3.906888 - x0)*(x0 - 0.8332181 + 0.38624156/sqrt(x2**2 + 1)))
12,0.00067050237,"((x2 * aq(-0.5160317, x1)) + 3.186359) - square(x0 + -2.2038307)",0.7449521542887448,x2*(-0.5160317/sqrt(x1**2 + 1)) - (x0 - 2.2038307)**2 + 3.186359,PySRFunction(X=>x2*(-0.5160317/sqrt(x1**2 + 1)) - (x0 - 2.2038307)**2 + 3.186359)
13,0.0005746314,"(3.9068916 - x0) * (x0 + (aq(0.4163058, aq(x2, x1)) + -0.8634095))",0.15429844562823428,(3.9068916 - x0)*(x0 - 0.8634095 + 0.4163058/sqrt(x2**2/(x1**2 + 1) + 1)),PySRFunction(X=>(3.9068916 - x0)*(x0 - 0.8634095 + 0.4163058/sqrt(x2**2/(x1**2 + 1) + 1)))
14,0.00045733195,"((x0 + aq(0.44912326, square(aq(x2, x1)))) + -0.9192727) * (3.9068975 - x0)",0.22831929693106218,(3.9068975 - x0)*(x0 - 0.9192727 + 0.44912326/sqrt(x2**4/(x1**2 + 1)**2 + 1)),PySRFunction(X=>(3.9068975 - x0)*(x0 - 0.9192727 + 0.44912326/sqrt(x2**4/(x1**2 + 1)**2 + 1)))
15,0.0002211099,"(x0 + (aq(0.42100367, aq(x2, x1)) + -0.87492716)) * (3.789035 - aq(x0, x0))",0.7267496318514219,(3.789035 - x0/sqrt(x0**2 + 1))*(x0 - 0.87492716 + 0.42100367/sqrt(x2**2/(x1**2 + 1) + 1)),PySRFunction(X=>(3.789035 - x0/sqrt(x0**2 + 1))*(x0 - 0.87492716 + 0.42100367/sqrt(x2**2/(x1**2 + 1) + 1)))
16,0.000103464794,"((aq(0.45419887, square(aq(x2, x1))) + -0.93142813) + x0) * (3.7890346 - aq(x0, x0))",0.7594284627300262,(3.7890346 - x0/sqrt(x0**2 + 1))*(x0 - 0.93142813 + 0.45419887/sqrt(x2**4/(x1**2 + 1)**2 + 1)),PySRFunction(X=>(3.7890346 - x0/sqrt(x0**2 + 1))*(x0 - 0.93142813 + 0.45419887/sqrt(x2**4/(x1**2 + 1)**2 + 1)))
18,7.8301964e-05,"(3.7890346 - aq(x0, x0)) * (aq(0.4472207, square(aq(x2, x1 + -0.06959486))) + (x0 + -0.9239683))",0.1393293572770622,(3.7890346 - x0/sqrt(x0**2 + 1))*(x0 - 0.9239683 + 0.4472207/sqrt(x2**4/((x1 - 0.06959486)**2 + 1)**2 + 1)),PySRFunction(X=>(3.7890346 - x0/sqrt(x0**2 + 1))*(x0 - 0.9239683 + 0.4472207/sqrt(x2**4/((x1 - 0.06959486)**2 + 1)**2 + 1)))
20,6.213689e-05,"((3.6914473 - aq(x0, x0)) * (x0 + (aq(0.4604906, square(aq(x2, x1 - 0.06964536))) + -1.0734224))) - -0.44877505",0.11561641563093492,(3.6914473 - x0/sqrt(x0**2 + 1))*(x0 - 1.0734224 + 0.4604906/sqrt(x2**4/((x1 - 1*0.06964536)**2 + 1)**2 + 1)) - 1*(-0.44877505),PySRFunction(X=>(3.6914473 - x0/sqrt(x0**2 + 1))*(x0 - 1.0734224 + 0.4604906/sqrt(x2**4/((x1 - 1*0.06964536)**2 + 1)**2 + 1)) - 1*(-0.44877505))
