# param=hireionz z=4.2 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/value/refit/z4.2/pareto_hireionz.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.20667638,0.030505521300073113,2.1895247072024816e-05,48,True,True
19,0.23567317,0.01636384743201802,6.334479406099996e-05,48,True,True
18,0.28971103,0.17847644603106655,5.850701633125221e-05,48,True,True
17,0.31856993,0.09258404677912019,9.253477654630543e-05,48,True,True
16,0.4749913,0.20957160335255287,6.634596506768704e-05,48,True,True
15,0.55250984,0.365929408525084,7.474881407609242e-05,48,False,True
14,0.65287495,0.4748795988194206,0.00030219010864918376,48,False,True
13,0.7434878,0.6400710089560374,0.0003351914664695912,48,False,True
12,0.8161422,0.4285633426408054,0.0004041316648705682,48,False,True
11,0.9141909,0.6441969098305542,0.00043691564425556146,48,False,True
10,1.1198272,0.10011272290711642,0.0001751395896574298,48,True,True
9,1.2161834,0.4581528431252936,0.0005107983460831301,48,False,True
