# param=omegamh2 z=4.2 tol=0.25 log_space=True source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/value/refit/z4.2/pareto_omegamh2.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,2.6697228,0.11867929126966881,5.59371802110347e-05,48,True,True
19,2.6852396,0.14378443273948072,5.671102073958089e-05,48,True,True
18,2.7217767,0.1055265233356848,5.723757682416393e-05,48,True,True
16,2.830497,0.18440667776295744,5.716760673532837e-05,48,True,True
14,2.9087281,0.2165703804313836,5.659503737644306e-05,48,True,True
13,3.0833151,0.5444554966753361,6.252676205332332e-05,48,False,True
12,3.221772,0.7038960728389423,7.34737948933468e-05,48,False,True
11,3.273074,0.772227748337714,7.385615722840822e-05,48,False,True
10,3.495997,0.7038960728389922,7.693304868228642e-05,48,False,True
9,3.557723,0.772227748337664,7.881811663382784e-05,48,False,True
