# param=tau0 z=4.2 tol=0.25 log_space=True git=7aa26af source=results/paper_production_20260630_perz_sobolev_z2.6-4.2/value/refit/z4.2/pareto_tau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.00034202271,0.0076495225864529615,1.6171715156771654e-05,48,True,True
19,0.00040701666,0.006344174146470372,2.0367308658903985e-05,48,True,True
18,0.00050549227,0.0048155107863032676,2.1857339589173324e-05,48,True,True
17,0.00055857876,0.006130726214712834,4.1968356282040114e-05,48,True,True
15,0.00061195454,0.009220116208727314,4.762789816973693e-05,48,True,True
14,0.00063301757,0.0019333810473561308,4.8504296993252353e-05,48,True,True
12,0.00063308224,0.0015488967610934878,4.8513647671817193e-05,48,True,True
11,0.0012832242,0.03775969062665968,7.383865132928606e-05,48,True,True
10,0.0012832887,0.03786042074676549,7.385768773921567e-05,48,True,True
9,0.0033401847,0.07626997282748382,0.0001601649984822239,48,True,True
7,0.007189031,0.012922130757130446,0.0003145231157729315,48,True,True
6,0.009042407,0.037724530113251054,0.000389775679743747,48,True,True
5,0.011099367,0.07626259228724608,0.0004758193013428313,48,True,True
4,0.27444825,0.3747512631461577,0.011214880467549329,48,False,True
3,0.50975263,0.6832386163509487,0.020771091594385477,48,False,True
2,0.70430464,0.5692045182372194,0.031691312121603636,48,False,True
1,0.85559803,0.6832386163507873,0.03898322599968974,48,False,True
