Complexity,Loss,Equation,score,sympy_format,lambda_format
1,13.739721,-1.1800188,0.0,-1.18001880000000,PySRFunction(X=>-1.18001880000000)
3,11.175206,x1 * -5.3695626,0.10329670328849089,x1*(-5.3695626),PySRFunction(X=>x1*(-5.3695626))
4,10.75377,square(x1) * -7.632877,0.03844118356616813,x1**2*(-7.632877),PySRFunction(X=>x1**2*(-7.632877))
5,8.800903,(x1 * -10.73879) * x2,0.20040206091192914,x1*(-10.73879)*x2,PySRFunction(X=>x1*(-10.73879)*x2)
6,6.8902955,square(x2 * x1) * -22.450506,0.244740357506381,(x1**2*x2**2)*(-22.450506),PySRFunction(X=>(x1**2*x2**2)*(-22.450506))
7,6.4092393,square(x1 * square(x2)) * -37.126556,0.07237338240641351,(x1**2*x2**4)*(-37.126556),PySRFunction(X=>(x1**2*x2**4)*(-37.126556))
8,6.1513324,"square(aq(x2, x0) * x1) * -29.241322",0.04107188118369044,(x1**2*x2**2/(x0**2 + 1))*(-29.241322),PySRFunction(X=>(x1**2*x2**2/(x0**2 + 1))*(-29.241322))
9,3.0566454,"aq(-106.5456, (x1 + (x2 - 1.6231091)) * -153.62459)",0.6993506686535709,-106.5456/sqrt(23600.5146526681*(x1 + x2 - 1*1.6231091)**2 + 1),PySRFunction(X=>-106.5456/sqrt(23600.5146526681*(x1 + x2 - 1*1.6231091)**2 + 1))
11,2.2189631,"x0 + aq(-50.295433, (x2 + (x1 - 1.6233733)) * -62.87985)",0.1601390127030353,x0 - 50.295433/sqrt(3953.8755360225*(x1 + x2 - 1*1.6233733)**2 + 1),PySRFunction(X=>x0 - 50.295433/sqrt(3953.8755360225*(x1 + x2 - 1*1.6233733)**2 + 1))
12,1.4732747,"aq(-136.82419, (-120.92945 * (x1 + (x2 - 1.6219066))) * exp(x0))",0.40955240445046925,-136.82419/sqrt(14623.9318773025*(x1 + x2 - 1*1.6219066)**2*exp(2*x0) + 1),PySRFunction(X=>-136.82419/sqrt(14623.9318773025*(x1 + x2 - 1*1.6219066)**2*exp(2*x0) + 1))
14,0.9063283,"aq(-96.948746, (((x2 + x1) - 1.6219919) * exp(x0)) * -80.03445) + x0",0.24292064339751357,x0 - 96.948746/sqrt(6405.5131868025*(x1 + x2 - 1*1.6219919)**2*exp(2*x0) + 1),PySRFunction(X=>x0 - 96.948746/sqrt(6405.5131868025*(x1 + x2 - 1*1.6219919)**2*exp(2*x0) + 1))
16,0.7067081,"aq(x2 * -83.60779, ((x1 + x2) - 1.622361) * (exp(x0) * 51.983013)) + x0",0.12439194654099615,x0 - 83.60779*x2/sqrt(2702.23364055817*(x1 + x2 - 1*1.622361)**2*exp(2*x0) + 1),PySRFunction(X=>x0 - 83.60779*x2/sqrt(2702.23364055817*(x1 + x2 - 1*1.622361)**2*exp(2*x0) + 1))
17,0.6235854,"x0 + aq(aq(x2, (x1 - (1.6262889 - x2)) * -35.746872) * -64.438324, x0 * -2.6480186)",0.1251319848889556,x0 - 64.438324*x2/(sqrt(7.01200250594596*x0**2 + 1)*sqrt(1277.83885778438*(x1 - (1.6262889 - x2))**2 + 1)),PySRFunction(X=>x0 - 64.438324*x2/(sqrt(7.01200250594596*x0**2 + 1)*sqrt(1277.83885778438*(x1 - (1.6262889 - x2))**2 + 1)))
19,0.57722074,"x0 + (aq(-65.107574, ((1.6268007 - x2) - x1) * -34.681465) * aq(x2, aq(x0, x0) * -3.3051143))",0.03863048306278278,x0 + (x2/sqrt(10.9237805360645*x0**2/(x0**2 + 1) + 1))*(-65.107574/sqrt(1202.80401454623*(-x1 - x2 + 1.6268007)**2 + 1)),PySRFunction(X=>x0 + (x2/sqrt(10.9237805360645*x0**2/(x0**2 + 1) + 1))*(-65.107574/sqrt(1202.80401454623*(-x1 - x2 + 1.6268007)**2 + 1)))
20,0.5505405,"(aq(x2 * -82.88167, (exp(x0) * 52.477043) * ((x2 + x1) - 1.6220428)) + (x0 * 2.2378097)) - 0.6343769",0.047324235401184106,x0*2.2378097 - 82.88167*x2/sqrt(2753.84004202385*(x1 + x2 - 1*1.6220428)**2*exp(2*x0) + 1) - 1*0.6343769,PySRFunction(X=>x0*2.2378097 - 82.88167*x2/sqrt(2753.84004202385*(x1 + x2 - 1*1.6220428)**2*exp(2*x0) + 1) - 1*0.6343769)
