Complexity,Loss,Equation,score,sympy_format,lambda_format
1,37.18929,-5.135153,0.0,-5.13515300000000,PySRFunction(X=>-5.13515300000000)
3,21.366638,x2 * -10.271082,0.27709504149862796,x2*(-10.271082),PySRFunction(X=>x2*(-10.271082))
4,13.920685,-15.103756 * square(x2),0.42845487013832084,-15.103756*x2**2,PySRFunction(X=>-15.103756*x2**2)
5,10.818205,10.268658 - (x2 * 25.673557),0.2521455002976217,10.268658 - 25.673557*x2,PySRFunction(X=>10.268658 - 25.673557*x2)
7,9.848352,"aq(10.944051, x1) + (x2 * -25.856716)",0.04696311581324914,x2*(-25.856716) + 10.944051/sqrt(x1**2 + 1),PySRFunction(X=>x2*(-25.856716) + 10.944051/sqrt(x1**2 + 1))
8,9.18914,3.4326358 - square((x1 + 4.3692317) * x2),0.06928177953102839,3.4326358 - x2**2*(x1 + 4.3692317)**2,PySRFunction(X=>3.4326358 - x2**2*(x1 + 4.3692317)**2)
9,9.109471,((x2 * -16.957945) + 6.7831926) * (x1 + 1.2632029),0.008707710481707273,(6.7831926 + x2*(-16.957945))*(x1 + 1.2632029),PySRFunction(X=>(6.7831926 + x2*(-16.957945))*(x1 + 1.2632029))
10,8.748069,"aq((x2 * -37.978256) + 15.191708, exp(x1) + -2.4295669)",0.040481651228210055,(15.191708 + x2*(-37.978256))/sqrt((exp(x1) - 2.4295669)**2 + 1),PySRFunction(X=>(15.191708 + x2*(-37.978256))/sqrt((exp(x1) - 2.4295669)**2 + 1))
12,8.675664,"aq((-38.252357 * x2) + 15.303923, exp(x1 * 1.1453866) + -2.5476325)",0.004155562805034298,(15.303923 - 38.252357*x2)/sqrt((exp(x1*1.1453866) - 2.5476325)**2 + 1),PySRFunction(X=>(15.303923 - 38.252357*x2)/sqrt((exp(x1*1.1453866) - 2.5476325)**2 + 1))
13,8.498404,"exp(square(aq(x1, square(square(x1))))) * ((x2 * -22.57007) + 9.0281725)",0.02064348353010406,(9.0281725 + x2*(-22.57007))*exp(x1**2/(x1**8 + 1)),PySRFunction(X=>(9.0281725 + x2*(-22.57007))*exp(x1**2/(x1**8 + 1)))
14,8.219988,"exp(aq(0.9239783, (x2 - x1) * 16.029066)) * ((x2 * -21.55303) + 8.621227)",0.033309631947380805,(8.621227 + x2*(-21.55303))*exp(0.9239783/sqrt(256.930956832356*(-x1 + x2)**2 + 1)),PySRFunction(X=>(8.621227 + x2*(-21.55303))*exp(0.9239783/sqrt(256.930956832356*(-x1 + x2)**2 + 1)))
16,8.194619,"((x2 * -21.510033) + 8.598176) * exp(aq(0.924339, ((x1 - x2) * -16.252466) + -0.14207241))",0.00154551493063069,(8.598176 + x2*(-21.510033))*exp(0.924339/sqrt(((x1 - x2)*(-16.252466) - 0.14207241)**2 + 1)),PySRFunction(X=>(8.598176 + x2*(-21.510033))*exp(0.924339/sqrt(((x1 - x2)*(-16.252466) - 0.14207241)**2 + 1)))
17,8.111469,"((x2 * -20.50792) + 8.201372) * exp(square((square(aq(1.5131721, square(x1))) * x1) + -0.4681022))",0.010198733225307833,(8.201372 + x2*(-20.50792))*exp((x1*(2.28968980421841/(x1**4 + 1)) - 0.4681022)**2),PySRFunction(X=>(8.201372 + x2*(-20.50792))*exp((x1*(2.28968980421841/(x1**4 + 1)) - 0.4681022)**2))
18,8.057479,"((x2 * -21.498812) + 8.599125) * exp(square((x1 * square(aq(1.3372649, square(square(x1))))) + -0.37472278))",0.0066782576898323336,(8.599125 + x2*(-21.498812))*exp((x1*(1.78827741277201/(x1**8 + 1)) - 0.37472278)**2),PySRFunction(X=>(8.599125 + x2*(-21.498812))*exp((x1*(1.78827741277201/(x1**8 + 1)) - 0.37472278)**2))
20,8.019112,"((x2 * -20.767796) + 8.280485) * exp(square(aq((x1 * square(aq(1.5473335, square(x1)))) + -0.4876596, square(x0))))",0.002386517940234489,(8.280485 + x2*(-20.767796))*exp((x1*(2.39424096022225/(x1**4 + 1)) - 0.4876596)**2/(x0**4 + 1)),PySRFunction(X=>(8.280485 + x2*(-20.767796))*exp((x1*(2.39424096022225/(x1**4 + 1)) - 0.4876596)**2/(x0**4 + 1)))
