Complexity,Loss,Equation,score,sympy_format,lambda_format
1,1.5483513,-0.54922104,0.0,-0.549221040000000,PySRFunction(X=>-0.549221040000000)
3,1.3673407,x2 * -1.0985234,0.06216146441106953,x2*(-1.0985234),PySRFunction(X=>x2*(-1.0985234))
4,1.2821592,square(x2) * -1.6154833,0.06432222682746429,x2**2*(-1.6154833),PySRFunction(X=>x2**2*(-1.6154833))
5,1.2391583,(x0 * x1) - x2,0.03411317294399052,x0*x1 - x2,PySRFunction(X=>x0*x1 - x2)
6,1.188556,log(square(x1) - log(x2)),0.041693233887586216,log(x1**2 - log(x2)),PySRFunction(X=>log(x1**2 - log(x2)))
7,1.0658462,log((x0 * x1) - log(x2)),0.10897008726324013,log(x0*x1 - log(x2)),PySRFunction(X=>log(x0*x1 - log(x2)))
8,1.0332329,((x1 * x0) - square(x2)) * 2.2353425,0.031076413110077215,(x0*x1 - x2**2)*2.2353425,PySRFunction(X=>(x0*x1 - x2**2)*2.2353425)
9,1.0218995,(((x1 * x0) - -0.2736355) - x2) * 2.7334368,0.011029474199763975,(x0*x1 - x2 - 1*(-0.2736355))*2.7334368,PySRFunction(X=>(x0*x1 - x2 - 1*(-0.2736355))*2.7334368)
10,0.98537,(((x1 * square(x0)) - x2) * 3.0337732) - -1.0146921,0.03640122417650539,(x0**2*x1 - x2)*3.0337732 - 1*(-1.0146921),PySRFunction(X=>(x0**2*x1 - x2)*3.0337732 - 1*(-1.0146921))
11,0.9708674,log(square(square(x0 * 1.8134397) * x1) - log(x2)),0.01482730643791485,log(10.8146501930289*x0**4*x1**2 - log(x2)),PySRFunction(X=>log(10.8146501930289*x0**4*x1**2 - log(x2)))
12,0.9075938,log(square((x0 * x1) * 3.6528637) - log(x2)) - x1,0.06739297703977692,-x1 + log(13.3434132107777*x0**2*x1**2 - log(x2)),PySRFunction(X=>-x1 + log(13.3434132107777*x0**2*x1**2 - log(x2)))
13,0.8940279,(x0 * log(square((exp(x0) * x1) - log(x2)))) - x1,0.015059938938936422,x0*log((x1*exp(x0) - log(x2))**2) - x1,PySRFunction(X=>x0*log((x1*exp(x0) - log(x2))**2) - x1)
14,0.835837,log((square(log(((x0 * x1) * 13.120514) + 0.38919282)) - -0.8844053) - x2),0.06730336474240387,log(-x2 + log(13.120514*x0*x1 + 0.38919282)**2 + 0.8844053),PySRFunction(X=>log(-x2 + log(13.120514*x0*x1 + 0.38919282)**2 + 0.8844053))
15,0.69506186,log(square(log((x1 * (x0 * 14.4088125)) + 0.3493337)) - log(x2)) - x2,0.1844327691997089,-x2 + log(-log(x2) + log(14.4088125*x0*x1 + 0.3493337)**2),PySRFunction(X=>-x2 + log(-log(x2) + log(14.4088125*x0*x1 + 0.3493337)**2))
17,0.58379966,(log(square(log((x1 * (x0 * 19.786898)) + 0.28155506)) - log(x2)) - x2) - x1,0.08722148638475821,-x1 - x2 + log(-log(x2) + log(19.786898*x0*x1 + 0.28155506)**2),PySRFunction(X=>-x1 - x2 + log(-log(x2) + log(19.786898*x0*x1 + 0.28155506)**2))
18,0.5310005,log(square(log(((x1 + 0.071278654) * 3.6280406) * exp(x0))) - log(x2 - -0.14388716)) - x1,0.09479491316753384,-x1 + log(log((3.6280406*x1 + 0.258601850625352)*exp(x0))**2 - log(x2 + 0.14388716)),PySRFunction(X=>-x1 + log(log((3.6280406*x1 + 0.258601850625352)*exp(x0))**2 - log(x2 + 0.14388716)))
19,0.47324625,(log(square(log(((x1 * 14.4088125) + 0.37779033) * (0.2007444 + x0))) - log(x2)) - x2) - x1,0.11514709673331287,-x1 - x2 + log(-log(x2) + log((x0 + 0.2007444)*(14.4088125*x1 + 0.37779033))**2),PySRFunction(X=>-x1 - x2 + log(-log(x2) + log((x0 + 0.2007444)*(14.4088125*x1 + 0.37779033))**2))
20,0.47250915,(log(square(log((0.2007444 + x0) * ((14.4088125 * x1) + square(-0.6236791)))) - log(x2)) - x2) - x1,0.001558754302106458,-x1 - x2 + log(-log(x2) + log((x0 + 0.2007444)*(14.4088125*x1 + 0.38897561977681))**2),PySRFunction(X=>-x1 - x2 + log(-log(x2) + log((x0 + 0.2007444)*(14.4088125*x1 + 0.38897561977681))**2))
