Complexity,Loss,Equation,score,sympy_format,lambda_format
1,4.717999,-0.74826366,0.0,-0.748263660000000,PySRFunction(X=>-0.748263660000000)
3,3.8821833,x2 * -1.7984209,0.09749353373512654,x2*(-1.7984209),PySRFunction(X=>x2*(-1.7984209))
4,3.4943256,square(x2) * -2.4912577,0.10525730586804796,x2**2*(-2.4912577),PySRFunction(X=>x2**2*(-2.4912577))
5,3.3402214,(x1 - x2) * 2.2188594,0.045103303476097444,(x1 - x2)*2.2188594,PySRFunction(X=>(x1 - x2)*2.2188594)
6,2.9784029,(x2 * -3.545618) + exp(x1),0.11464987496380627,x2*(-3.545618) + exp(x1),PySRFunction(X=>x2*(-3.545618) + exp(x1))
7,2.9746943,((x2 * -3.74145) + x1) + 1.2456369,0.0012459398377566322,x1 + x2*(-3.74145) + 1.2456369,PySRFunction(X=>x1 + x2*(-3.74145) + 1.2456369)
8,2.8912363,"aq(x2 * -6.2018137, exp(x1)) + 1.5367879",0.028457081297929034,-6.2018137*x2/sqrt(exp(2*x1) + 1) + 1.5367879,PySRFunction(X=>-6.2018137*x2/sqrt(exp(2*x1) + 1) + 1.5367879)
9,2.5496092,"aq(-4.6005096, 4.468414 - (56.23355 * x1)) * x2",0.125744103593711,x2*(-4.6005096/sqrt((4.468414 - 56.23355*x1)**2 + 1)),PySRFunction(X=>x2*(-4.6005096/sqrt((4.468414 - 56.23355*x1)**2 + 1)))
11,1.3327188,"aq((x2 * -14.16658) + 5.6838574, (x1 * 56.989822) - 4.4773636)",0.32435951315945644,(5.6838574 + x2*(-14.16658))/sqrt((x1*56.989822 - 1*4.4773636)**2 + 1),PySRFunction(X=>(5.6838574 + x2*(-14.16658))/sqrt((x1*56.989822 - 1*4.4773636)**2 + 1))
13,1.3019437,"aq((x0 + (x2 * -14.14045)) + 5.144405, (x1 * 56.769295) - 4.5014386)",0.011681382260356015,(x0 + x2*(-14.14045) + 5.144405)/sqrt((x1*56.769295 - 1*4.5014386)**2 + 1),PySRFunction(X=>(x0 + x2*(-14.14045) + 5.144405)/sqrt((x1*56.769295 - 1*4.5014386)**2 + 1))
14,1.2662423,"aq((square(x0) + 5.2898955) + (x2 * -14.058957), 4.468206 - (x1 * 56.449547))",0.027804606069429662,(x0**2 + x2*(-14.058957) + 5.2898955)/sqrt((4.468206 - 56.449547*x1)**2 + 1),PySRFunction(X=>(x0**2 + x2*(-14.058957) + 5.2898955)/sqrt((4.468206 - 56.449547*x1)**2 + 1))
15,1.1922007,"square(square(x0)) + aq((x2 * -13.889822) + 5.403056, 4.440857 - (x1 * 56.378796))",0.06025276866126325,x0**4 + (5.403056 + x2*(-13.889822))/sqrt((4.440857 - 56.378796*x1)**2 + 1),PySRFunction(X=>x0**4 + (5.403056 + x2*(-13.889822))/sqrt((4.440857 - 56.378796*x1)**2 + 1))
16,1.1508911,"square(x0) + aq((x2 * -13.727518) - aq(-6.0350704, x0), (x1 * 56.05923) - 4.3725085)",0.0352644150693762,x0**2 + (x2*(-13.727518) - (-1)*6.0350704/sqrt(x0**2 + 1))/sqrt((x1*56.05923 - 1*4.3725085)**2 + 1),PySRFunction(X=>x0**2 + (x2*(-13.727518) - (-1)*6.0350704/sqrt(x0**2 + 1))/sqrt((x1*56.05923 - 1*4.3725085)**2 + 1))
18,1.0678816,"(square(x0) + aq((x2 * -13.727518) - aq(-6.0350704, x0), (x1 * 56.05923) - 4.3725085)) + -0.3549131",0.037429819457373587,x0**2 + (x2*(-13.727518) - (-1)*6.0350704/sqrt(x0**2 + 1))/sqrt((x1*56.05923 - 1*4.3725085)**2 + 1) - 0.3549131,PySRFunction(X=>x0**2 + (x2*(-13.727518) - (-1)*6.0350704/sqrt(x0**2 + 1))/sqrt((x1*56.05923 - 1*4.3725085)**2 + 1) - 0.3549131)
19,1.012541,"aq((-13.896543 * x2) + 5.3439775, (x1 * 56.387005) - aq(5.080219, x0)) + aq(square(square(x0)), 0.8456596)",0.05321385996333569,0.763572347328436*x0**4 + (5.3439775 - 13.896543*x2)/sqrt((x1*56.387005 - 5.080219/sqrt(x0**2 + 1))**2 + 1),PySRFunction(X=>0.763572347328436*x0**4 + (5.3439775 - 13.896543*x2)/sqrt((x1*56.387005 - 5.080219/sqrt(x0**2 + 1))**2 + 1))
21,1.0049365,"aq((x2 * -14.093444) + 5.410451, ((x1 * 57.248302) - aq(6.548353, x0)) - -1.2231952) + aq(square(square(x0)), 0.7774207)",0.0037693287853128726,0.789488815228607*x0**4 + (5.410451 + x2*(-14.093444))/sqrt((x1*57.248302 - 1*(-1.2231952) - 6.548353/sqrt(x0**2 + 1))**2 + 1),PySRFunction(X=>0.789488815228607*x0**4 + (5.410451 + x2*(-14.093444))/sqrt((x1*57.248302 - 1*(-1.2231952) - 6.548353/sqrt(x0**2 + 1))**2 + 1))
23,1.0021088,"(aq((x2 * -13.896543) + 5.3439775, (x1 * 56.387005) - (aq(5.080219, x0) - 0.001987635)) + aq(square(square(x0)), 0.8456596)) - 0.10857392",0.0014088879164618684,0.763572347328436*x0**4 + (5.3439775 + x2*(-13.896543))/sqrt((x1*56.387005 - (-1*0.001987635 + 5.080219/sqrt(x0**2 + 1)))**2 + 1) - 1*0.10857392,PySRFunction(X=>0.763572347328436*x0**4 + (5.3439775 + x2*(-13.896543))/sqrt((x1*56.387005 - (-1*0.001987635 + 5.080219/sqrt(x0**2 + 1)))**2 + 1) - 1*0.10857392)
24,1.0020823,"(aq((x2 * -13.896543) + 5.3439775, (x1 * 56.387005) - aq(5.080219, x0)) - square(0.25880837)) + (aq(square(square(x0)), 0.8456596) - 0.0397221)",2.6444584053390154e-05,0.763572347328436*x0**4 + (5.3439775 + x2*(-13.896543))/sqrt((x1*56.387005 - 5.080219/sqrt(x0**2 + 1))**2 + 1) - 1*0.0669817723820569 - 1*0.0397221,PySRFunction(X=>0.763572347328436*x0**4 + (5.3439775 + x2*(-13.896543))/sqrt((x1*56.387005 - 5.080219/sqrt(x0**2 + 1))**2 + 1) - 1*0.0669817723820569 - 1*0.0397221)
