Complexity,Loss,Equation,score,sympy_format,lambda_format
1,120.60545,-3.3738296,0.0,-3.37382960000000,PySRFunction(X=>-3.37382960000000)
3,56.24639,x0 * -3.7698662,0.3813913063689234,x0*(-3.7698662),PySRFunction(X=>x0*(-3.7698662))
5,38.24185,"x0 * aq(-5.6429777, x0)",0.1929056977865956,x0*(-5.6429777/sqrt(x0**2 + 1)),PySRFunction(X=>x0*(-5.6429777/sqrt(x0**2 + 1)))
6,32.46302,"aq(x0 * -10.714199, exp(x0))",0.16382887033064153,-10.714199*x0/sqrt(exp(2*x0) + 1),PySRFunction(X=>-10.714199*x0/sqrt(exp(2*x0) + 1))
7,32.18171,"aq(x0 * -7.483459, x0 * -1.7811785)",0.008703316595604183,-7.483459*x0/sqrt(3.17259684886225*x0**2 + 1),PySRFunction(X=>-7.483459*x0/sqrt(3.17259684886225*x0**2 + 1))
8,27.056116,(x2 + log(x2 + x0)) * -3.890751,0.17348519919689637,-3.890751*x2 - 3.890751*log(x0 + x2),PySRFunction(X=>-3.890751*x2 - 3.890751*log(x0 + x2))
10,23.795437,(x2 * (x2 + log(x2 + x0))) * -6.9877524,0.0642096199718637,-6.9877524*x2*(x2 + log(x0 + x2)),PySRFunction(X=>-6.9877524*x2*(x2 + log(x0 + x2)))
11,16.002605,(log(square(x2) + x0) + 1.3713778) * (x2 * -5.016739),0.39674231811994465,-5.016739*x2*(log(x0 + x2**2) + 1.3713778),PySRFunction(X=>-5.016739*x2*(log(x0 + x2**2) + 1.3713778))
13,13.787333,((x2 * (log(x0 + square(x2)) + 1.2752751)) * -6.0249534) + x0,0.07450062470083527,x0 - 6.0249534*x2*(log(x0 + x2**2) + 1.2752751),PySRFunction(X=>x0 - 6.0249534*x2*(log(x0 + x2**2) + 1.2752751))
15,12.766327,x0 + ((x2 * ((log(square(x2) + x0) * -5.9669614) + -12.500404)) + 3.2356744),0.038469635332583886,x0 + x2*(-5.9669614*log(x0 + x2**2) - 12.500404) + 3.2356744,PySRFunction(X=>x0 + x2*(-5.9669614*log(x0 + x2**2) - 12.500404) + 3.2356744)
17,12.686579,(((log(x0 + square(x2)) + 1.9056479) * ((x2 * -6.393108) + 0.20163369)) + 2.631143) + x0,0.0031331691931444283,x0 + (0.20163369 - 6.393108*x2)*(log(x0 + x2**2) + 1.9056479) + 2.631143,PySRFunction(X=>x0 + (0.20163369 - 6.393108*x2)*(log(x0 + x2**2) + 1.9056479) + 2.631143)
18,12.600259,x0 + (((square(x1) + -6.119941) * ((log(square(x2) + x0) + 2.1031365) * x2)) + 3.251063),0.006827293732412028,x0 + x2*(x1**2 - 6.119941)*(log(x0 + x2**2) + 2.1031365) + 3.251063,PySRFunction(X=>x0 + x2*(x1**2 - 6.119941)*(log(x0 + x2**2) + 2.1031365) + 3.251063)
20,12.561949,(square(x1) + ((((x2 * -6.5419927) + 0.26588044) * (log(x0 + square(x2)) + 1.9255754)) + 2.6589148)) + x0,0.001522522570428298,x0 + x1**2 + (0.26588044 - 6.5419927*x2)*(log(x0 + x2**2) + 1.9255754) + 2.6589148,PySRFunction(X=>x0 + x1**2 + (0.26588044 - 6.5419927*x2)*(log(x0 + x2**2) + 1.9255754) + 2.6589148)
