Complexity,Loss,Equation,score,sympy_format,lambda_format
1,29.6996,-4.6852136,0.0,-4.68521360000000,PySRFunction(X=>-4.68521360000000)
3,16.096815,x2 * -9.470574,0.306256075685596,x2*(-9.470574),PySRFunction(X=>x2*(-9.470574))
4,8.635902,log(0.8005655 - x2),0.6226932615913509,log(0.8005655 - x2),PySRFunction(X=>log(0.8005655 - x2))
5,5.3670053,9.370796 - (x2 * 23.427013),0.47565808403144094,9.370796 - 23.427013*x2,PySRFunction(X=>9.370796 - 23.427013*x2)
7,3.5680618,"aq(x2 * -24.403296, x1) + 9.216521",0.20412377275747104,-24.403296*x2/sqrt(x1**2 + 1) + 9.216521,PySRFunction(X=>-24.403296*x2/sqrt(x1**2 + 1) + 9.216521)
9,3.173018,"((x2 * aq(-24.407791, x1)) + 9.719123) - x0",0.05866967487290037,-x0 + x2*(-24.407791/sqrt(x1**2 + 1)) + 9.719123,PySRFunction(X=>-x0 + x2*(-24.407791/sqrt(x1**2 + 1)) + 9.719123)
11,2.9356804,"(x2 * aq(-25.132298, x0 - (x1 + 0.4434058))) + 9.307745",0.038871968104262876,x2*(-25.132298/sqrt((x0 - (x1 + 0.4434058))**2 + 1)) + 9.307745,PySRFunction(X=>x2*(-25.132298/sqrt((x0 - (x1 + 0.4434058))**2 + 1)) + 9.307745)
13,2.747808,"aq(x2 * -25.029179, (x1 - aq(x0, x2)) + 0.3670756) + 9.359155",0.03306787315886049,-25.029179*x2/sqrt((-x0/sqrt(x2**2 + 1) + x1 + 0.3670756)**2 + 1) + 9.359155,PySRFunction(X=>-25.029179*x2/sqrt((-x0/sqrt(x2**2 + 1) + x1 + 0.3670756)**2 + 1) + 9.359155)
15,2.5779512,"aq((aq(-25.470993, aq((x1 - x0) + 0.46100354, x2)) * x2) + 9.573516, x1)",0.03190426399416154,(x2*(-25.470993/sqrt(1 + (-x0 + x1 + 0.46100354)**2/(x2**2 + 1))) + 9.573516)/sqrt(x1**2 + 1),PySRFunction(X=>(x2*(-25.470993/sqrt(1 + (-x0 + x1 + 0.46100354)**2/(x2**2 + 1))) + 9.573516)/sqrt(x1**2 + 1))
17,2.5591578,"aq((x2 * aq(-26.643877, 0.36101755 + aq(x1 - x0, -0.79324037))) + 10.1880455, -0.13418017 - x1)",0.0036583774729773786,(x2*(-26.643877/sqrt(((-0.783445450367469*x0 + 0.783445450367469*x1) + 0.36101755)**2 + 1)) + 10.1880455)/sqrt((-x1 - 0.13418017)**2 + 1),PySRFunction(X=>(x2*(-26.643877/sqrt(((-0.783445450367469*x0 + 0.783445450367469*x1) + 0.36101755)**2 + 1)) + 10.1880455)/sqrt((-x1 - 0.13418017)**2 + 1))
19,2.4912748,"aq(aq(x2 * -28.301579, (x1 * x2) + aq(0.4260649 - x0, x0)) + 10.914606, x1 - -0.24603839)",0.013441836325987415,(-28.301579*x2/sqrt((x1*x2 + (0.4260649 - x0)/sqrt(x0**2 + 1))**2 + 1) + 10.914606)/sqrt((x1 - 1*(-0.24603839))**2 + 1),PySRFunction(X=>(-28.301579*x2/sqrt((x1*x2 + (0.4260649 - x0)/sqrt(x0**2 + 1))**2 + 1) + 10.914606)/sqrt((x1 - 1*(-0.24603839))**2 + 1))
20,2.4823737,"20.138563 * ((0.6319643 - (aq((x0 + x2) - -0.92317, x0) * x2)) * square(aq(-1.0063549, x1) - -0.24565552))",0.003579307827239246,20.138563*(0.6319643 - x2*(x0 + x2 - 1*(-0.92317))/sqrt(x0**2 + 1))*(-1*(-0.24565552) - 1.0063549/sqrt(x1**2 + 1))**2,PySRFunction(X=>20.138563*(0.6319643 - x2*(x0 + x2 - 1*(-0.92317))/sqrt(x0**2 + 1))*(-1*(-0.24565552) - 1.0063549/sqrt(x1**2 + 1))**2)
