Complexity,Loss,Equation,score,sympy_format,lambda_format
1,49.501083,-5.115831,0.0,-5.11583100000000,PySRFunction(X=>-5.11583100000000)
3,32.823914,x2 * -10.369394,0.2054186065104274,x2*(-10.369394),PySRFunction(X=>x2*(-10.369394))
4,24.569092,square(x2) * -15.300076,0.2896681048890755,x2**2*(-15.300076),PySRFunction(X=>x2**2*(-15.300076))
5,21.105759,(x2 * -25.572884) + 10.22918,0.15194328858351525,10.22918 + x2*(-25.572884),PySRFunction(X=>10.22918 + x2*(-25.572884))
7,19.307137,"aq(x2 * -26.82939, x1) + 10.16956",0.04453556066463642,-26.82939*x2/sqrt(x1**2 + 1) + 10.16956,PySRFunction(X=>-26.82939*x2/sqrt(x1**2 + 1) + 10.16956)
8,18.075853,3.634639 - exp(x2 * (3.504753 - x1)),0.06589786111466364,3.634639 - exp(x2*(3.504753 - x1)),PySRFunction(X=>3.634639 - exp(x2*(3.504753 - x1)))
10,17.88996,"3.763373 - exp((3.5012112 - aq(x1, x1)) * x2)",0.005168648776822863,3.763373 - exp(x2*(3.5012112 - x1/sqrt(x1**2 + 1))),PySRFunction(X=>3.763373 - exp(x2*(3.5012112 - x1/sqrt(x1**2 + 1))))
12,17.853714,"2.0604637 - exp((-0.9313234 - aq(x1, x1)) + (x2 * 4.5522604))",0.0010140539113014132,2.0604637 - exp(-x1/sqrt(x1**2 + 1) + x2*4.5522604 - 0.9313234),PySRFunction(X=>2.0604637 - exp(-x1/sqrt(x1**2 + 1) + x2*4.5522604 - 0.9313234))
14,16.770914,"x0 - square((x2 - (4.8207316 * aq(x1, 24.27132 * x1))) * -4.9603424)",0.03128273868628121,x0 - 24.6049967252378*(x2 - 4.8207316*x1/sqrt(589.0969745424*x1**2 + 1))**2,PySRFunction(X=>x0 - 24.6049967252378*(x2 - 4.8207316*x1/sqrt(589.0969745424*x1**2 + 1))**2)
15,14.329531,"1.6231056 - exp(square(aq(x1 * 2.5843284, x1 * 22.316912) - x2) * 4.8290086)",0.1573235636740242,1.6231056 - exp((2.5843284*x1/sqrt(498.044561215744*x1**2 + 1) - x2)**2*4.8290086),PySRFunction(X=>1.6231056 - exp((2.5843284*x1/sqrt(498.044561215744*x1**2 + 1) - x2)**2*4.8290086))
17,14.092961,"aq(1.6572404 - exp(square(x2 - (aq(x1, x1 * 24.37134) * 2.5533097)) * 4.8214235), x1)",0.008323529944361474,(1.6572404 - exp((x2 - 2.5533097*x1/sqrt(593.9622133956*x1**2 + 1))**2*4.8214235))/sqrt(x1**2 + 1),PySRFunction(X=>(1.6572404 - exp((x2 - 2.5533097*x1/sqrt(593.9622133956*x1**2 + 1))**2*4.8214235))/sqrt(x1**2 + 1))
18,14.008162,"aq(1.6548489 - exp(4.8207316 * square(x2 - (x1 * aq(2.5456944, x1 * 24.27132)))), square(x1))",0.006035293137464254,(1.6548489 - exp(4.8207316*(-x1*2.5456944/sqrt(589.0969745424*x1**2 + 1) + x2)**2))/sqrt(x1**4 + 1),PySRFunction(X=>(1.6548489 - exp(4.8207316*(-x1*2.5456944/sqrt(589.0969745424*x1**2 + 1) + x2)**2))/sqrt(x1**4 + 1))
20,13.916884,"exp(x1) - exp(square((x2 + x2) - aq(x1 * 4.8761716, -0.7960988 - (x1 * -25.81312))) * 1.1939632)",0.003268690231750053,exp(x1) - exp((-4.8761716*x1/sqrt((-(-25.81312)*x1 - 0.7960988)**2 + 1) + x2 + x2)**2*1.1939632),PySRFunction(X=>exp(x1) - exp((-4.8761716*x1/sqrt((-(-25.81312)*x1 - 0.7960988)**2 + 1) + x2 + x2)**2*1.1939632))
