Complexity,Loss,Equation,score,sympy_format,lambda_format
1,4.717999,-0.7483857,0.0,-0.748385700000000,PySRFunction(X=>-0.748385700000000)
3,3.8821833,x2 * -1.7984209,0.09749353373512654,x2*(-1.7984209),PySRFunction(X=>x2*(-1.7984209))
4,3.4943256,square(x2) * -2.4913983,0.10525730586804796,x2**2*(-2.4913983),PySRFunction(X=>x2**2*(-2.4913983))
5,3.340221,(x1 - x2) * 2.2188625,0.04510342322864552,(x1 - x2)*2.2188625,PySRFunction(X=>(x1 - x2)*2.2188625)
6,2.99707,(x2 * -3.7424784) + exp(x1),0.10840182771251013,x2*(-3.7424784) + exp(x1),PySRFunction(X=>x2*(-3.7424784) + exp(x1))
7,2.9746943,(x1 + (x2 * -3.7424784)) + 1.2465049,0.007493867336504786,x1 + x2*(-3.7424784) + 1.2465049,PySRFunction(X=>x1 + x2*(-3.7424784) + 1.2465049)
8,2.871809,0.38679677 - square((x2 + x2) - x1),0.03519913261907774,0.38679677 - (-x1 + x2 + x2)**2,PySRFunction(X=>0.38679677 - (-x1 + x2 + x2)**2)
9,2.8300402,square(x0) - square((x2 + x2) - x1),0.014651228294950372,x0**2 - (-x1 + x2 + x2)**2,PySRFunction(X=>x0**2 - (-x1 + x2 + x2)**2)
10,2.7908835,"0.4940096 - square(aq(x2, x1 * 4.4130707) + x2)",0.013932704129618997,0.4940096 - (x2 + x2/sqrt(19.4751930031985*x1**2 + 1))**2,PySRFunction(X=>0.4940096 - (x2 + x2/sqrt(19.4751930031985*x1**2 + 1))**2)
11,2.7800884,"square(x0) - square(aq(x2 + x2, x1 + x1))",0.0038754866135012065,x0**2 - (x2 + x2)**2/((x1 + x1)**2 + 1),PySRFunction(X=>x0**2 - (x2 + x2)**2/((x1 + x1)**2 + 1))
12,2.7705743,square(square(x0)) - square((x2 * (1.0823078 + x2)) - x1),0.0034280985286179394,x0**4 - (-x1 + x2*(x2 + 1.0823078))**2,PySRFunction(X=>x0**4 - (-x1 + x2*(x2 + 1.0823078))**2)
13,2.7340941,"square(x0) - square(aq(x2 + x2, (x1 + x1) * 1.3512797))",0.013254471085530056,x0**2 - (x2 + x2)**2/(1.82595682763209*(x1 + x1)**2 + 1),PySRFunction(X=>x0**2 - (x2 + x2)**2/(1.82595682763209*(x1 + x1)**2 + 1))
14,2.6908722,"(square(square(x0)) - square(aq(x2 + x2, x1 + x1))) + 0.3111758",0.015934777165776123,x0**4 - (x2 + x2)**2/((x1 + x1)**2 + 1) + 0.3111758,PySRFunction(X=>x0**4 - (x2 + x2)**2/((x1 + x1)**2 + 1) + 0.3111758)
15,2.671693,square(square(square(0.9630481 - x1)) - x0) - square(x2 + (x2 - x1)),0.007153025114350875,(-x0 + (0.9630481 - x1)**4)**2 - (-x1 + x2 + x2)**2,PySRFunction(X=>(-x0 + (0.9630481 - x1)**4)**2 - (-x1 + x2 + x2)**2)
17,2.6095796,square(x0 - square(square(0.9908677 - x1))) - square(((x2 + -0.07883924) + x2) - x1),0.011761609149903554,(x0 - (0.9908677 - x1)**4)**2 - (-x1 + x2 + x2 - 0.07883924)**2,PySRFunction(X=>(x0 - (0.9908677 - x1)**4)**2 - (-x1 + x2 + x2 - 0.07883924)**2)
18,1.9557304,square(x0 - square(square(square(x1 - (1.0705687 - x1))))) - square(x2 + (x2 - x1)),0.28842540576200987,(x0 - (x1 - (1.0705687 - x1))**8)**2 - (-x1 + x2 + x2)**2,PySRFunction(X=>(x0 - (x1 - (1.0705687 - x1))**8)**2 - (-x1 + x2 + x2)**2)
19,1.9543382,square(x0 - square(square(square(square(x1 - 1.034377))))) - square((x1 - (x2 + x2)) + -0.018618131),0.0007121102984393633,(x0 - (x1 - 1*1.034377)**16)**2 - (x1 - (x2 + x2) - 0.018618131)**2,PySRFunction(X=>(x0 - (x1 - 1*1.034377)**16)**2 - (x1 - (x2 + x2) - 0.018618131)**2)
20,1.949971,square(x0 - square(square(square((1.0705687 - x1) - x1)))) - square((x2 + (0.026656821 - x1)) + x2),0.0022371188334045847,(x0 - (-x1 - x1 + 1.0705687)**8)**2 - (-x1 + x2 + x2 + 0.026656821)**2,PySRFunction(X=>(x0 - (-x1 - x1 + 1.0705687)**8)**2 - (-x1 + x2 + x2 + 0.026656821)**2)
