Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.819459,x0,0.0,x0,PySRFunction(X=>x0)
2,5.660991,square(x0),0.027608336868132008,x0**2,PySRFunction(X=>x0**2)
3,5.4626594,x0 - 0.59725714,0.03566322445414992,x0 - 1*0.59725714,PySRFunction(X=>x0 - 1*0.59725714)
4,3.8574128,log(x0 + 0.00026150685),0.3479390410886377,log(x0 + 0.00026150685),PySRFunction(X=>log(x0 + 0.00026150685))
5,3.663793,log(exp(x0) + -0.9981172),0.05149775010259447,log(exp(x0) - 0.9981172),PySRFunction(X=>log(exp(x0) - 0.9981172))
6,2.8797996,log(x0 + 0.00026150685) + 1.0186055,0.24077824118926894,log(x0 + 0.00026150685) + 1.0186055,PySRFunction(X=>log(x0 + 0.00026150685) + 1.0186055)
7,0.31575856,(x0 - 0.5757613) * (x2 * 5.6909156),2.2104981164570727,(x0 - 1*0.5757613)*x2*5.6909156,PySRFunction(X=>(x0 - 1*0.5757613)*x2*5.6909156)
8,0.30170277,(x0 + -0.5693654) * exp(x2 * 1.9255192),0.04553554348975265,(x0 - 0.5693654)*exp(x2*1.9255192),PySRFunction(X=>(x0 - 0.5693654)*exp(x2*1.9255192))
9,0.17220584,(6.112009 - x0) * (x2 * (x0 - 0.5618671)),0.5607518219568124,x2*(6.112009 - x0)*(x0 - 1*0.5618671),PySRFunction(X=>x2*(6.112009 - x0)*(x0 - 1*0.5618671))
11,0.14046499,(((6.1019 - x0) * (x0 - 0.571389)) * x2) + 0.19464949,0.10186611462185824,x2*(6.1019 - x0)*(x0 - 1*0.571389) + 0.19464949,PySRFunction(X=>x2*(6.1019 - x0)*(x0 - 1*0.571389) + 0.19464949)
13,0.11744171,(5.347508 - x0) * (((x0 - 0.5844669) * x2) + (x0 * 0.10286713)),0.08950807542068404,(5.347508 - x0)*(x0*0.10286713 + x2*(x0 - 1*0.5844669)),PySRFunction(X=>(5.347508 - x0)*(x0*0.10286713 + x2*(x0 - 1*0.5844669)))
15,0.080189265,"(aq((x2 * (4.623724 - x0)) * (x0 - 0.60280895), x1) + x0) + -0.3063185",0.19077623617067996,x0 + x2*(4.623724 - x0)*(x0 - 1*0.60280895)/sqrt(x1**2 + 1) - 0.3063185,PySRFunction(X=>x0 + x2*(4.623724 - x0)*(x0 - 1*0.60280895)/sqrt(x1**2 + 1) - 0.3063185)
17,0.0698677,"(((x2 * 3.3100226) - x0) * aq(x0 - 0.65421826, x1)) + ((x0 + -0.390605) * 1.8523048)",0.06889309964990122,((x0 - 1*0.65421826)/sqrt(x1**2 + 1))*(-x0 + x2*3.3100226) + (x0 - 0.390605)*1.8523048,PySRFunction(X=>((x0 - 1*0.65421826)/sqrt(x1**2 + 1))*(-x0 + x2*3.3100226) + (x0 - 0.390605)*1.8523048)
18,0.05998452,"(aq((x0 - 0.60029113) * (x2 * (3.882625 - log(x0 - -0.39482805))), x1) + -0.30625555) + x0",0.1525169248113662,x0 + x2*(3.882625 - log(x0 + 0.39482805))*(x0 - 0.60029113)/sqrt(x1**2 + 1) - 0.30625555,PySRFunction(X=>x0 + x2*(3.882625 - log(x0 + 0.39482805))*(x0 - 0.60029113)/sqrt(x1**2 + 1) - 0.30625555)
19,0.030040367,"aq((((1.9669814 - x0) * 1.3409482) * x2) * (x0 - 0.70050406), x1) + ((x0 + -0.40932333) * 2.1358292)",0.691544485069127,1.3409482*x2*(1.9669814 - x0)*(x0 - 1*0.70050406)/sqrt(x1**2 + 1) + (x0 - 0.40932333)*2.1358292,PySRFunction(X=>1.3409482*x2*(1.9669814 - x0)*(x0 - 1*0.70050406)/sqrt(x1**2 + 1) + (x0 - 0.40932333)*2.1358292)
20,0.019317728,"(x0 * 2.5037448) + (aq((x0 - 0.86043346) * (exp(0.5380329 - x0) * (x2 * 1.0568509)), x1) - 1.0582178)",0.4415188203397887,x0*2.5037448 + 1.0568509*x2*(x0 - 1*0.86043346)*(1.71263462293957*exp(-x0))/sqrt(x1**2 + 1) - 1*1.0582178,PySRFunction(X=>x0*2.5037448 + 1.0568509*x2*(x0 - 1*0.86043346)*(1.71263462293957*exp(-x0))/sqrt(x1**2 + 1) - 1*1.0582178)
