Complexity,Loss,Equation,score,sympy_format,lambda_format
1,128.00671,-4.68543,0.0,-4.68543000000000,PySRFunction(X=>-4.68543000000000)
3,114.83489,x2 * -9.370635,0.05429366342441552,x2*(-9.370635),PySRFunction(X=>x2*(-9.370635))
4,108.63639,square(x2) * -13.780531,0.05548892332677231,x2**2*(-13.780531),PySRFunction(X=>x2**2*(-13.780531))
5,91.564896,"aq(-6.8552036, x0 + -0.6834793)",0.17095846745793417,-6.8552036/sqrt((x0 - 0.6834793)**2 + 1),PySRFunction(X=>-6.8552036/sqrt((x0 - 0.6834793)**2 + 1))
6,66.06963,"aq(-7.6868553, log(x2 + x0))",0.32633878088207136,-7.6868553/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-7.6868553/sqrt(log(x0 + x2)**2 + 1))
7,54.70923,"aq(-6.736894, log(x0 + square(x2)))",0.1886767521378061,-6.736894/sqrt(log(x0 + x2**2)**2 + 1),PySRFunction(X=>-6.736894/sqrt(log(x0 + x2**2)**2 + 1))
8,41.582237,"aq(-5.2631, square(log(x0 + square(x2))))",0.27435935288071994,-5.2631/sqrt(log(x0 + x2**2)**4 + 1),PySRFunction(X=>-5.2631/sqrt(log(x0 + x2**2)**4 + 1))
10,33.273724,square(log(x0 + square(x2))) + (x2 * -9.744156),0.11145253222401783,-9.744156*x2 + log(x0 + x2**2)**2,PySRFunction(X=>-9.744156*x2 + log(x0 + x2**2)**2)
11,25.140293,(square(x2) * -13.451364) + square(log(square(x2 + x0))),0.2802961586107904,-13.451364*x2**2 + log((x0 + x2)**2)**2,PySRFunction(X=>-13.451364*x2**2 + log((x0 + x2)**2)**2)
13,20.990574,(square(x2) * (-14.256254 - x0)) + square(log(square(x0 + x2))),0.09019918900681692,x2**2*(-x0 - 14.256254) + log((x0 + x2)**2)**2,PySRFunction(X=>x2**2*(-x0 - 14.256254) + log((x0 + x2)**2)**2)
14,19.973211,"aq(44.748962, x2) + aq(-43.000977, square(log(aq(x2 + exp(x0), 2.4994597))))",0.04968155412505747,-43.000977/sqrt(log(0.371459882141127*x2 + 0.371459882141127*exp(x0))**4 + 1) + 44.748962/sqrt(x2**2 + 1),PySRFunction(X=>-43.000977/sqrt(log(0.371459882141127*x2 + 0.371459882141127*exp(x0))**4 + 1) + 44.748962/sqrt(x2**2 + 1))
15,19.368532,(square(x2) * ((-13.451364 - x0) - x0)) + square(log(square(x0 + x2))),0.030742238442033065,x2**2*(-2*x0 - 13.451364) + log((x0 + x2)**2)**2,PySRFunction(X=>x2**2*(-2*x0 - 13.451364) + log((x0 + x2)**2)**2)
16,18.183388,square(log(square(x0 + x2))) + (square(x2) * (-13.451364 - square(x0 + x2))),0.06314125722437067,x2**2*(-(x0 + x2)**2 - 13.451364) + log((x0 + x2)**2)**2,PySRFunction(X=>x2**2*(-(x0 + x2)**2 - 13.451364) + log((x0 + x2)**2)**2)
17,17.565994,"square(square(square(aq(x0 + -1.3051391, x2)) + x0)) + (15.226191 - exp(x2 + 2.4351547))",0.03454355609665562,(x0 + (x0 - 1.3051391)**2/(x2**2 + 1))**4 - exp(x2 + 2.4351547) + 15.226191,PySRFunction(X=>(x0 + (x0 - 1.3051391)**2/(x2**2 + 1))**4 - exp(x2 + 2.4351547) + 15.226191)
18,16.570463,"aq(square(log(square(x0 + x2))) + ((-13.451364 - square(x0 + x2)) * square(x2)), x1)",0.05834310081385688,(x2**2*(-(x0 + x2)**2 - 13.451364) + log((x0 + x2)**2)**2)/sqrt(x1**2 + 1),PySRFunction(X=>(x2**2*(-(x0 + x2)**2 - 13.451364) + log((x0 + x2)**2)**2)/sqrt(x1**2 + 1))
19,15.986507,"aq((square(square(x0 + square(aq(x0 + -1.3124673, x2)))) - exp(x2 + 2.4797626)) + 15.839251, x1)",0.03587671916031651,((x0 + (x0 - 1.3124673)**2/(x2**2 + 1))**4 - exp(x2 + 2.4797626) + 15.839251)/sqrt(x1**2 + 1),PySRFunction(X=>((x0 + (x0 - 1.3124673)**2/(x2**2 + 1))**4 - exp(x2 + 2.4797626) + 15.839251)/sqrt(x1**2 + 1))
