Complexity,Loss,Equation,score,sympy_format,lambda_format
1,31.012114,x0,0.0,x0,PySRFunction(X=>x0)
2,21.122545,exp(x0),0.38403694887411466,exp(x0),PySRFunction(X=>exp(x0))
3,5.0217223,x0 * 3.2076218,1.4365679909602993,x0*3.2076218,PySRFunction(X=>x0*3.2076218)
5,0.09201025,(x2 - x0) * -3.4122996,1.9998141288037607,(-x0 + x2)*(-3.4122996),PySRFunction(X=>(-x0 + x2)*(-3.4122996))
7,0.06072844,(x0 + (-0.051879954 - x2)) * 3.4096186,0.20774393088805837,(x0 - x2 - 0.051879954)*3.4096186,PySRFunction(X=>(x0 - x2 - 0.051879954)*3.4096186)
8,0.03960232,((exp(x2) * 0.3529035) - x0) * -3.4165988,0.4275244197074933,(-x0 + exp(x2)*0.3529035)*(-3.4165988),PySRFunction(X=>(-x0 + exp(x2)*0.3529035)*(-3.4165988))
9,0.033615947,-0.67248124 + ((-2.5884345 * x2) - (x0 * -3.4152768)),0.16388713493171086,-(-3.4152768)*x0 - 2.5884345*x2 - 0.67248124,PySRFunction(X=>-(-3.4152768)*x0 - 2.5884345*x2 - 0.67248124)
10,0.019209486,"(x0 * 3.4170659) + (exp(aq(x2, x1)) * -1.2466791)",0.5595963479461816,x0*3.4170659 + exp(x2/sqrt(x1**2 + 1))*(-1.2466791),PySRFunction(X=>x0*3.4170659 + exp(x2/sqrt(x1**2 + 1))*(-1.2466791))
11,0.010928955,"(aq(x2 * -2.7500658, x1) - (x0 * -3.4149046)) + -0.6588234",0.5639885303245731,-(-3.4149046)*x0 - 2.7500658*x2/sqrt(x1**2 + 1) - 0.6588234,PySRFunction(X=>-(-3.4149046)*x0 - 2.7500658*x2/sqrt(x1**2 + 1) - 0.6588234)
12,0.0066264626,"((square(aq(x2, x1)) * -2.390123) - (x0 * -3.4149163)) + -1.3568238",0.5003445718829329,-(-3.4149163)*x0 + (x2**2/(x1**2 + 1))*(-2.390123) - 1.3568238,PySRFunction(X=>-(-3.4149163)*x0 + (x2**2/(x1**2 + 1))*(-2.390123) - 1.3568238)
14,0.0065426063,"(-1.356467 - (-3.4151149 * x0)) + (square(aq(x2, x1 * -1.0296452)) * -2.3938916)",0.0063677572077979845,-(-1)*3.4151149*x0 + (x2**2/(1.06016923788304*x1**2 + 1))*(-2.3938916) - 1.356467,PySRFunction(X=>-(-1)*3.4151149*x0 + (x2**2/(1.06016923788304*x1**2 + 1))*(-2.3938916) - 1.356467)
16,0.0057659624,"((aq(x2, x1 * (exp(x2) + -0.92053235)) + 0.19823597) * -2.904891) - (x0 * -3.414879)",0.06318176234603919,-(-3.414879)*x0 + (x2/sqrt(x1**2*(exp(x2) - 0.92053235)**2 + 1) + 0.19823597)*(-2.904891),PySRFunction(X=>-(-3.414879)*x0 + (x2/sqrt(x1**2*(exp(x2) - 0.92053235)**2 + 1) + 0.19823597)*(-2.904891))
17,0.005190611,"((x2 + 0.1932876) * aq(-2.916955, (log(x2) + exp(0.23642527)) * x1)) - (x0 * -3.4152262)",0.1051206615643576,3.4152262*x0 - 2.916955*(x2 + 0.1932876)/sqrt(x1**2*(log(x2) + 1.2667128906287)**2 + 1),PySRFunction(X=>3.4152262*x0 - 2.916955*(x2 + 0.1932876)/sqrt(x1**2*(log(x2) + 1.2667128906287)**2 + 1))
18,0.0048750546,"((aq(x2, (x1 * (x2 + 1.1109879)) * square(x2)) + 0.1710596) * -2.9951205) - (x0 * -3.4151695)",0.062720112258415,-(-3.4151695)*x0 + (x2/sqrt(x1**2*x2**4*(x2 + 1.1109879)**2 + 1) + 0.1710596)*(-2.9951205),PySRFunction(X=>-(-3.4151695)*x0 + (x2/sqrt(x1**2*x2**4*(x2 + 1.1109879)**2 + 1) + 0.1710596)*(-2.9951205))
