Complexity,Loss,Equation,score,sympy_format,lambda_format
1,263.89066,-3.8034077,0.0,-3.80340770000000,PySRFunction(X=>-3.80340770000000)
2,215.68094,exp(x0),0.20173466466589696,exp(x0),PySRFunction(X=>exp(x0))
3,168.29933,"aq(-9.328098, x0)",0.24805606582054796,-9.328098/sqrt(x0**2 + 1),PySRFunction(X=>-9.328098/sqrt(x0**2 + 1))
4,133.00838,square(x0 * -2.1400323),0.23533198644684197,4.57973824504329*x0**2,PySRFunction(X=>4.57973824504329*x0**2)
5,118.91898,"aq(-17.11387, x0) - -11.27046",0.11196971285730051,-1*(-11.27046) - 17.11387/sqrt(x0**2 + 1),PySRFunction(X=>-1*(-11.27046) - 17.11387/sqrt(x0**2 + 1))
6,93.66266,"square(aq(x2, x0)) * -20.422764",0.23874281694834618,(x2**2/(x0**2 + 1))*(-20.422764),PySRFunction(X=>(x2**2/(x0**2 + 1))*(-20.422764))
7,78.861,"11.216392 - (aq(x2, x0) * 28.42124)",0.17201279488095725,11.216392 - 28.42124*x2/sqrt(x0**2 + 1),PySRFunction(X=>11.216392 - 28.42124*x2/sqrt(x0**2 + 1))
8,74.70604,((square(x0) - 1.2749625) * x2) * 8.128308,0.05412586343864163,(x0**2 - 1*1.2749625)*x2*8.128308,PySRFunction(X=>(x0**2 - 1*1.2749625)*x2*8.128308)
9,63.93152,((x0 + x2) * (x0 - 1.0246093)) * 7.4149675,0.1557484351294186,(x0 + x2)*(x0 - 1*1.0246093)*7.4149675,PySRFunction(X=>(x0 + x2)*(x0 - 1*1.0246093)*7.4149675)
10,60.05176,(x0 - 1.1349739) * square((x2 * 3.6211622) + x0),0.06260565349525898,(x0 - 1*1.1349739)*(x0 + x2*3.6211622)**2,PySRFunction(X=>(x0 - 1*1.1349739)*(x0 + x2*3.6211622)**2)
11,54.291374,(x0 - 1.1733481) * ((x2 * 9.600458) + (x0 * 5.9441085)),0.10084150088035881,(x0 - 1*1.1733481)*(x0*5.9441085 + x2*9.600458),PySRFunction(X=>(x0 - 1*1.1733481)*(x0*5.9441085 + x2*9.600458))
12,42.490406,((x0 * 5.963032) + square(x2 * 3.6017702)) * (x0 - 1.1229074),0.24508704685485236,(x0 - 1*1.1229074)*(x0*5.963032 + 12.972748573608*x2**2),PySRFunction(X=>(x0 - 1*1.1229074)*(x0*5.963032 + 12.972748573608*x2**2))
13,38.426735,(((x2 * 15.052812) + (x0 * 6.0287623)) * (x0 - 1.7610247)) + 10.876026,0.10052486796997723,(x0 - 1*1.7610247)*(x0*6.0287623 + x2*15.052812) + 10.876026,PySRFunction(X=>(x0 - 1*1.7610247)*(x0*6.0287623 + x2*15.052812) + 10.876026)
14,34.144615,(((x0 - x1) + (square(x2) * 2.5569272)) * (x0 - 1.1058236)) * 5.978234,0.11814855439402831,(x0 - x1 + x2**2*2.5569272)*(x0 - 1*1.1058236)*5.978234,PySRFunction(X=>(x0 - x1 + x2**2*2.5569272)*(x0 - 1*1.1058236)*5.978234)
15,30.222284,"((x0 + (2.6720352 * aq(x2, x1))) * (6.06272 * (x0 - 1.78679))) - -11.44313",0.12202535383118479,(x0 + 2.6720352*(x2/sqrt(x1**2 + 1)))*6.06272*(x0 - 1*1.78679) - 1*(-11.44313),PySRFunction(X=>(x0 + 2.6720352*(x2/sqrt(x1**2 + 1)))*6.06272*(x0 - 1*1.78679) - 1*(-11.44313))
16,25.812088,(((x0 - 1.640259) * ((x0 - square(x1)) + (x2 * 2.5239007))) * 6.0587025) + 8.64366,0.1577366237405464,(x0 - 1*1.640259)*(x0 - x1**2 + x2*2.5239007)*6.0587025 + 8.64366,PySRFunction(X=>(x0 - 1*1.640259)*(x0 - x1**2 + x2*2.5239007)*6.0587025 + 8.64366)
17,25.465033,"aq(((x0 - 1.0938377) * 7.2137737) * ((x0 + square(x2 * 1.578187)) - square(x1)), x2)",0.013536653102732823,7.2137737*(x0 - 1*1.0938377)*(x0 - x1**2 + 2.490674206969*x2**2)/sqrt(x2**2 + 1),PySRFunction(X=>7.2137737*(x0 - 1*1.0938377)*(x0 - x1**2 + 2.490674206969*x2**2)/sqrt(x2**2 + 1))
18,23.359741,"((aq(7.101051, x2) * (x0 - 1.824683)) * ((x2 * 2.915602) + (x0 - square(x1)))) + 12.246058",0.08629218566226227,(x0 - 1*1.824683)*(7.101051/sqrt(x2**2 + 1))*(x0 - x1**2 + x2*2.915602) + 12.246058,PySRFunction(X=>(x0 - 1*1.824683)*(7.101051/sqrt(x2**2 + 1))*(x0 - x1**2 + x2*2.915602) + 12.246058)
20,21.302773,"aq(14.018768, x1) + ((x0 + ((x2 * 2.974432) - square(x1))) * aq((x0 - 1.8730264) * 7.164511, x2))",0.04608840926734153,(7.164511*(x0 - 1*1.8730264)/sqrt(x2**2 + 1))*(x0 - x1**2 + x2*2.974432) + 14.018768/sqrt(x1**2 + 1),PySRFunction(X=>(7.164511*(x0 - 1*1.8730264)/sqrt(x2**2 + 1))*(x0 - x1**2 + x2*2.974432) + 14.018768/sqrt(x1**2 + 1))
