Complexity,Loss,Equation,score,sympy_format,lambda_format
1,495.17786,-5.1145678,0.0,-5.11456780000000,PySRFunction(X=>-5.11456780000000)
3,479.48264,x2 * -10.229105,0.01610466093698141,x2*(-10.229105),PySRFunction(X=>x2*(-10.229105))
4,472.09665,square(x2) * -15.042813,0.015523957715718833,x2**2*(-15.042813),PySRFunction(X=>x2**2*(-15.042813))
5,469.01917,(x2 * -25.579552) - -10.233097,0.006540089761439325,x2*(-25.579552) - 1*(-10.233097),PySRFunction(X=>x2*(-25.579552) - 1*(-10.233097))
6,449.82465,"aq(-6.7971234, log(x2 + x0))",0.04178580165346321,-6.7971234/sqrt(log(x0 + x2)**2 + 1),PySRFunction(X=>-6.7971234/sqrt(log(x0 + x2)**2 + 1))
7,443.8005,"aq(-6.84917, square(log(x0 + x2)))",0.013482703026437552,-6.84917/sqrt(log(x0 + x2)**4 + 1),PySRFunction(X=>-6.84917/sqrt(log(x0 + x2)**4 + 1))
8,440.37744,square(log(x0 + square(x2))) + -5.44629,0.007742959753095338,log(x0 + x2**2)**2 - 5.44629,PySRFunction(X=>log(x0 + x2**2)**2 - 5.44629)
9,432.8081,"aq(-5.7295914, square(log(x0 + (x2 * 0.74004567))))",0.01733773467928097,-5.7295914/sqrt(log(x0 + 0.74004567*x2)**4 + 1),PySRFunction(X=>-5.7295914/sqrt(log(x0 + 0.74004567*x2)**4 + 1))
10,423.87024,-6.244915 + square(x1 + log(x0 + square(x2))),0.020867072042097045,(x1 + log(x0 + x2**2))**2 - 6.244915,PySRFunction(X=>(x1 + log(x0 + x2**2))**2 - 6.244915)
11,419.92767,(x2 * -10.806347) + square(log(x0 + x2) * 1.759124),0.009344888495887502,-10.806347*x2 + 3.094517247376*log(x0 + x2)**2,PySRFunction(X=>-10.806347*x2 + 3.094517247376*log(x0 + x2)**2)
12,416.23755,(9.726005 + (x2 * -25.836414)) + square(log(square(x2 + x0))),0.008826351223683469,-25.836414*x2 + log((x0 + x2)**2)**2 + 9.726005,PySRFunction(X=>-25.836414*x2 + log((x0 + x2)**2)**2 + 9.726005)
13,409.65454,(x2 * -11.278224) + square(x1 + (log(x2 + x0) * 1.9020647)),0.015941911779506913,-11.278224*x2 + (x1 + 1.9020647*log(x0 + x2))**2,PySRFunction(X=>-11.278224*x2 + (x1 + 1.9020647*log(x0 + x2))**2)
14,403.44208,(x2 * -11.132323) + square((square(x1) + log(x0 + x2)) * 1.8600855),0.015281285741434319,-11.132323*x2 + (1.8600855*x1**2 + 1.8600855*log(x0 + x2))**2,PySRFunction(X=>-11.132323*x2 + (1.8600855*x1**2 + 1.8600855*log(x0 + x2))**2)
15,398.44073,(square(x2) * -16.10627) + square((square(x1) + log(x0 + x2)) * -2.025981),0.012474178995838768,-16.10627*x2**2 + (-2.025981*x1**2 - 2.025981*log(x0 + x2))**2,PySRFunction(X=>-16.10627*x2**2 + (-2.025981*x1**2 - 2.025981*log(x0 + x2))**2)
16,393.74133,((square(log(x2 + x0) + square(x1)) * 3.4699297) + (x2 * -25.886316)) + 9.759176,0.011864583570852382,-25.886316*x2 + 3.4699297*(x1**2 + log(x0 + x2))**2 + 9.759176,PySRFunction(X=>-25.886316*x2 + 3.4699297*(x1**2 + log(x0 + x2))**2 + 9.759176)
17,389.25793,"square((log(x2 + aq(x0, x0)) + square(x1)) * -2.025981) + (square(x2) * -16.10627)",0.01145198783197056,-16.10627*x2**2 + (-2.025981*x1**2 - 2.025981*log(x0/sqrt(x0**2 + 1) + x2))**2,PySRFunction(X=>-16.10627*x2**2 + (-2.025981*x1**2 - 2.025981*log(x0/sqrt(x0**2 + 1) + x2))**2)
18,387.08884,"(square(log(x2 + aq(x0, x0)) + square(x1)) * 4.0533752) + ((x2 * -25.960705) + 9.771597)",0.005587955609565561,-25.960705*x2 + 4.0533752*(x1**2 + log(x0/sqrt(x0**2 + 1) + x2))**2 + 9.771597,PySRFunction(X=>-25.960705*x2 + 4.0533752*(x1**2 + log(x0/sqrt(x0**2 + 1) + x2))**2 + 9.771597)
20,386.4019,"((-25.376236 - x0) * x2) + ((square(log(aq(x0, x0) + x2) + square(x1)) * 4.0708075) + 9.7374735)",0.0008881039488631076,x2*(-x0 - 25.376236) + 4.0708075*(x1**2 + log(x0/sqrt(x0**2 + 1) + x2))**2 + 9.7374735,PySRFunction(X=>x2*(-x0 - 25.376236) + 4.0708075*(x1**2 + log(x0/sqrt(x0**2 + 1) + x2))**2 + 9.7374735)
