Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.4321914,-0.50288093,0.0,-0.502880930000000,PySRFunction(X=>-0.502880930000000)
2,5.2418976,square(x0),0.03565905509467501,x0**2,PySRFunction(X=>x0**2)
3,4.1988144,x0 - x2,0.2218813704566823,x0 - x2,PySRFunction(X=>x0 - x2)
4,3.2812045,log(x0 + 0.029150968),0.246591619129938,log(x0 + 0.029150968),PySRFunction(X=>log(x0 + 0.029150968))
5,1.8056417,(x0 - x2) * 3.0804954,0.5972945395243516,(x0 - x2)*3.0804954,PySRFunction(X=>(x0 - x2)*3.0804954)
7,1.1373403,((x0 - x2) * 3.0534227) - x1,0.23111178734422397,-x1 + (x0 - x2)*3.0534227,PySRFunction(X=>-x1 + (x0 - x2)*3.0534227)
9,0.8904555,((x0 - x2) * (3.479212 - x0)) - x1,0.12235730790456535,-x1 + (3.479212 - x0)*(x0 - x2),PySRFunction(X=>-x1 + (3.479212 - x0)*(x0 - x2))
10,0.7449317,"aq((x0 - x2) * 5.5824375, exp(x0)) - x1",0.1784405932306544,-x1 + 5.5824375*(x0 - x2)/sqrt(exp(2*x0) + 1),PySRFunction(X=>-x1 + 5.5824375*(x0 - x2)/sqrt(exp(2*x0) + 1))
11,0.74265194,(((x0 - 1.5123724) * -2.8513553) * (x0 - x2)) - x1,0.003065053585527376,-x1 + (x0 - 1*1.5123724)*(-2.8513553)*(x0 - x2),PySRFunction(X=>-x1 + (x0 - 1*1.5123724)*(-2.8513553)*(x0 - x2))
12,0.60906875,"aq((x0 * 6.294581) - (x2 * 5.1335545), exp(x0)) - x1",0.19829633141712988,-x1 + (x0*6.294581 - 5.1335545*x2)/sqrt(exp(2*x0) + 1),PySRFunction(X=>-x1 + (x0*6.294581 - 5.1335545*x2)/sqrt(exp(2*x0) + 1))
14,0.5967415,"aq((x0 * 7.8666835) - (x2 * 6.399644), exp(x0 + 0.31248778)) - x1",0.010223565012541092,-x1 + (x0*7.8666835 - 6.399644*x2)/sqrt(1.86820029805898*exp(2*x0) + 1),PySRFunction(X=>-x1 + (x0*7.8666835 - 6.399644*x2)/sqrt(1.86820029805898*exp(2*x0) + 1))
16,0.58026886,"aq(x0 - (exp(((x2 - x0) * 1.7625118) + (x2 * x1)) + -0.5644604), x2)",0.01399623671955312,(x0 - (exp(x1*x2 + (-x0 + x2)*1.7625118) - 0.5644604))/sqrt(x2**2 + 1),PySRFunction(X=>(x0 - (exp(x1*x2 + (-x0 + x2)*1.7625118) - 0.5644604))/sqrt(x2**2 + 1))
18,0.5659112,"x0 - aq(exp((x2 * x1) + (aq(x2 - x0, x0) * 1.7506506)) + -0.5086075, -0.7023245)",0.012527186211235155,x0 - (0.818337263030894*exp(x1*x2 + ((-x0 + x2)/sqrt(x0**2 + 1))*1.7506506) - 0.416212469506985),PySRFunction(X=>x0 - (0.818337263030894*exp(x1*x2 + ((-x0 + x2)/sqrt(x0**2 + 1))*1.7506506) - 0.416212469506985))
20,0.5542207,"aq((x0 + 0.63193667) - exp((x2 * x1) + (aq(x2 - x0, x0) * 1.5831925)), x1 + -0.288749)",0.010437096283553961,(x0 - exp(x1*x2 + ((-x0 + x2)/sqrt(x0**2 + 1))*1.5831925) + 0.63193667)/sqrt((x1 - 0.288749)**2 + 1),PySRFunction(X=>(x0 - exp(x1*x2 + ((-x0 + x2)/sqrt(x0**2 + 1))*1.5831925) + 0.63193667)/sqrt((x1 - 0.288749)**2 + 1))
