Complexity,Loss,Equation,score,sympy_format,lambda_format
1,8.391796,-1.5231777,0.0,-1.52317770000000,PySRFunction(X=>-1.52317770000000)
3,6.1748915,x2 * -3.370558,0.15338162521173754,x2*(-3.370558),PySRFunction(X=>x2*(-3.370558))
4,4.560438,log(square(log(x2))),0.30307263996435424,log(log(x2)**2),PySRFunction(X=>log(log(x2)**2))
5,4.5300665,3.0464685 - (x2 * 7.6161084),0.006682052246221453,3.0464685 - 7.6161084*x2,PySRFunction(X=>3.0464685 - 7.6161084*x2)
6,4.0595775,"log(square(aq(log(x2), x0)))",0.1096577151396991,log(log(x2)**2/(x0**2 + 1)),PySRFunction(X=>log(log(x2)**2/(x0**2 + 1)))
7,3.6319637,"(x2 * -8.192981) - aq(-3.9606333, x0)",0.11130543796348498,x2*(-8.192981) - (-1)*3.9606333/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-8.192981) - (-1)*3.9606333/sqrt(x0**2 + 1))
8,3.238099,(x2 * -7.3560777) + exp(1.5117822 - x0),0.1147870369789948,x2*(-7.3560777) + exp(1.5117822 - x0),PySRFunction(X=>x2*(-7.3560777) + exp(1.5117822 - x0))
9,3.1276581,"aq(4.3688807, x0 + x1) + (x2 * -8.185401)",0.03470191557671954,x2*(-8.185401) + 4.3688807/sqrt((x0 + x1)**2 + 1),PySRFunction(X=>x2*(-8.185401) + 4.3688807/sqrt((x0 + x1)**2 + 1))
10,2.767708,"(x2 * -7.223686) + square(aq(2.2106233 - x0, x1))",0.12226497277865353,x2*(-7.223686) + (2.2106233 - x0)**2/(x1**2 + 1),PySRFunction(X=>x2*(-7.223686) + (2.2106233 - x0)**2/(x1**2 + 1))
11,2.5625858,"square(x0 - aq(2.2017925, square(x1))) + (x2 * -7.3118734)",0.07700271403052653,x2*(-7.3118734) + (x0 - 2.2017925/sqrt(x1**4 + 1))**2,PySRFunction(X=>x2*(-7.3118734) + (x0 - 2.2017925/sqrt(x1**4 + 1))**2)
12,2.3992891,(x2 * -7.2250867) + square(x0 - (2.1887414 - square(square(x1)))),0.06584434168860193,x2*(-7.2250867) + (x0 - (2.1887414 - x1**4))**2,PySRFunction(X=>x2*(-7.2250867) + (x0 - (2.1887414 - x1**4))**2)
13,2.3152187,(-7.3118734 * x2) + square((2.2017925 - square(square(square(x1)))) - x0),0.03566833122377225,-7.3118734*x2 + (-x0 - x1**8 + 2.2017925)**2,PySRFunction(X=>-7.3118734*x2 + (-x0 - x1**8 + 2.2017925)**2)
14,2.2410502,((x2 * -7.616549) + 4.7874084) - square(square(square(x1)) + (x0 - -0.69594514)),0.03255955863657629,x2*(-7.616549) - (x0 + x1**4 - 1*(-0.69594514))**2 + 4.7874084,PySRFunction(X=>x2*(-7.616549) - (x0 + x1**4 - 1*(-0.69594514))**2 + 4.7874084)
15,2.079253,(x2 * -7.6153855) + (5.1154833 - square(square(square(square(x1))) + (x0 - -0.85474694))),0.07493590068830303,x2*(-7.6153855) - (x0 + x1**8 - 1*(-0.85474694))**2 + 5.1154833,PySRFunction(X=>x2*(-7.6153855) - (x0 + x1**8 - 1*(-0.85474694))**2 + 5.1154833)
16,2.0045512,"(x2 * -7.6749954) + (aq(4.3159757, x0) - (square(square(square(x1 - -0.19084723))) + x0))",0.036588499290032966,x2*(-7.6749954) - (x0 + (x1 - 1*(-0.19084723))**8) + 4.3159757/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-7.6749954) - (x0 + (x1 - 1*(-0.19084723))**8) + 4.3159757/sqrt(x0**2 + 1))
17,1.7517226,"(aq(4.2913713, x0) + (x2 * -7.6792655)) - (square(square(square(square(x1 - -0.117025256)))) + x0)",0.1348205486587079,x2*(-7.6792655) - (x0 + (x1 - 1*(-0.117025256))**16) + 4.2913713/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-7.6792655) - (x0 + (x1 - 1*(-0.117025256))**16) + 4.2913713/sqrt(x0**2 + 1))
18,1.6092186,(((x2 * -6.909644) + 3.8038802) - (x0 + square(square(x2 * square(x1 - -0.4350765))))) - x0,0.08485092707971999,-x0 + x2*(-6.909644) - (x0 + x2**4*(x1 - 1*(-0.4350765))**8) + 3.8038802,PySRFunction(X=>-x0 + x2*(-6.909644) - (x0 + x2**4*(x1 - 1*(-0.4350765))**8) + 3.8038802)
19,1.1503335,"((x2 * -7.2320447) + aq(4.0298777, x0)) - (x0 + square(square(square(square(x1 - (x2 * -0.18709873))))))",0.33569681923181427,x2*(-7.2320447) - (x0 + (x1 - (-0.18709873)*x2)**16) + 4.0298777/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-7.2320447) - (x0 + (x1 - (-0.18709873)*x2)**16) + 4.0298777/sqrt(x0**2 + 1))
