Complexity,Loss,Equation,score,sympy_format,lambda_format
1,20.174072,-3.3734517,0.0,-3.37345170000000,PySRFunction(X=>-3.37345170000000)
3,12.833089,x2 * -6.879485,0.22618565104653116,x2*(-6.879485),PySRFunction(X=>x2*(-6.879485))
4,8.966043,square(x2) * -10.2660055,0.35858247186599324,x2**2*(-10.2660055),PySRFunction(X=>x2**2*(-10.2660055))
5,7.2651997,(x2 * -16.869583) + 6.747994,0.21034865701694072,6.747994 + x2*(-16.869583),PySRFunction(X=>6.747994 + x2*(-16.869583))
6,7.265199,(square(x2) * -14.057469) + 2.2492018,9.634973061702164e-08,2.2492018 + x2**2*(-14.057469),PySRFunction(X=>2.2492018 + x2**2*(-14.057469))
7,5.897382,"(x2 * -17.199202) + aq(7.929325, x0)",0.20858716462932986,x2*(-17.199202) + 7.929325/sqrt(x0**2 + 1),PySRFunction(X=>x2*(-17.199202) + 7.929325/sqrt(x0**2 + 1))
9,5.590958,"(x2 * -16.913704) + aq(10.562185, x0 + 0.71759456)",0.02667893683901705,x2*(-16.913704) + 10.562185/sqrt((x0 + 0.71759456)**2 + 1),PySRFunction(X=>x2*(-16.913704) + 10.562185/sqrt((x0 + 0.71759456)**2 + 1))
11,5.4559,"aq(((x2 * -17.769558) + 8.893751) + (x0 * -3.5791314), x1)",0.012226529007936427,(x0*(-3.5791314) + x2*(-17.769558) + 8.893751)/sqrt(x1**2 + 1),PySRFunction(X=>(x0*(-3.5791314) + x2*(-17.769558) + 8.893751)/sqrt(x1**2 + 1))
12,5.30507,"(aq(x2, square(x1)) * -17.170015) + ((x0 * -3.399018) + 8.34676)",0.028034624849590063,x0*(-3.399018) + (x2/sqrt(x1**4 + 1))*(-17.170015) + 8.34676,PySRFunction(X=>x0*(-3.399018) + (x2/sqrt(x1**4 + 1))*(-17.170015) + 8.34676)
13,5.134555,"aq(13.656722, aq(-1.200049 - x0, x1 + -0.34720933)) + (x2 * -17.448977)",0.032669787627811274,x2*(-17.448977) + 13.656722/sqrt((-x0 - 1.200049)**2/((x1 - 0.34720933)**2 + 1) + 1),PySRFunction(X=>x2*(-17.448977) + 13.656722/sqrt((-x0 - 1.200049)**2/((x1 - 0.34720933)**2 + 1) + 1))
14,4.956499,"((aq(x2, square(x1)) * -17.393517) + 8.7278) + ((x0 * -3.3984745) - x1)",0.0352935347145199,x0*(-3.3984745) - x1 + (x2/sqrt(x1**4 + 1))*(-17.393517) + 8.7278,PySRFunction(X=>x0*(-3.3984745) - x1 + (x2/sqrt(x1**4 + 1))*(-17.393517) + 8.7278)
16,4.640175,"(((aq(-13.780073, exp(x1 * -9.33213)) - (x0 * 5.046335)) * x2) + 5.9764447) - x2",0.03297378184566541,x2*(-5.046335*x0 - 13.780073/sqrt(1 + exp(-18.66426*x1))) - x2 + 5.9764447,PySRFunction(X=>x2*(-5.046335*x0 - 13.780073/sqrt(1 + exp(-18.66426*x1))) - x2 + 5.9764447)
17,3.4552407,"(aq((((x1 * 0.81382203) + 1.7549603) + x2) * -1.4385979, x1) * (x0 + 11.890169)) + 39.659004",0.2948599591021437,(-1.4385979*(x1*0.81382203 + x2 + 1.7549603)/sqrt(x1**2 + 1))*(x0 + 11.890169) + 39.659004,PySRFunction(X=>(-1.4385979*(x1*0.81382203 + x2 + 1.7549603)/sqrt(x1**2 + 1))*(x0 + 11.890169) + 39.659004)
19,3.4533105,"(((aq(((x1 * 0.81587046) + 1.76144) + x2, x1) * -1.4069722) * (x0 + 12.130677)) + 38.35894) - -1.2635624",0.0002793928848966221,((x1*0.81587046 + x2 + 1.76144)/sqrt(x1**2 + 1))*(-1.4069722)*(x0 + 12.130677) - 1*(-1.2635624) + 38.35894,PySRFunction(X=>((x1*0.81587046 + x2 + 1.76144)/sqrt(x1**2 + 1))*(-1.4069722)*(x0 + 12.130677) - 1*(-1.2635624) + 38.35894)
