Complexity,Loss,Equation,score,sympy_format,lambda_format
1,146.8596,x0,0.0,x0,PySRFunction(X=>x0)
2,134.52795,square(x0),0.08770504419281258,x0**2,PySRFunction(X=>x0**2)
3,112.47746,"aq(-6.629993, x0)",0.1790191381294604,-6.629993/sqrt(x0**2 + 1),PySRFunction(X=>-6.629993/sqrt(x0**2 + 1))
4,107.439285,"aq(-6.1119313, square(x0))",0.045826948699366016,-6.1119313/sqrt(x0**4 + 1),PySRFunction(X=>-6.1119313/sqrt(x0**4 + 1))
5,94.09247,"aq(-11.387746, x0) + 6.839191",0.13264787518022003,6.839191 - 11.387746/sqrt(x0**2 + 1),PySRFunction(X=>6.839191 - 11.387746/sqrt(x0**2 + 1))
6,90.344124,square(x0 * 1.7777113) - 4.2386217,0.04065204318339362,3.16025746614769*x0**2 - 1*4.2386217,PySRFunction(X=>3.16025746614769*x0**2 - 1*4.2386217)
7,84.933334,"6.299125 - (x2 * aq(17.930145, x0))",0.061759336072891774,6.299125 - x2*17.930145/sqrt(x0**2 + 1),PySRFunction(X=>6.299125 - x2*17.930145/sqrt(x0**2 + 1))
8,83.05878,(square(x0 * 0.635365) - x2) * 7.917588,0.022318092961678256,(0.403688683225*x0**2 - x2)*7.917588,PySRFunction(X=>(0.403688683225*x0**2 - x2)*7.917588)
9,80.56834,(square(x0 * -0.529573) - square(x2)) * 11.308866,0.030442781542842558,(0.280447562329*x0**2 - x2**2)*11.308866,PySRFunction(X=>(0.280447562329*x0**2 - x2**2)*11.308866)
10,80.281876,((square(x0) * 3.148234) - (x2 * 15.631106)) - -5.088821,0.003561876508305751,x0**2*3.148234 - 15.631106*x2 - 1*(-5.088821),PySRFunction(X=>x0**2*3.148234 - 15.631106*x2 - 1*(-5.088821))
11,77.14243,"(square(x0 * aq(-0.5591164, x1)) - square(x2)) * 11.318808",0.03989043841572525,(0.31261114874896*x0**2/(x1**2 + 1) - x2**2)*11.318808,PySRFunction(X=>(0.31261114874896*x0**2/(x1**2 + 1) - x2**2)*11.318808)
13,74.69019,(5.5461903 - (((x1 - x0) * x0) * 3.8428698)) - (x2 * 15.892908),0.016152347618497945,-3.8428698*x0*(-x0 + x1) - 15.892908*x2 + 5.5461903,PySRFunction(X=>-3.8428698*x0*(-x0 + x1) - 15.892908*x2 + 5.5461903)
15,73.2557,((x0 * (x2 - ((x1 - x0) * 3.3897161))) - (x2 * 16.368555)) + 5.6327567,0.009696348822146724,x0*(x2 - 3.3897161*(-x0 + x1)) - 16.368555*x2 + 5.6327567,PySRFunction(X=>x0*(x2 - 3.3897161*(-x0 + x1)) - 16.368555*x2 + 5.6327567)
16,71.437744,((x0 * 3.683246) * ((x2 - 0.52959085) - (x1 - x0))) - (square(x2) * 11.407497),0.02512970344710129,x0*3.683246*(x2 - (-x0 + x1) - 1*0.52959085) - 11.407497*x2**2,PySRFunction(X=>x0*3.683246*(x2 - (-x0 + x1) - 1*0.52959085) - 11.407497*x2**2)
17,70.53828,((((x2 - 0.55706936) - (x1 - x0)) * x0) * 3.7469313) - ((x2 * 17.789526) - 6.632786),0.012670815940229792,(x2 - (-x0 + x1) - 1*0.55706936)*x0*3.7469313 - (x2*17.789526 - 1*6.632786),PySRFunction(X=>(x2 - (-x0 + x1) - 1*0.55706936)*x0*3.7469313 - (x2*17.789526 - 1*6.632786))
19,70.3598,(((((x2 - 0.5608845) - (x1 - x0)) * x0) * 3.7715533) - ((x2 * 17.88708) - 6.4387484)) + x1,0.001266731920431889,(x2 - (-x0 + x1) - 1*0.5608845)*x0*3.7715533 + x1 - (x2*17.88708 - 1*6.4387484),PySRFunction(X=>(x2 - (-x0 + x1) - 1*0.5608845)*x0*3.7715533 + x1 - (x2*17.88708 - 1*6.4387484))
