Complexity,Loss,Equation,score,sympy_format,lambda_format
1,75.739235,x0,0.0,x0,PySRFunction(X=>x0)
2,74.2525,exp(x0),0.019824874929704115,exp(x0),PySRFunction(X=>exp(x0))
3,52.476727,x0 * 3.0929468,0.3471016710745545,x0*3.0929468,PySRFunction(X=>x0*3.0929468)
4,47.210377,log(x0 - -0.12235291),0.10575605595251901,log(x0 + 0.12235291),PySRFunction(X=>log(x0 + 0.12235291))
5,39.439327,log(square(-0.28054214 - x0)),0.17985025442826122,log((-x0 - 0.28054214)**2),PySRFunction(X=>log((-x0 - 0.28054214)**2))
6,38.59571,log(x0 + 0.41577506) * 2.7158377,0.021622335296405313,2.7158377*log(x0 + 0.41577506),PySRFunction(X=>2.7158377*log(x0 + 0.41577506))
7,38.103657,"aq(x0 * 4.8498783, x0) + -2.5036044",0.012830868619485965,4.8498783*x0/sqrt(x0**2 + 1) - 2.5036044,PySRFunction(X=>4.8498783*x0/sqrt(x0**2 + 1) - 2.5036044)
8,35.91749,"aq(5.990658, exp(x0)) * (x0 - x2)",0.0590858982915458,(x0 - x2)*(5.990658/sqrt(exp(2*x0) + 1)),PySRFunction(X=>(x0 - x2)*(5.990658/sqrt(exp(2*x0) + 1)))
9,34.609177,x0 * (5.0351 - (x0 * square(exp(x1)))),0.03710548537691299,x0*(5.0351 - x0*exp(2*x1)),PySRFunction(X=>x0*(5.0351 - x0*exp(2*x1)))
10,33.98536,"(x0 * aq(5.4887924, x0 * exp(x1))) + -2.5685904",0.01818903445883805,x0*(5.4887924/sqrt(x0**2*exp(2*x1) + 1)) - 2.5685904,PySRFunction(X=>x0*(5.4887924/sqrt(x0**2*exp(2*x1) + 1)) - 2.5685904)
11,25.664654,(x0 + -0.5624186) * (4.1560082 - (x0 * square(exp(x1)))),0.28081512912463746,(4.1560082 - x0*exp(2*x1))*(x0 - 0.5624186),PySRFunction(X=>(4.1560082 - x0*exp(2*x1))*(x0 - 0.5624186))
12,25.664534,(x0 + -0.5632323) * (4.153991 - (x0 * exp(x1 + x1))),4.67570225342099e-06,(4.153991 - x0*exp(x1 + x1))*(x0 - 0.5632323),PySRFunction(X=>(4.153991 - x0*exp(x1 + x1))*(x0 - 0.5632323))
13,21.744411,(x0 + -0.33530068) * (((x1 * (x0 - x2)) * -10.092664) + 3.4252617),0.1657532798280863,(x0 - 0.33530068)*(x1*(x0 - x2)*(-10.092664) + 3.4252617),PySRFunction(X=>(x0 - 0.33530068)*(x1*(x0 - x2)*(-10.092664) + 3.4252617))
14,20.579765,(((x0 - square(x2)) * (x1 * -9.862017)) + 3.6020296) * (x0 + -0.4722824),0.05504844750870384,(x0 - 0.4722824)*((x0 - x2**2)*x1*(-9.862017) + 3.6020296),PySRFunction(X=>(x0 - 0.4722824)*((x0 - x2**2)*x1*(-9.862017) + 3.6020296))
15,20.521402,"(x0 + aq(-0.43861386, x1)) * ((((x0 - x2) * -10.24322) * x1) + 3.328976)",0.0028399699320888275,(x0 - 0.43861386/sqrt(x1**2 + 1))*((x0 - x2)*(-10.24322)*x1 + 3.328976),PySRFunction(X=>(x0 - 0.43861386/sqrt(x1**2 + 1))*((x0 - x2)*(-10.24322)*x1 + 3.328976))
16,19.361599,"(x0 + aq(-0.60450363, x1)) * ((((x0 - square(x2)) * -10.022888) * x1) + 3.479997)",0.05817667014233789,(x0 - 0.60450363/sqrt(x1**2 + 1))*((x0 - x2**2)*(-10.022888)*x1 + 3.479997),PySRFunction(X=>(x0 - 0.60450363/sqrt(x1**2 + 1))*((x0 - x2**2)*(-10.022888)*x1 + 3.479997))
17,18.262573,"(aq(-2.247103, x1) + (x0 + 1.4965585)) * (((x0 - x2) * (x1 * -10.155056)) + 3.1314955)",0.05843789708204743,((x0 - x2)*x1*(-10.155056) + 3.1314955)*(x0 + 1.4965585 - 2.247103/sqrt(x1**2 + 1)),PySRFunction(X=>((x0 - x2)*x1*(-10.155056) + 3.1314955)*(x0 + 1.4965585 - 2.247103/sqrt(x1**2 + 1)))
