Complexity,Loss,Equation,score,sympy_format,lambda_format
1,77.75087,-1.5235777,0.0,-1.52357770000000,PySRFunction(X=>-1.52357770000000)
3,41.74044,x0 * -2.679957,0.3110196488334015,x0*(-2.679957),PySRFunction(X=>x0*(-2.679957))
5,40.13067,"aq(x0 * -3.1870646, x2)",0.019664781581122698,-3.1870646*x0/sqrt(x2**2 + 1),PySRFunction(X=>-3.1870646*x0/sqrt(x2**2 + 1))
6,39.472122,(exp(x2) - 4.538996) * x0,0.016546229297536786,x0*(exp(x2) - 1*4.538996),PySRFunction(X=>x0*(exp(x2) - 1*4.538996))
7,38.636135,x0 * ((x2 * 3.8135388) + -4.9669566),0.021406672119286884,x0*(x2*3.8135388 - 4.9669566),PySRFunction(X=>x0*(x2*3.8135388 - 4.9669566))
8,35.43248,(exp(x1 + x2) - 5.1692567) * x0,0.08655906485625256,x0*(exp(x1 + x2) - 1*5.1692567),PySRFunction(X=>x0*(exp(x1 + x2) - 1*5.1692567))
9,33.277145,x0 * (square(square(x1 + x2)) - 3.8210173),0.0627580885917707,x0*((x1 + x2)**4 - 1*3.8210173),PySRFunction(X=>x0*((x1 + x2)**4 - 1*3.8210173))
10,28.057133,(square(square(x2 + square(x1))) - 3.4091187) * x0,0.17062792947229344,x0*((x1**2 + x2)**4 - 1*3.4091187),PySRFunction(X=>x0*((x1**2 + x2)**4 - 1*3.4091187))
11,24.299229,x0 * (exp(square(square(x2) + square(x1))) - 4.455433),0.14379827409307672,x0*(exp((x1**2 + x2**2)**2) - 1*4.455433),PySRFunction(X=>x0*(exp((x1**2 + x2**2)**2) - 1*4.455433))
12,22.256275,x0 * (exp(square(square(square(square(x1))) + x2)) - 4.604622),0.08782063012478754,x0*(exp((x1**8 + x2)**2) - 1*4.604622),PySRFunction(X=>x0*(exp((x1**8 + x2)**2) - 1*4.604622))
13,16.81961,(exp(square(x2 + square(square(x1)))) - 4.737148) * (x0 - x1),0.28007852372983144,(x0 - x1)*(exp((x1**4 + x2)**2) - 1*4.737148),PySRFunction(X=>(x0 - x1)*(exp((x1**4 + x2)**2) - 1*4.737148))
14,15.178504,(x0 - x1) * (exp(square(x2 + square(square(square(x1))))) - 4.5740576),0.10266525120706145,(x0 - x1)*(exp((x1**8 + x2)**2) - 1*4.5740576),PySRFunction(X=>(x0 - x1)*(exp((x1**8 + x2)**2) - 1*4.5740576))
15,13.524291,(square(square(square(square((x2 + 0.41497636) * x1)))) - 2.9763288) * (x0 - x1),0.1153928144696855,(x0 - x1)*(x1**16*(x2 + 0.41497636)**16 - 1*2.9763288),PySRFunction(X=>(x0 - x1)*(x1**16*(x2 + 0.41497636)**16 - 1*2.9763288))
16,13.121382,(square(square(square(square(x1 * (x2 + 0.41492683))))) - 2.972403) * (x0 - square(x1)),0.03024428858230232,(x0 - x1**2)*(x1**16*(x2 + 0.41492683)**16 - 1*2.972403),PySRFunction(X=>(x0 - x1**2)*(x1**16*(x2 + 0.41492683)**16 - 1*2.972403))
17,12.396975,"(x0 - x1) * (square(square(square(square((x2 + 0.41392466) * x1)))) - aq(3.502132, x2))",0.05679062209736364,(x0 - x1)*(x1**16*(x2 + 0.41392466)**16 - 3.502132/sqrt(x2**2 + 1)),PySRFunction(X=>(x0 - x1)*(x1**16*(x2 + 0.41392466)**16 - 3.502132/sqrt(x2**2 + 1)))
19,12.287701,((x0 - x1) * (square(square(square(square(x1 * (x2 + 0.41492683))))) - 2.972403)) - (x2 + x1),0.004426823905036368,(x0 - x1)*(x1**16*(x2 + 0.41492683)**16 - 1*2.972403) - (x1 + x2),PySRFunction(X=>(x0 - x1)*(x1**16*(x2 + 0.41492683)**16 - 1*2.972403) - (x1 + x2))
20,11.88451,"((square(square(square((log(x2) + 1.7050724) * square(x1)))) - 2.482952) * aq(x0 - x1, x0)) - x0",0.03336297190394749,-x0 + (x0 - x1)*(x1**16*(log(x2) + 1.7050724)**8 - 2.482952)/sqrt(x0**2 + 1),PySRFunction(X=>-x0 + (x0 - x1)*(x1**16*(log(x2) + 1.7050724)**8 - 2.482952)/sqrt(x0**2 + 1))
