Complexity,Loss,Equation,score,sympy_format,lambda_format
1,24.636395,x0,0.0,x0,PySRFunction(X=>x0)
2,22.978804,exp(x0),0.06965259533378743,exp(x0),PySRFunction(X=>exp(x0))
3,10.020342,x0 * 2.6565816,0.8299549989986921,x0*2.6565816,PySRFunction(X=>x0*2.6565816)
4,8.923387,log(x0 + 0.16265994),0.11594164376971057,log(x0 + 0.16265994),PySRFunction(X=>log(x0 + 0.16265994))
5,4.0513153,log(square(x0 + 0.37558496)),0.7896339892153919,log((x0 + 0.37558496)**2),PySRFunction(X=>log((x0 + 0.37558496)**2))
6,3.1991317,2.3111794 - exp(1.4978069 - x0),0.236162164590364,2.3111794 - exp(1.4978069 - x0),PySRFunction(X=>2.3111794 - exp(1.4978069 - x0))
7,3.1153305,"3.9900427 * (aq(x0, x0) - x2)",0.026544183105585123,3.9900427*(x0/sqrt(x0**2 + 1) - x2),PySRFunction(X=>3.9900427*(x0/sqrt(x0**2 + 1) - x2))
8,2.7012887,x0 - square((x2 + x0) - 2.0081322),0.14260629069278555,x0 - (x0 + x2 - 1*2.0081322)**2,PySRFunction(X=>x0 - (x0 + x2 - 1*2.0081322)**2)
9,2.3673308,"aq((x0 * 3.8631039) - 2.5111966, x2 + x0)",0.13196587970581286,(x0*3.8631039 - 1*2.5111966)/sqrt((x0 + x2)**2 + 1),PySRFunction(X=>(x0*3.8631039 - 1*2.5111966)/sqrt((x0 + x2)**2 + 1))
10,1.2766992,"(aq(5.929099, exp(x2 * x0)) * x0) + -2.1679952",0.6174850785026426,x0*(5.929099/sqrt(exp(2*x0*x2) + 1)) - 2.1679952,PySRFunction(X=>x0*(5.929099/sqrt(exp(2*x0*x2) + 1)) - 2.1679952)
11,1.1096592,"aq(x0 * 4.1154695, (x2 * x0) * -1.8185538) - 2.179185",0.14022505607371008,4.1154695*x0/sqrt(3.30713792349444*x0**2*x2**2 + 1) - 1*2.179185,PySRFunction(X=>4.1154695*x0/sqrt(3.30713792349444*x0**2*x2**2 + 1) - 1*2.179185)
12,1.0868034,"(aq(x0, x2 * (-1.7878133 * x0)) * 4.0419016) - exp(x2)",0.020812214139109712,(x0/sqrt(3.19627639565689*x0**2*x2**2 + 1))*4.0419016 - exp(x2),PySRFunction(X=>(x0/sqrt(3.19627639565689*x0**2*x2**2 + 1))*4.0419016 - exp(x2))
13,1.0122237,"aq(aq(x0 * 4.3320603, (x2 * -1.823014) * x0) - 2.2946382, x1)",0.0710911331469387,(4.3320603*x0/sqrt(3.323380044196*x0**2*x2**2 + 1) - 1*2.2946382)/sqrt(x1**2 + 1),PySRFunction(X=>(4.3320603*x0/sqrt(3.323380044196*x0**2*x2**2 + 1) - 1*2.2946382)/sqrt(x1**2 + 1))
14,0.9407696,"aq((x0 * aq(4.230567, (x0 * -1.8176013) * x2)) - 2.2395778, square(x1))",0.07320660915373876,(x0*(4.230567/sqrt(3.30367448576169*x0**2*x2**2 + 1)) - 1*2.2395778)/sqrt(x1**4 + 1),PySRFunction(X=>(x0*(4.230567/sqrt(3.30367448576169*x0**2*x2**2 + 1)) - 1*2.2395778)/sqrt(x1**4 + 1))
15,0.8914151,"aq(aq(x0 * 4.3225303, x0 * (x2 * -1.8912153)), aq(x1, x0)) - 2.1743226",0.05388806368263588,4.3225303*x0/(sqrt(3.57669531095409*x0**2*x2**2 + 1)*sqrt(x1**2/(x0**2 + 1) + 1)) - 1*2.1743226,PySRFunction(X=>4.3225303*x0/(sqrt(3.57669531095409*x0**2*x2**2 + 1)*sqrt(x1**2/(x0**2 + 1) + 1)) - 1*2.1743226)
17,0.81357384,"aq((x0 * exp(aq(1.4610051, (x0 * -1.6306494) * x2))) - 2.2431924, square(aq(x1, x0)))",0.04568675459469715,(x0*exp(1.4610051/sqrt(2.65901746572036*x0**2*x2**2 + 1)) - 1*2.2431924)/sqrt(x1**4/(x0**2 + 1)**2 + 1),PySRFunction(X=>(x0*exp(1.4610051/sqrt(2.65901746572036*x0**2*x2**2 + 1)) - 1*2.2431924)/sqrt(x1**4/(x0**2 + 1)**2 + 1))
18,0.7765193,"aq(aq(x0 * 4.3127866, (x2 * -1.8246304) * x0) - (exp(x2) - -0.40913263), aq(x1, x0))",0.046615193426105664,(4.3127866*x0/sqrt(3.32927609660416*x0**2*x2**2 + 1) - (exp(x2) - 1*(-0.40913263)))/sqrt(x1**2/(x0**2 + 1) + 1),PySRFunction(X=>(4.3127866*x0/sqrt(3.32927609660416*x0**2*x2**2 + 1) - (exp(x2) - 1*(-0.40913263)))/sqrt(x1**2/(x0**2 + 1) + 1))
19,0.7469827,"aq((x0 * aq(4.2405, x0 * (x2 * -1.8372468))) - (exp(x2) - -0.3876195), aq(x1, exp(x0)))",0.038779471838228406,(x0*(4.2405/sqrt(3.37547580411024*x0**2*x2**2 + 1)) - (exp(x2) - 1*(-0.3876195)))/sqrt(x1**2/(exp(2*x0) + 1) + 1),PySRFunction(X=>(x0*(4.2405/sqrt(3.37547580411024*x0**2*x2**2 + 1)) - (exp(x2) - 1*(-0.3876195)))/sqrt(x1**2/(exp(2*x0) + 1) + 1))
20,0.71913177,"aq((aq(x0 * 4.3373094, x0 * (x2 * -1.8622347)) - exp(x2)) - 0.41619772, aq(x1, x0 * -2.301837))",0.03799741620294184,(4.3373094*x0/sqrt(3.46791807788409*x0**2*x2**2 + 1) - exp(x2) - 1*0.41619772)/sqrt(x1**2/(5.298453574569*x0**2 + 1) + 1),PySRFunction(X=>(4.3373094*x0/sqrt(3.46791807788409*x0**2*x2**2 + 1) - exp(x2) - 1*0.41619772)/sqrt(x1**2/(5.298453574569*x0**2 + 1) + 1))
