Complexity,Loss,Equation,score,sympy_format,lambda_format
1,61.265842,-0.09740411,0.0,-0.0974041100000000,PySRFunction(X=>-0.0974041100000000)
2,22.926933,exp(x0),0.9829101278623789,exp(x0),PySRFunction(X=>exp(x0))
3,4.2309904,x0 * 3.2691655,1.6898762302493824,x0*3.2691655,PySRFunction(X=>x0*3.2691655)
5,1.0827171,(x0 * 3.440992) + -1.8180226,0.6814811938547517,x0*3.440992 - 1.8180226,PySRFunction(X=>x0*3.440992 - 1.8180226)
7,0.1250634,-1.980156 - (x0 * (x0 - 4.439319)),1.0792040926604927,-x0*(x0 - 1*4.439319) - 1.980156,PySRFunction(X=>-x0*(x0 - 1*4.439319) - 1.980156)
8,0.016422361,"log(aq(x0 + 1.796248, 2.0780802)) * 7.771919",2.03017692696875,7.771919*log(0.433619489740449*x0 + 0.778888141207302),PySRFunction(X=>7.771919*log(0.433619489740449*x0 + 0.778888141207302))
10,0.015143506,((log(x0 - -1.1261852) * 3.8346887) + x0) + -2.3945503,0.0405360442778719,x0 + 3.8346887*log(x0 + 1.1261852) - 2.3945503,PySRFunction(X=>x0 + 3.8346887*log(x0 + 1.1261852) - 2.3945503)
12,0.0065519116,"(log(aq(x0 - -1.6882788, -1.8582466)) * 7.3824897) + (x2 * -0.49650064)",0.4189074693995527,-0.49650064*x2 + 7.3824897*log(0.473881473873311*x0 + 0.800044046053065),PySRFunction(X=>-0.49650064*x2 + 7.3824897*log(0.473881473873311*x0 + 0.800044046053065))
14,0.0056658075,((x0 + (x2 * -0.4826546)) + (log(x0 - -1.133251) * 3.8530025)) + -2.1351712,0.07265371407516369,x0 - 0.4826546*x2 + 3.8530025*log(x0 + 1.133251) - 2.1351712,PySRFunction(X=>x0 - 0.4826546*x2 + 3.8530025*log(x0 + 1.133251) - 2.1351712)
15,0.0056555783,(log(x0 - -1.1256244) * 3.8333428) + ((x0 + (log(x2) * -0.28749084)) + -2.5579495),0.0018070584227571494,x0 - 0.28749084*log(x2) + 3.8333428*log(x0 + 1.1256244) - 2.5579495,PySRFunction(X=>x0 - 0.28749084*log(x2) + 3.8333428*log(x0 + 1.1256244) - 2.5579495)
16,0.005077298,"(x2 * aq(-0.55087304, x1)) + (-2.1133623 + ((3.8577461 * log(x0 - -1.1358995)) + x0))",0.10786313750010079,x0 - 0.55087304*x2/sqrt(x1**2 + 1) + 3.8577461*log(x0 + 1.1358995) - 2.1133623,PySRFunction(X=>x0 - 0.55087304*x2/sqrt(x1**2 + 1) + 3.8577461*log(x0 + 1.1358995) - 2.1133623)
18,0.00491252,"((x2 * aq(-0.506925, x1)) + ((x0 + (log(x0 - -1.1303575) * 3.8439035)) + -2.102474)) + -0.01975042",0.01649609094458038,x0 - 0.506925*x2/sqrt(x1**2 + 1) + 3.8439035*log(x0 + 1.1303575) - 2.12222442,PySRFunction(X=>x0 - 0.506925*x2/sqrt(x1**2 + 1) + 3.8439035*log(x0 + 1.1303575) - 2.12222442)
