Complexity,Loss,Equation,score,sympy_format,lambda_format
1,6.2139215,-0.51754344,0.0,-0.517543440000000,PySRFunction(X=>-0.517543440000000)
3,5.6524777,x0 - x2,0.047349099060570596,x0 - x2,PySRFunction(X=>x0 - x2)
4,4.3538504,log(x0 + 0.00017437023),0.261033376993053,log(x0 + 0.00017437023),PySRFunction(X=>log(x0 + 0.00017437023))
5,3.500982,(x0 - x2) * 3.15345,0.2180171024410057,(x0 - x2)*3.15345,PySRFunction(X=>(x0 - x2)*3.15345)
6,2.6281564,log((x0 - x2) + 0.8005745),0.2867608887820023,log(x0 - x2 + 0.8005745),PySRFunction(X=>log(x0 - x2 + 0.8005745))
7,1.4971926,x2 * ((x0 * 5.773692) + -5.076446),0.5626908573126566,x2*(x0*5.773692 - 5.076446),PySRFunction(X=>x2*(x0*5.773692 - 5.076446))
8,0.6728016,square(x2) * (8.438438 * (x0 - 0.73836464)),0.7998965466814204,x2**2*8.438438*(x0 - 1*0.73836464),PySRFunction(X=>x2**2*8.438438*(x0 - 1*0.73836464))
9,0.66352916,(((x0 + -0.9507351) * x2) * 5.744592) + 1.0356643,0.013877685214057136,(x0 - 0.9507351)*x2*5.744592 + 1.0356643,PySRFunction(X=>(x0 - 0.9507351)*x2*5.744592 + 1.0356643)
10,0.4735831,(((x0 - 0.7780619) * 8.359904) + x1) * square(x2),0.3372454027516567,x2**2*(x1 + (x0 - 1*0.7780619)*8.359904),PySRFunction(X=>x2**2*(x1 + (x0 - 1*0.7780619)*8.359904))
11,0.1348619,"aq(((x0 + -0.9551427) * x2) * 5.979828, x1) + 1.0325793",1.2560761069197275,5.979828*x2*(x0 - 0.9551427)/sqrt(x1**2 + 1) + 1.0325793,PySRFunction(X=>5.979828*x2*(x0 - 0.9551427)/sqrt(x1**2 + 1) + 1.0325793)
13,0.087517574,"aq((x0 + -1.1424674) * (x2 * 4.235698), x1) + (x0 + 0.53242654)",0.21620583649034944,x0 + 4.235698*x2*(x0 - 1.1424674)/sqrt(x1**2 + 1) + 0.53242654,PySRFunction(X=>x0 + 4.235698*x2*(x0 - 1.1424674)/sqrt(x1**2 + 1) + 0.53242654)
15,0.07735985,"(((1.9321892 * aq((x0 + -1.3662) * x2, x1)) + 0.13485673) + x0) * 1.6257272",0.06168585337722581,(x0 + 1.9321892*(x2*(x0 - 1.3662)/sqrt(x1**2 + 1)) + 0.13485673)*1.6257272,PySRFunction(X=>(x0 + 1.9321892*(x2*(x0 - 1.3662)/sqrt(x1**2 + 1)) + 0.13485673)*1.6257272)
17,0.07381314,"aq((x0 * 2.111857) + (x2 * aq((x0 + -1.6000504) * 2.5551224, aq(x1, 0.75214547))), x1)",0.02346557380924548,(x0*2.111857 + x2*(2.5551224*(x0 - 1.6000504)/sqrt(0.638682654978276*x1**2 + 1)))/sqrt(x1**2 + 1),PySRFunction(X=>(x0*2.111857 + x2*(2.5551224*(x0 - 1.6000504)/sqrt(0.638682654978276*x1**2 + 1)))/sqrt(x1**2 + 1))
18,0.07364668,"(aq(0.12072955, square(x1)) + (x2 * aq((x0 + -1.4699475) * 2.8127162, x1))) + (x0 * 1.8133004)",0.002257700717481127,x0*1.8133004 + x2*(2.8127162*(x0 - 1.4699475)/sqrt(x1**2 + 1)) + 0.12072955/sqrt(x1**4 + 1),PySRFunction(X=>x0*1.8133004 + x2*(2.8127162*(x0 - 1.4699475)/sqrt(x1**2 + 1)) + 0.12072955/sqrt(x1**4 + 1))
19,0.07164167,"(aq(0.16249605, square(square(x1))) + (x0 * 1.7435571)) + ((aq(x0 + -1.42959, x1) * x2) * 2.9347155)",0.027602175900374885,x0*1.7435571 + ((x0 - 1.42959)/sqrt(x1**2 + 1))*x2*2.9347155 + 0.16249605/sqrt(x1**8 + 1),PySRFunction(X=>x0*1.7435571 + ((x0 - 1.42959)/sqrt(x1**2 + 1))*x2*2.9347155 + 0.16249605/sqrt(x1**8 + 1))
20,0.07138659,"(x2 * (aq(x0 + -1.3898633, x1) * 3.0647826)) + (aq(0.20492217, square(square(square(x1)))) + (x0 * 1.6691066))",0.003566851340236806,x0*1.6691066 + x2*((x0 - 1.3898633)/sqrt(x1**2 + 1))*3.0647826 + 0.20492217/sqrt(x1**16 + 1),PySRFunction(X=>x0*1.6691066 + x2*((x0 - 1.3898633)/sqrt(x1**2 + 1))*3.0647826 + 0.20492217/sqrt(x1**16 + 1))
