Complexity,Loss,Equation,score,sympy_format,lambda_format
1,23.829239,-3.8040493,0.0,-3.80404930000000,PySRFunction(X=>-3.80404930000000)
3,14.638042,x2 * -7.7279987,0.24364479982254122,x2*(-7.7279987),PySRFunction(X=>x2*(-7.7279987))
4,8.557049,log(0.8009 - x2),0.5368683686938807,log(0.8009 - x2),PySRFunction(X=>log(0.8009 - x2))
5,7.736962,(x2 * -19.01998) + 7.608321,0.1007462836346065,7.608321 + x2*(-19.01998),PySRFunction(X=>7.608321 + x2*(-19.01998))
6,7.6325235,x0 + log(0.8009 - x2),0.013590579529959606,x0 + log(0.8009 - x2),PySRFunction(X=>x0 + log(0.8009 - x2))
7,4.0675073,"7.802518 - (x2 * aq(21.96146, x0))",0.6293881697372614,7.802518 - x2*21.96146/sqrt(x0**2 + 1),PySRFunction(X=>7.802518 - x2*21.96146/sqrt(x0**2 + 1))
8,4.0348682,"2.5848536 - square(aq(x2 * 4.511573, x0))",0.008056717823569237,2.5848536 - 20.354290934329*x2**2/(x0**2 + 1),PySRFunction(X=>2.5848536 - 20.354290934329*x2**2/(x0**2 + 1))
9,3.6224494,"aq(8.192423 - (aq(x2, x0) * 23.122002), x1)",0.10782321013889884,(8.192423 - 23.122002*x2/sqrt(x0**2 + 1))/sqrt(x1**2 + 1),PySRFunction(X=>(8.192423 - 23.122002*x2/sqrt(x0**2 + 1))/sqrt(x1**2 + 1))
10,3.0701213,"7.7335234 - aq(aq(x2 * 22.44301, x0), square(x1))",0.1654333546419728,7.7335234 - 22.44301*x2/(sqrt(x0**2 + 1)*sqrt(x1**4 + 1)),PySRFunction(X=>7.7335234 - 22.44301*x2/(sqrt(x0**2 + 1)*sqrt(x1**4 + 1)))
11,2.7063072,"7.861283 - aq(aq(x2 * 22.417374, x0), square(square(x1)))",0.12613202341524657,7.861283 - 22.417374*x2/(sqrt(x0**2 + 1)*sqrt(x1**8 + 1)),PySRFunction(X=>7.861283 - 22.417374*x2/(sqrt(x0**2 + 1)*sqrt(x1**8 + 1)))
12,2.6200871,"8.059248 - aq(x1 + (aq(x2, x0) * 22.63129), square(x1))",0.03237748730871974,8.059248 - (x1 + (x2/sqrt(x0**2 + 1))*22.63129)/sqrt(x1**4 + 1),PySRFunction(X=>8.059248 - (x1 + (x2/sqrt(x0**2 + 1))*22.63129)/sqrt(x1**4 + 1))
13,2.5619738,"7.676985 - (aq(x2, square(square(x1))) * (aq(25.892315, x0) - 3.3725808))",0.0224295844586196,7.676985 - x2/sqrt(x1**8 + 1)*(-1*3.3725808 + 25.892315/sqrt(x0**2 + 1)),PySRFunction(X=>7.676985 - x2/sqrt(x1**8 + 1)*(-1*3.3725808 + 25.892315/sqrt(x0**2 + 1)))
14,2.068636,"7.7992086 - ((23.762218 - square(-1.6538675 - (x1 * -4.564545))) * aq(x2, x0))",0.21388852415193882,7.7992086 - x2/sqrt(x0**2 + 1)*(23.762218 - (-(-4.564545)*x1 - 1.6538675)**2),PySRFunction(X=>7.7992086 - x2/sqrt(x0**2 + 1)*(23.762218 - (-(-4.564545)*x1 - 1.6538675)**2))
15,1.9097801,"7.8046556 - ((23.245968 - square(square(-1.2311364 - (x1 * -3.053545)))) * aq(x2, x0))",0.07990134834426114,7.8046556 - x2/sqrt(x0**2 + 1)*(23.245968 - (-(-3.053545)*x1 - 1.2311364)**4),PySRFunction(X=>7.8046556 - x2/sqrt(x0**2 + 1)*(23.245968 - (-(-3.053545)*x1 - 1.2311364)**4))
17,1.7466543,"7.539495 - ((aq(27.45378, x0) - 3.8382773) * aq(x2, square((x1 + square(x1)) - 0.70597744)))",0.044642987526655756,7.539495 - x2/sqrt((x1**2 + x1 - 1*0.70597744)**4 + 1)*(-1*3.8382773 + 27.45378/sqrt(x0**2 + 1)),PySRFunction(X=>7.539495 - x2/sqrt((x1**2 + x1 - 1*0.70597744)**4 + 1)*(-1*3.8382773 + 27.45378/sqrt(x0**2 + 1)))
18,1.6586301,"7.55547 - aq(x2 * (aq(29.842781, square(x0)) - 6.8743525), (x1 - 0.528122) + square(square(x1)))",0.05171010878128465,7.55547 - x2*(-1*6.8743525 + 29.842781/sqrt(x0**4 + 1))/sqrt((x1**4 + x1 - 1*0.528122)**2 + 1),PySRFunction(X=>7.55547 - x2*(-1*6.8743525 + 29.842781/sqrt(x0**4 + 1))/sqrt((x1**4 + x1 - 1*0.528122)**2 + 1))
20,1.5903583,"square(x0 * x0) + (7.627193 - aq(x2 * (23.291727 - square(square(-1.2307249 - (x1 * -3.052956)))), x0))",0.021016341974153405,x0**4 - x2*(23.291727 - (-(-3.052956)*x1 - 1.2307249)**4)/sqrt(x0**2 + 1) + 7.627193,PySRFunction(X=>x0**4 - x2*(23.291727 - (-(-3.052956)*x1 - 1.2307249)**4)/sqrt(x0**2 + 1) + 7.627193)
