Complexity,Loss,Equation,score,sympy_format,lambda_format
1,71.14633,-0.7479846,0.0,-0.747984600000000,PySRFunction(X=>-0.747984600000000)
2,67.87984,square(x0),0.046999658776476244,x0**2,PySRFunction(X=>x0**2)
3,65.44556,x1 * x0,0.03652043125198541,x0*x1,PySRFunction(X=>x0*x1)
4,61.91178,x1 * exp(x0),0.05550818347932741,x1*exp(x0),PySRFunction(X=>x1*exp(x0))
5,55.015366,x1 * (x0 * 4.7799916),0.11809794050034872,x1*x0*4.7799916,PySRFunction(X=>x1*x0*4.7799916)
7,47.824097,(x1 + -0.20623891) * (x0 * 7.6586137),0.07004144711048517,(x1 - 0.20623891)*x0*7.6586137,PySRFunction(X=>(x1 - 0.20623891)*x0*7.6586137)
8,40.72844,log((x1 * 13.329695) - -0.011790539) * x0,0.16060301388965972,x0*log(13.329695*x1 + 0.011790539),PySRFunction(X=>x0*log(13.329695*x1 + 0.011790539))
9,33.121643,log(square(-0.09324983 - (x1 * 8.898448))) * x0,0.20673968414561897,x0*log((-8.898448*x1 - 0.09324983)**2),PySRFunction(X=>x0*log((-8.898448*x1 - 0.09324983)**2))
11,27.728941,x0 * (x0 + log(square(-0.05686518 - (x1 * 5.4512634)))),0.08885513328119461,x0*(x0 + log((-5.4512634*x1 - 0.05686518)**2)),PySRFunction(X=>x0*(x0 + log((-5.4512634*x1 - 0.05686518)**2)))
12,25.767708,(x0 * 2.139221) * (log((x1 * 3.1628022) - -0.04156613) + x0),0.07335458913199813,2.139221*x0*(x0 + log(3.1628022*x1 + 0.04156613)),PySRFunction(X=>2.139221*x0*(x0 + log(3.1628022*x1 + 0.04156613)))
14,23.131008,(2.5809455 - x1) * (x0 * (x0 + log((x1 * 3.3328774) - -0.057896733))),0.053974012509934506,x0*(2.5809455 - x1)*(x0 + log(3.3328774*x1 + 0.057896733)),PySRFunction(X=>x0*(2.5809455 - x1)*(x0 + log(3.3328774*x1 + 0.057896733)))
16,21.607996,"(aq(3.2446053, 2.2933137 * x1) * x0) * (x0 + log((x1 * 3.2825034) - -0.081899196))",0.03405531184332029,3.2446053*x0*(x0 + log(3.2825034*x1 + 0.081899196))/sqrt(5.25928772660769*x1**2 + 1),PySRFunction(X=>3.2446053*x0*(x0 + log(3.2825034*x1 + 0.081899196))/sqrt(5.25928772660769*x1**2 + 1))
18,20.94783,(x0 + log((x1 * 5.522649) - -0.093342744)) * ((x0 * (2.780332 - (x1 * x0))) + -1.252326),0.015514185161284088,(x0 + log(5.522649*x1 + 0.093342744))*(x0*(-x0*x1 + 2.780332) - 1.252326),PySRFunction(X=>(x0 + log(5.522649*x1 + 0.093342744))*(x0*(-x0*x1 + 2.780332) - 1.252326))
20,19.986662,((x0 + log((x1 * 4.303252) - -0.07248875)) * (((2.6958215 - (x1 * x0)) * x0) - x2)) - x2,0.023484954986919215,-x2 + (x0 + log(4.303252*x1 + 0.07248875))*(x0*(-x0*x1 + 2.6958215) - x2),PySRFunction(X=>-x2 + (x0 + log(4.303252*x1 + 0.07248875))*(x0*(-x0*x1 + 2.6958215) - x2))
