Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.7538605,-0.52003586,0.0,-0.520035860000000,PySRFunction(X=>-0.520035860000000)
3,5.0878577,x0 - x2,0.0615070814759372,x0 - x2,PySRFunction(X=>x0 - x2)
4,4.1354933,log(x0 - -0.00041659403),0.2072502378493947,log(x0 + 0.00041659403),PySRFunction(X=>log(x0 + 0.00041659403))
5,1.4328016,(x0 - x2) * 2.732197,1.0599749315717,(x0 - x2)*2.732197,PySRFunction(X=>(x0 - x2)*2.732197)
7,0.33332747,(x0 + -3.162973) * (x2 - x0),0.7291307836405705,(-x0 + x2)*(x0 - 3.162973),PySRFunction(X=>(-x0 + x2)*(x0 - 3.162973))
8,0.23889473,(exp(x0) + -4.375747) * (x2 - x0),0.3331024055099665,(-x0 + x2)*(exp(x0) - 4.375747),PySRFunction(X=>(-x0 + x2)*(exp(x0) - 4.375747))
9,0.20259461,(x2 - x0) * ((x0 * 1.549309) + -3.3999639),0.16481600733476914,(-x0 + x2)*(x0*1.549309 - 3.3999639),PySRFunction(X=>(-x0 + x2)*(x0*1.549309 - 3.3999639))
11,0.12884785,"(x2 - x0) * (x1 + aq(-4.3100677, x0 - -0.6467327))",0.22628736821224904,(-x0 + x2)*(x1 - 4.3100677/sqrt((x0 - 1*(-0.6467327))**2 + 1)),PySRFunction(X=>(-x0 + x2)*(x1 - 4.3100677/sqrt((x0 - 1*(-0.6467327))**2 + 1)))
13,0.11001631,"((aq(-4.2772713, x0 - -0.63283384) + x1) * (x2 - x0)) + -0.13742419",0.07900181168085649,(-x0 + x2)*(x1 - 4.2772713/sqrt((x0 - 1*(-0.63283384))**2 + 1)) - 0.13742419,PySRFunction(X=>(-x0 + x2)*(x1 - 4.2772713/sqrt((x0 - 1*(-0.63283384))**2 + 1)) - 0.13742419)
15,0.10411465,"aq((x2 - x0) * aq(-4.3101125, (x0 - -0.5812166) * -1.1507369), x1) - 0.13495116",0.027567965870877686,-4.3101125*(-x0 + x2)/(sqrt(x1**2 + 1)*sqrt(1.32419541302161*(x0 - 1*(-0.5812166))**2 + 1)) - 1*0.13495116,PySRFunction(X=>-4.3101125*(-x0 + x2)/(sqrt(x1**2 + 1)*sqrt(1.32419541302161*(x0 - 1*(-0.5812166))**2 + 1)) - 1*0.13495116)
17,0.10243883,"aq(aq(x2 - x0, (-0.58082783 - x0) * -1.1468505) + 0.038034372, aq(x1, x1)) * -4.244921",0.008113427920157807,(((-x0 + x2)/sqrt(1.31526606935025*(-x0 - 0.58082783)**2 + 1) + 0.038034372)/sqrt(x1**2/(x1**2 + 1) + 1))*(-4.244921),PySRFunction(X=>(((-x0 + x2)/sqrt(1.31526606935025*(-x0 - 0.58082783)**2 + 1) + 0.038034372)/sqrt(x1**2/(x1**2 + 1) + 1))*(-4.244921))
18,0.100144304,"aq(((x2 - x0) * aq(-4.3128924, (-0.6016002 - x0) * -1.14499)) + -0.15061735, aq(x1, square(x1)))",0.022653654139870836,((-x0 + x2)*(-4.3128924/sqrt(1.3110021001*(-x0 - 0.6016002)**2 + 1)) - 0.15061735)/sqrt(x1**2/(x1**4 + 1) + 1),PySRFunction(X=>((-x0 + x2)*(-4.3128924/sqrt(1.3110021001*(-x0 - 0.6016002)**2 + 1)) - 0.15061735)/sqrt(x1**2/(x1**4 + 1) + 1))
19,0.10008272,"aq((aq(x2 - x0, (-0.60233 - x0) * -1.1464734) + 0.035807803) * -4.3137527, aq(x1, x1 * x1))",0.0006151417597051981,-4.3137527*((-x0 + x2)/sqrt(1.31440125690756*(-x0 - 0.60233)**2 + 1) + 0.035807803)/sqrt(x1**2/(x1**4 + 1) + 1),PySRFunction(X=>-4.3137527*((-x0 + x2)/sqrt(1.31440125690756*(-x0 - 0.60233)**2 + 1) + 0.035807803)/sqrt(x1**2/(x1**4 + 1) + 1))
20,0.09979224,"aq(aq((x2 - x0) * -4.319453, (-0.60050213 - x0) * -1.147424) + -0.14820682, aq(x1, square(x1) + -0.092869855))",0.0029066192634477892,(-4.319453*(-x0 + x2)/sqrt(1.316581835776*(-x0 - 0.60050213)**2 + 1) - 0.14820682)/sqrt(x1**2/((x1**2 - 0.092869855)**2 + 1) + 1),PySRFunction(X=>(-4.319453*(-x0 + x2)/sqrt(1.316581835776*(-x0 - 0.60050213)**2 + 1) - 0.14820682)/sqrt(x1**2/((x1**2 - 0.092869855)**2 + 1) + 1))
