Complexity,Loss,Equation,score,sympy_format,lambda_format
1,21.013187,-3.173206,0.0,-3.17320600000000,PySRFunction(X=>-3.17320600000000)
3,14.169565,x2 * -6.532673,0.1970269192262712,x2*(-6.532673),PySRFunction(X=>x2*(-6.532673))
4,10.596571,square(x2) * -9.671956,0.29056589635461266,x2**2*(-9.671956),PySRFunction(X=>x2**2*(-9.671956))
5,9.098688,(x2 * -15.86366) + 6.3451905,0.15240023091332866,6.3451905 + x2*(-15.86366),PySRFunction(X=>6.3451905 + x2*(-15.86366))
7,7.6736608,"(x2 * aq(-17.898731, x0)) + 6.2861466",0.08516821882764476,x2*(-17.898731/sqrt(x0**2 + 1)) + 6.2861466,PySRFunction(X=>x2*(-17.898731/sqrt(x0**2 + 1)) + 6.2861466)
9,7.5406857,"aq(x2 * -17.90497, aq(x0, x1)) + 6.4131966",0.008740335059759605,-17.90497*x2/sqrt(x0**2/(x1**2 + 1) + 1) + 6.4131966,PySRFunction(X=>-17.90497*x2/sqrt(x0**2/(x1**2 + 1) + 1) + 6.4131966)
10,7.482157,"aq(x2 * -17.850725, x0) - aq(-6.4310126, square(x1))",0.007792000129487236,-17.850725*x2/sqrt(x0**2 + 1) - (-1)*6.4310126/sqrt(x1**4 + 1),PySRFunction(X=>-17.850725*x2/sqrt(x0**2 + 1) - (-1)*6.4310126/sqrt(x1**4 + 1))
11,7.4439054,"aq(x2 * -17.956812, x0) - aq(-6.421462, square(square(x1)))",0.005125488922131315,-17.956812*x2/sqrt(x0**2 + 1) - (-1)*6.421462/sqrt(x1**8 + 1),PySRFunction(X=>-17.956812*x2/sqrt(x0**2 + 1) - (-1)*6.421462/sqrt(x1**8 + 1))
12,7.321089,"(-17.80384 * aq(x2, x0)) + aq(x1 - -6.328332, square(x1))",0.01663654307807665,-17.80384*x2/sqrt(x0**2 + 1) + (x1 - 1*(-6.328332))/sqrt(x1**4 + 1),PySRFunction(X=>-17.80384*x2/sqrt(x0**2 + 1) + (x1 - 1*(-6.328332))/sqrt(x1**4 + 1))
13,6.776198,"(x2 * aq(-18.116684, x0)) - aq(-7.343307, x1 + (x1 - 0.7286674))",0.07734290969773583,x2*(-18.116684/sqrt(x0**2 + 1)) - (-1)*7.343307/sqrt((x1 + x1 - 1*0.7286674)**2 + 1),PySRFunction(X=>x2*(-18.116684/sqrt(x0**2 + 1)) - (-1)*7.343307/sqrt((x1 + x1 - 1*0.7286674)**2 + 1))
14,6.6451387,"(aq(x2, x0) * -18.24521) - aq(-7.4401426, x1 - square(0.8882209 - x1))",0.019530612917961945,(x2/sqrt(x0**2 + 1))*(-18.24521) - (-1)*7.4401426/sqrt((x1 - (0.8882209 - x1)**2)**2 + 1),PySRFunction(X=>(x2/sqrt(x0**2 + 1))*(-18.24521) - (-1)*7.4401426/sqrt((x1 - (0.8882209 - x1)**2)**2 + 1))
16,6.628892,"(aq(x2, x0) * (x2 + -19.346867)) - aq(-7.455212, square(x1 - (0.86182135 - x1)))",0.001223946853819425,(x2/sqrt(x0**2 + 1))*(x2 - 19.346867) - (-1)*7.455212/sqrt((x1 - (0.86182135 - x1))**4 + 1),PySRFunction(X=>(x2/sqrt(x0**2 + 1))*(x2 - 19.346867) - (-1)*7.455212/sqrt((x1 - (0.86182135 - x1))**4 + 1))
17,6.3888416,"(aq(x2, x0) * -18.264936) - aq(-7.569718, aq(square(square(x1 - 0.98090327)) - x1, 0.00036821616))",0.03688470237589263,(x2/sqrt(x0**2 + 1))*(-18.264936) - (-1)*7.569718/sqrt((-0.999999932208437*x1 + 0.999999932208437*(x1 - 1*0.98090327)**4)**2 + 1),PySRFunction(X=>(x2/sqrt(x0**2 + 1))*(-18.264936) - (-1)*7.569718/sqrt((-0.999999932208437*x1 + 0.999999932208437*(x1 - 1*0.98090327)**4)**2 + 1))
19,6.207966,"((aq(x2, x0) * -17.897837) - (aq(-12.805381, square(x1 - square(x1 - 0.91796494))) + 2.7428787)) + -2.739462",0.014359831319382906,(x2/sqrt(x0**2 + 1))*(-17.897837) - (2.7428787 - 12.805381/sqrt((x1 - (x1 - 1*0.91796494)**2)**4 + 1)) - 2.739462,PySRFunction(X=>(x2/sqrt(x0**2 + 1))*(-17.897837) - (2.7428787 - 12.805381/sqrt((x1 - (x1 - 1*0.91796494)**2)**4 + 1)) - 2.739462)
