# param=alphaq z=3.6 tol=0.25 log_space=True source=results/single_z_stage6_log/refit/z3.6/pareto_alphaq.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
19,0.7986282,0.1524341398019946,2.994644090656887e-05,48,True,True
17,0.8067056,0.17103185193912085,2.8580800722657617e-05,48,True,True
16,1.3011084,0.5955883969437586,9.623303427126715e-05,48,False,True
15,1.3090041,0.5967298460587808,9.352367103119249e-05,48,False,True
14,1.7329895,0.5999694109976388,9.46047609537459e-05,48,False,True
13,2.192967,0.5967779587179812,9.532845849176423e-05,48,False,True
12,2.323596,0.5994511420622659,9.919517000197466e-05,48,False,True
11,2.5590916,0.598397220228276,0.00010127341743329226,48,False,True
10,2.839544,0.5944913786830399,0.00011268434976645772,48,False,True
9,3.1933856,0.6092470166986338,0.00012934081373915934,48,False,True
8,3.21358,0.6091639009001896,0.00012229338616931686,48,False,True
7,3.3949955,0.6060446576391811,0.00013190737846221194,48,False,True
6,3.8911605,0.5995828473688168,0.0001774115230267411,48,False,True
4,4.6641393,0.6093956166216168,0.00012290795711351478,48,False,True
