# param=dtau0 z=3.6 tol=0.25 log_space=True source=results/single_z_stage6_log/refit/z3.6/pareto_dtau0.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
20,0.0822098,0.2143087248447974,5.799085193328679e-05,48,True,True
18,0.089790665,0.23046195112727297,7.214120482269164e-05,48,True,True
16,0.10835918,0.1860646251599931,6.46027221291256e-05,48,True,True
14,0.12175332,0.2549400764210533,0.00010152721997147497,48,False,True
12,0.14263983,0.343259156886897,0.00013518473756801683,48,False,True
11,0.17101622,0.353547455408776,0.0001466039582912043,48,False,True
10,0.17407916,0.3712565592787376,0.00015578808418021062,48,False,True
9,0.1810687,0.35316816652346616,0.00014167768556995922,48,False,True
7,0.72021616,0.35025370268179123,0.00020790488489235825,48,False,True
6,1.2288485,0.5395509007280028,0.0007806265567102236,48,False,True
5,3.5009747,0.0802838871107232,8.501711706663005e-05,48,True,True
4,4.551798,0.5140080144295509,0.0006762481050471339,48,False,True
3,5.6524777,0.7042175519515781,0.001268751833500707,48,False,True
