# param=heref z=3.6 tol=0.25 log_space=True source=results/single_z_stage6_log/refit/z3.6/pareto_heref.csv
Complexity,Loss,grad_err,n_keep,gate_pass,x0_enters
20,1.5370872,0.1543996374583394,47,True,True
17,1.5943024,0.14954970631484987,47,True,True
15,2.3058937,0.18424848871937993,47,True,True
14,2.7629423,0.18424849735768856,47,True,True
13,3.1974182,0.17997560977810156,47,True,True
12,3.6148548,0.16581281290967276,47,True,True
10,3.813007,0.16493289320783577,47,True,True
9,4.2740927,0.27073600839702183,47,False,True
8,4.418272,0.20895208796598053,47,True,True
7,6.2056174,0.7966576091622087,47,False,True
