Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.4321914,-0.50288093,0.0,-0.502880930000000,PySRFunction(X=>-0.502880930000000)
2,5.2418976,square(x0),0.03565905509467501,x0**2,PySRFunction(X=>x0**2)
3,4.1988144,x0 - x2,0.2218813704566823,x0 - x2,PySRFunction(X=>x0 - x2)
4,3.2812047,log(x0 + 0.028998807),0.24659155817671363,log(x0 + 0.028998807),PySRFunction(X=>log(x0 + 0.028998807))
5,1.8056415,(x0 - x2) * 3.0806224,0.5972947112415283,(x0 - x2)*3.0806224,PySRFunction(X=>(x0 - x2)*3.0806224)
7,1.1373404,((x2 - x0) * -3.0535324) - x1,0.23111168800003368,-x1 + (-x0 + x2)*(-3.0535324),PySRFunction(X=>-x1 + (-x0 + x2)*(-3.0535324))
9,0.9758222,log(square((x0 + 0.9386453) - x2)) - x1,0.07658371780108303,-x1 + log((x0 - x2 + 0.9386453)**2),PySRFunction(X=>-x1 + log((x0 - x2 + 0.9386453)**2))
10,0.8204403,(log((x0 - x2) + 1.077596) * 2.6555247) - x1,0.17343925031549856,-x1 + 2.6555247*log(x0 - x2 + 1.077596),PySRFunction(X=>-x1 + 2.6555247*log(x0 - x2 + 1.077596))
11,0.69104,log(square((x0 * 1.459071) + (0.9325851 - x2))) - x1,0.17164343815869715,-x1 + log(2.128888183041*(x0 - 0.685367607196634*x2 + 0.639163618494234)**2),PySRFunction(X=>-x1 + log(2.128888183041*(x0 - 0.685367607196634*x2 + 0.639163618494234)**2))
12,0.62544626,((x0 + -2.401668) / exp(x0 - x2)) - (x1 - 2.0862494),0.0997322982641389,(x0 - 2.401668)/exp(x0 - x2) - (x1 - 1*2.0862494),PySRFunction(X=>(x0 - 2.401668)/exp(x0 - x2) - (x1 - 1*2.0862494))
14,0.5989708,((-2.4739838 / exp((x0 * 1.3745495) - x2)) - (x1 - 2.2012968)) + 0.053499248,0.021626280967104745,-(x1 - 1*2.2012968) + 0.053499248 - 2.4739838*exp(-1*x0*1.3745495 + x2),PySRFunction(X=>-(x1 - 1*2.2012968) + 0.053499248 - 2.4739838*exp(-1*x0*1.3745495 + x2))
17,0.5868631,((x0 + -2.5362954) / exp(x0 - x2)) - (square((x0 * 0.2949649) + x1) - 2.23432),0.006807092049134344,(x0 - 2.5362954)/exp(x0 - x2) - ((x0*0.2949649 + x1)**2 - 1*2.23432),PySRFunction(X=>(x0 - 2.5362954)/exp(x0 - x2) - ((x0*0.2949649 + x1)**2 - 1*2.23432))
19,0.5695631,(-2.5064518 / exp((x0 * 1.336727) - x2)) - (exp((x1 + x2) + -0.9769235) - (x2 + 2.4112916)),0.014960998585354214,-(-(x2 + 2.4112916) + exp(x1 + x2 - 0.9769235)) - 2.5064518*exp(-1*x0*1.336727 + x2),PySRFunction(X=>-(-(x2 + 2.4112916) + exp(x1 + x2 - 0.9769235)) - 2.5064518*exp(-1*x0*1.336727 + x2))
