Complexity,Loss,Equation,score,sympy_format,lambda_format
1,8.391796,-1.5231797,0.0,-1.52317970000000,PySRFunction(X=>-1.52317970000000)
3,6.1748915,x2 * -3.370558,0.15338162521173754,x2*(-3.370558),PySRFunction(X=>x2*(-3.370558))
4,4.6641393,x0 / log(x2),0.2805879958403946,x0/log(x2),PySRFunction(X=>x0/log(x2))
5,4.530066,3.0461776 - (x2 * 7.615676),0.02916680674384294,3.0461776 - 7.615676*x2,PySRFunction(X=>3.0461776 - 7.615676*x2)
6,3.8911605,(x1 + x0) / log(x2),0.15202906673729594,(x0 + x1)/log(x2),PySRFunction(X=>(x0 + x1)/log(x2))
7,3.3949955,(x0 + square(x1)) / log(x2),0.1364050066567999,(x0 + x1**2)/log(x2),PySRFunction(X=>(x0 + x1**2)/log(x2))
8,3.21358,(x0 + square(square(x1))) / log(x2),0.0549168550374798,(x0 + x1**4)/log(x2),PySRFunction(X=>(x0 + x1**4)/log(x2))
9,3.1933856,((x0 + square(x1)) / log(x2)) + x1,0.006303909880791262,x1 + (x0 + x1**2)/log(x2),PySRFunction(X=>x1 + (x0 + x1**2)/log(x2))
10,2.839544,((x0 + square(square(x1))) + 0.15831798) / log(x2),0.11743819471171131,(x0 + x1**4 + 0.15831798)/log(x2),PySRFunction(X=>(x0 + x1**4 + 0.15831798)/log(x2))
11,2.5590916,(square(square(square(x1)) + 0.34177) + x0) / log(x2),0.1039911241316231,(x0 + (x1**4 + 0.34177)**2)/log(x2),PySRFunction(X=>(x0 + (x1**4 + 0.34177)**2)/log(x2))
12,2.323596,((x0 + (square(square(x1)) + 0.32347158)) / log(x2)) - -0.9806798,0.09653636610146125,(x0 + x1**4 + 0.32347158)/log(x2) + 0.9806798,PySRFunction(X=>(x0 + x1**4 + 0.32347158)/log(x2) + 0.9806798)
13,2.192967,(((x0 + 0.35486653) + square(square(square(x1)))) / log(x2)) - -0.98071516,0.057860564225155474,(x0 + x1**8 + 0.35486653)/log(x2) + 0.98071516,PySRFunction(X=>(x0 + x1**8 + 0.35486653)/log(x2) + 0.98071516)
14,1.7329895,((x0 + -0.5384916) + square(square(square(square(x1))) + x2)) / log(x2),0.23540746958527217,(x0 + (x1**8 + x2)**2 - 0.5384916)/log(x2),PySRFunction(X=>(x0 + (x1**8 + x2)**2 - 0.5384916)/log(x2))
15,1.3090041,(square(x2 + square(square(square(square(x1))))) + (x0 + -0.5034404)) / log(x2),0.2805813327728282,(x0 + (x1**16 + x2)**2 - 0.5034404)/log(x2),PySRFunction(X=>(x0 + (x1**16 + x2)**2 - 0.5034404)/log(x2))
16,1.3011084,(square(x2 + square(square(square(square(square(x1)))))) + (x0 + -0.49108037)) / log(x2),0.006050102502732183,(x0 + (x1**32 + x2)**2 - 0.49108037)/log(x2),PySRFunction(X=>(x0 + (x1**32 + x2)**2 - 0.49108037)/log(x2))
17,0.8067056,((square(square(square(square(square(x1)))) + x2) / log(x2)) + 1.4468964) - (x0 * 2.540715),0.4780130017834775,-2.540715*x0 + (x1**16 + x2)**2/log(x2) + 1.4468964,PySRFunction(X=>-2.540715*x0 + (x1**16 + x2)**2/log(x2) + 1.4468964)
19,0.7986282,((1.4469297 - (x0 * 2.5407226)) + (square(square(square(square(square(x1)))) + x2) / log(x2))) * 1.0286818,0.005031643989712013,-2.61359509746868*x0 + 1.0286818*(x1**16 + x2)**2/log(x2) + 1.48843024826946,PySRFunction(X=>-2.61359509746868*x0 + 1.0286818*(x1**16 + x2)**2/log(x2) + 1.48843024826946)
