Complexity,Loss,Equation,score,sympy_format,lambda_format
1,29.6996,-4.6852136,0.0,-4.68521360000000,PySRFunction(X=>-4.68521360000000)
3,16.096813,x2 * -9.468182,0.3062561378096908,x2*(-9.468182),PySRFunction(X=>x2*(-9.468182))
4,8.761345,2.0521624 / log(x2),0.6082718701099014,2.0521624/log(x2),PySRFunction(X=>2.0521624/log(x2))
5,5.3670053,(x2 * -23.426834) - -9.3706875,0.4900793512647008,x2*(-23.426834) - 1*(-9.3706875),PySRFunction(X=>x2*(-23.426834) - 1*(-9.3706875))
7,4.525005,((x2 * -23.427004) + x1) + 9.119909,0.08532569929342639,x1 + x2*(-23.427004) + 9.119909,PySRFunction(X=>x1 + x2*(-23.427004) + 9.119909)
8,4.1359534,(exp(x1) + (x2 * -23.425888)) + 8.03103,0.08990081190556379,x2*(-23.425888) + exp(x1) + 8.03103,PySRFunction(X=>x2*(-23.425888) + exp(x1) + 8.03103)
9,3.4297063,(x2 * ((x1 / 0.17763872) + -24.840126)) + 9.371621,0.18724323952858546,x2*(x1/0.17763872 - 24.840126) + 9.371621,PySRFunction(X=>x2*(x1/0.17763872 - 24.840126) + 9.371621)
11,3.0239348,((((x1 / 0.17674252) + -24.846367) * x2) + 9.870829) - x0,0.06295786672560902,-x0 + x2*(x1/0.17674252 - 24.846367) + 9.870829,PySRFunction(X=>-x0 + x2*(x1/0.17674252 - 24.846367) + 9.870829)
13,3.0239334,(((x1 + (x1 / 0.21454367)) + -24.847126) * x2) + (9.870823 - x0),2.3148652607660864e-07,-x0 + x2*(x1 + x1/0.21454367 - 24.847126) + 9.870823,PySRFunction(X=>-x0 + x2*(x1 + x1/0.21454367 - 24.847126) + 9.870823)
14,3.023932,(((x2 * (x1 - (exp(x2) + 1.4291362))) * 5.6621075) + 6.5472684) - x0,4.6297326664840495e-07,-x0 + x2*(x1 - (exp(x2) + 1.4291362))*5.6621075 + 6.5472684,PySRFunction(X=>-x0 + x2*(x1 - (exp(x2) + 1.4291362))*5.6621075 + 6.5472684)
16,3.0024788,(x2 * ((x1 - (exp(x2) + 1.4255326)) * 5.6664534)) + ((5.229941 - x0) * 1.2776312),0.0035598785637877117,x2*(x1 - (exp(x2) + 1.4255326))*5.6664534 + (5.229941 - x0)*1.2776312,PySRFunction(X=>x2*(x1 - (exp(x2) + 1.4255326))*5.6664534 + (5.229941 - x0)*1.2776312)
18,3.0024781,((x2 * ((x1 - (exp(x2) + 1.4269446)) * 5.6652627)) + (6.685617 - x0)) - (x0 * 0.27934638),1.1657036207376042e-07,-x0 - 0.27934638*x0 + x2*(x1 - (exp(x2) + 1.4269446))*5.6652627 + 6.685617,PySRFunction(X=>-x0 - 0.27934638*x0 + x2*(x1 - (exp(x2) + 1.4269446))*5.6652627 + 6.685617)
20,3.0024765,(((((x1 - (exp(x2) + 1.4271545)) * 5.664913) * x2) + 6.685499) - (x0 * 0.40894133)) - (x0 * 0.8702681),2.664466438545915e-07,-0.8702681*x0 - 0.40894133*x0 + (x1 - (exp(x2) + 1.4271545))*5.664913*x2 + 6.685499,PySRFunction(X=>-0.8702681*x0 - 0.40894133*x0 + (x1 - (exp(x2) + 1.4271545))*5.664913*x2 + 6.685499)
