Complexity,Loss,Equation,score,sympy_format,lambda_format
1,6.2139215,-0.517909,0.0,-0.517909000000000,PySRFunction(X=>-0.517909000000000)
3,5.6524777,x0 - x2,0.047349099060570596,x0 - x2,PySRFunction(X=>x0 - x2)
4,4.551798,log(x0 + 0.00087540597),0.2165716602642323,log(x0 + 0.00087540597),PySRFunction(X=>log(x0 + 0.00087540597))
5,3.5009747,(x0 - x2) * 3.1539109,0.2624809043012584,(x0 - x2)*3.1539109,PySRFunction(X=>(x0 - x2)*3.1539109)
6,1.2288485,(x0 - x2) / square(x2),1.046963863406289,(x0 - x2)/(x2**2),PySRFunction(X=>(x0 - x2)/(x2**2))
7,0.72021616,-2.2015374 - (x0 * (-1.7958887 / x2)),0.5342814418409033,-(-1.7958887)*x0/x2 - 2.2015374,PySRFunction(X=>-(-1.7958887)*x0/x2 - 2.2015374)
9,0.1810687,(x0 * (x1 + (1.6783936 / x2))) + -2.2167742,0.6903374359558473,x0*(x1 + 1.6783936/x2) - 2.2167742,PySRFunction(X=>x0*(x1 + 1.6783936/x2) - 2.2167742)
10,0.17407916,((square(x1) + (1.7237291 / x2)) * x0) + -2.2025194,0.03936637897466662,x0*(x1**2 + 1.7237291/x2) - 2.2025194,PySRFunction(X=>x0*(x1**2 + 1.7237291/x2) - 2.2025194)
11,0.17101622,((((1.9011581 / x2) + x1) / 1.1253701) * x0) + -2.2131433,0.01775173248279662,x0*(x1 + 1.9011581/x2)/1.1253701 - 2.2131433,PySRFunction(X=>x0*(x1 + 1.9011581/x2)/1.1253701 - 2.2131433)
12,0.14263983,((((1.6469707 / x2) + 0.18985724) + square(x1)) * x0) + -2.2254765,0.18143562406287092,x0*(x1**2 + 0.18985724 + 1.6469707/x2) - 2.2254765,PySRFunction(X=>x0*(x1**2 + 0.18985724 + 1.6469707/x2) - 2.2254765)
14,0.12175332,((exp(x1 + -1.5403901) + (x0 * 2.5896394)) / (x2 + 0.2078455)) + -2.6037798,0.07916287557893724,-2.6037798 + (x0*2.5896394 + exp(x1 - 1.5403901))/(x2 + 0.2078455),PySRFunction(X=>-2.6037798 + (x0*2.5896394 + exp(x1 - 1.5403901))/(x2 + 0.2078455))
16,0.10835918,((((0.9768233 / x2) + 1.5836463) * (x0 + square(x1 / -2.5830164))) + -1.6957494) - x2,0.05827279038225879,-x2 + (1.5836463 + 0.9768233/x2)*(x0 + 0.149880686220685*x1**2) - 1.6957494,PySRFunction(X=>-x2 + (1.5836463 + 0.9768233/x2)*(x0 + 0.149880686220685*x1**2) - 1.6957494)
18,0.089790665,((log(x1 + x2) / -1.9214396) + (x1 + -2.6021576)) + (x0 * ((1.2180012 / x2) + 1.1314434)),0.09398521657249269,x0*(1.1314434 + 1.2180012/x2) + x1 - 0.520443109426911*log(x1 + x2) - 2.6021576,PySRFunction(X=>x0*(1.1314434 + 1.2180012/x2) + x1 - 0.520443109426911*log(x1 + x2) - 2.6021576)
20,0.0822098,(((1.126469 / x2) + 1.3030782) * x0) + (((log(x1 + x2) / (x2 * -3.8822834)) + -2.6352882) + x1),0.04410325015411254,x0*(1.3030782 + 1.126469/x2) + x1 - 2.6352882 - 0.257580371386592*log(x1 + x2)/x2,PySRFunction(X=>x0*(1.3030782 + 1.126469/x2) + x1 - 2.6352882 - 0.257580371386592*log(x1 + x2)/x2)
