Complexity,Loss,Equation,score,sympy_format,lambda_format
1,23.829239,-3.8040924,0.0,-3.80409240000000,PySRFunction(X=>-3.80409240000000)
3,14.638041,x2 * -7.7267776,0.2436448339801162,x2*(-7.7267776),PySRFunction(X=>x2*(-7.7267776))
4,9.559279,log(0.80196995 - x2),0.4261113822950445,log(0.80196995 - x2),PySRFunction(X=>log(0.80196995 - x2))
5,7.736963,7.607391 - (x2 * 19.018555),0.21150307246860314,7.607391 - 19.018555*x2,PySRFunction(X=>7.607391 - 19.018555*x2)
7,6.2056174,(2.1786804 / log(x2)) + exp(x0),0.11027715961545949,exp(x0) + 2.1786804/log(x2),PySRFunction(X=>exp(x0) + 2.1786804/log(x2))
8,4.418272,7.5198245 - (square(4.8343515 - x0) * x2),0.33970624468723576,7.5198245 - x2*23.3709544255523*(1 - 0.206852977074588*x0)**2,PySRFunction(X=>7.5198245 - x2*23.3709544255523*(1 - 0.206852977074588*x0)**2)
9,4.2740927,7.6073637 - ((x2 * 7.877968) * (2.9141345 - x0)),0.03317682347660918,7.6073637 - 7.877968*x2*(2.9141345 - x0),PySRFunction(X=>7.6073637 - 7.877968*x2*(2.9141345 - x0))
10,3.813007,7.607396 - (((2.711924 - square(x0)) * x2) * 8.007211),0.11415372924723832,7.607396 - 8.007211*x2*(2.711924 - x0**2),PySRFunction(X=>7.607396 - 8.007211*x2*(2.711924 - x0**2))
12,3.6148548,(x1 - (((2.7111418 - square(x0)) * x2) * 8.009796)) + 7.356563,0.026683213934800765,x1 - 8.009796*x2*(2.7111418 - x0**2) + 7.356563,PySRFunction(X=>x1 - 8.009796*x2*(2.7111418 - x0**2) + 7.356563)
13,3.1974182,((square(x1) - (x2 * 7.9102883)) * (2.7470279 - square(x0))) + 7.350768,0.12270801717164401,(2.7470279 - x0**2)*(x1**2 - 7.9102883*x2) + 7.350768,PySRFunction(X=>(2.7470279 - x0**2)*(x1**2 - 7.9102883*x2) + 7.350768)
14,2.7629423,((2.7790577 - square(x0)) * (square(square(x1)) - (x2 * 7.831153))) + 7.488465,0.14604750903216301,(2.7790577 - x0**2)*(x1**4 - 7.831153*x2) + 7.488465,PySRFunction(X=>(2.7790577 - x0**2)*(x1**4 - 7.831153*x2) + 7.488465)
15,2.3058937,7.488465 + (((square(square(square(x1))) - (2.7790575 - square(x0))) * x2) * 7.831153),0.1808278389786824,(x1**8 - (2.7790575 - x0**2))*x2*7.831153 + 7.488465,PySRFunction(X=>(x1**8 - (2.7790575 - x0**2))*x2*7.831153 + 7.488465)
17,1.5943024,(((2.703441 - square(x0)) * x2) * (square((x1 * 2.794654) + -1.0120155) - 8.70835)) + 7.6006656,0.18451602492677793,x2*(2.703441 - x0**2)*(7.810090979716*(x1 - 0.362125508202447)**2 - 1*8.70835) + 7.6006656,PySRFunction(X=>x2*(2.703441 - x0**2)*(7.810090979716*(x1 - 0.362125508202447)**2 - 1*8.70835) + 7.6006656)
20,1.5370872,((square(square((x1 * 2.406671) + -1.0384167)) - 8.609773) * ((2.6986594 - square(x0)) * x2)) + (x1 + 7.3521957),0.012182358982850057,x1 + x2*(2.6986594 - x0**2)*(33.5480204654241*(x1 - 0.431474306209698)**4 - 1*8.609773) + 7.3521957,PySRFunction(X=>x1 + x2*(2.6986594 - x0**2)*(33.5480204654241*(x1 - 0.431474306209698)**4 - 1*8.609773) + 7.3521957)
