Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.7538605,-0.5201576,0.0,-0.520157600000000,PySRFunction(X=>-0.520157600000000)
3,5.0878577,x0 - x2,0.0615070814759372,x0 - x2,PySRFunction(X=>x0 - x2)
4,4.1210523,log(x0 + 0.00034742808),0.21074831450887652,log(x0 + 0.00034742808),PySRFunction(X=>log(x0 + 0.00034742808))
5,1.4328011,(x0 - x2) * 2.7324445,1.0564772038789467,(x0 - x2)*2.7324445,PySRFunction(X=>(x0 - x2)*2.7324445)
6,0.75592667,(0.7537675 - x0) / log(x2),0.6394422443532458,(0.7537675 - x0)/log(x2),PySRFunction(X=>(0.7537675 - x0)/log(x2))
7,0.72850865,(square(-0.8779891) - x0) / log(x2),0.03694487484261136,(0.77086485971881 - x0)/log(x2),PySRFunction(X=>(0.77086485971881 - x0)/log(x2))
8,0.23687714,2.255522 - exp((x2 - x0) - -0.8581157),1.1234578891812033,2.255522 - exp(-x0 + x2 - 1*(-0.8581157)),PySRFunction(X=>2.255522 - exp(-x0 + x2 - 1*(-0.8581157)))
10,0.19793668,(x0 - x2) / exp((x0 * 0.57337385) + -1.2317538),0.08979721426410733,(x0 - x2)/exp(x0*0.57337385 - 1.2317538),PySRFunction(X=>(x0 - x2)/exp(x0*0.57337385 - 1.2317538))
12,0.18985373,2.3083613 - (exp((x2 - x0) - (-0.024852313 / x2)) / 0.43211067),0.020846623996920603,2.3083613 - exp(-x0 + x2 - (-1)*0.024852313/x2)/0.43211067,PySRFunction(X=>2.3083613 - exp(-x0 + x2 - (-1)*0.024852313/x2)/0.43211067)
13,0.18951276,2.3205528 - (exp((x2 - x0) - (-0.13669842 / exp(x2))) / 0.44592768),0.0017975762266937679,2.3205528 - exp(-x0 + x2 - (-1)*0.13669842/exp(x2))/0.44592768,PySRFunction(X=>2.3205528 - exp(-x0 + x2 - (-1)*0.13669842/exp(x2))/0.44592768)
14,0.1834498,(((1.4524701 - exp(0.5352632 - x0)) / x2) / (x2 - -0.22039515)) + -1.4954243,0.032515296762544596,-1.4954243 + (1.4524701 - exp(0.5352632 - x0))/(x2*(x2 - 1*(-0.22039515))),PySRFunction(X=>-1.4954243 + (1.4524701 - exp(0.5352632 - x0))/(x2*(x2 - 1*(-0.22039515))))
15,0.1448074,2.300785 - (exp(x2 - ((-0.13669842 / exp(x1 + x2)) + x0)) / 0.44592768),0.23653647696720217,2.300785 - exp(x2 - (x0 - 0.13669842*exp(-x1 - x2)))/0.44592768,PySRFunction(X=>2.300785 - exp(x2 - (x0 - 0.13669842*exp(-x1 - x2)))/0.44592768)
16,0.13600928,(1.0217735 - exp((x2 - x0) - (-0.13397469 / exp(exp(x1) * x2)))) / 0.4401449,0.06268146491592917,(1.0217735 - exp(-x0 + x2 - (-1)*0.13397469/exp(x2*exp(x1))))/0.4401449,PySRFunction(X=>(1.0217735 - exp(-x0 + x2 - (-1)*0.13397469/exp(x2*exp(x1))))/0.4401449)
17,0.13565779,(1.0013196 - exp((x2 - x0) - (-0.081953436 / exp(square(exp(x1) * x2))))) / 0.432081,0.002587654043826806,(1.0013196 - exp(-x0 + x2 - (-1)*0.081953436/exp(x2**2*exp(2*x1))))/0.432081,PySRFunction(X=>(1.0013196 - exp(-x0 + x2 - (-1)*0.081953436/exp(x2**2*exp(2*x1))))/0.432081)
18,0.09663512,((((3.6964638 - exp(1.4086899 - x0)) / x2) / (x2 - -1.1954443)) + (x1 * 0.1292053)) - 1.7660589,0.33919322843565863,x1*0.1292053 - 1*1.7660589 + (3.6964638 - exp(1.4086899 - x0))/(x2*(x2 - 1*(-1.1954443))),PySRFunction(X=>x1*0.1292053 - 1*1.7660589 + (3.6964638 - exp(1.4086899 - x0))/(x2*(x2 - 1*(-1.1954443))))
20,0.09660557,((((3.8028045 - exp(1.4355559 - x0)) / x2) / (x2 - -1.2417324)) + ((x1 - 0.39581555) * 0.13026755)) + -1.7195444,0.0001529181055518522,(x1 - 1*0.39581555)*0.13026755 - 1.7195444 + (3.8028045 - exp(1.4355559 - x0))/(x2*(x2 - 1*(-1.2417324))),PySRFunction(X=>(x1 - 1*0.39581555)*0.13026755 - 1.7195444 + (3.8028045 - exp(1.4355559 - x0))/(x2*(x2 - 1*(-1.2417324))))
