Complexity,Loss,Equation,score,sympy_format,lambda_format
1,20.174072,-3.3744266,0.0,-3.37442660000000,PySRFunction(X=>-3.37442660000000)
3,12.833089,x2 * -6.879485,0.22618565104653116,x2*(-6.879485),PySRFunction(X=>x2*(-6.879485))
4,7.886343,log(0.8015737 - x2),0.4868943841728694,log(0.8015737 - x2),PySRFunction(X=>log(0.8015737 - x2))
5,7.265199,(x2 * -16.867569) + 6.746658,0.08203684105979511,6.746658 + x2*(-16.867569),PySRFunction(X=>6.746658 + x2*(-16.867569))
6,7.2246695,(x2 + x0) / log(x2),0.005594199243108899,(x0 + x2)/log(x2),PySRFunction(X=>(x0 + x2)/log(x2))
7,6.494228,((x2 * -16.868778) + 7.2475023) - x0,0.10658770661154632,-x0 + x2*(-16.868778) + 7.2475023,PySRFunction(X=>-x0 + x2*(-16.868778) + 7.2475023)
8,6.078987,((x2 * -9.595015) + 3.8033557) * exp(x0),0.06607571214135126,(3.8033557 + x2*(-9.595015))*exp(x0),PySRFunction(X=>(3.8033557 + x2*(-9.595015))*exp(x0))
9,5.6499424,(x2 * -16.869076) + (8.446239 - (x0 / 0.29441836)),0.07319271983855762,-x0/0.29441836 + x2*(-16.869076) + 8.446239,PySRFunction(X=>-x0/0.29441836 + x2*(-16.869076) + 8.446239)
11,5.635569,((x1 + -3.6506386) * x0) + ((x2 * -16.869474) + 8.447805),0.0012736159897622798,x0*(x1 - 3.6506386) + x2*(-16.869474) + 8.447805,PySRFunction(X=>x0*(x1 - 3.6506386) + x2*(-16.869474) + 8.447805)
12,5.446213,((square(x1) - (x0 / 0.29405484)) + (x2 * -16.869967)) + 8.310381,0.03417761367552148,-x0/0.29405484 + x1**2 + x2*(-16.869967) + 8.310381,PySRFunction(X=>-x0/0.29405484 + x1**2 + x2*(-16.869967) + 8.310381)
13,5.326277,(((square(square(x1)) - x0) / 0.32044888) + (x2 * -16.867558)) + 8.072183,0.022268009709360995,x2*(-16.867558) + (-x0 + x1**4)/0.32044888 + 8.072183,PySRFunction(X=>x2*(-16.867558) + (-x0 + x1**4)/0.32044888 + 8.072183)
14,5.3211308,((square(square(square(x1))) - x0) / 0.3004029) + ((x2 * -16.86874) + 8.266251),0.0009666578940894436,x2*(-16.86874) + (-x0 + x1**8)/0.3004029 + 8.266251,PySRFunction(X=>x2*(-16.86874) + (-x0 + x1**8)/0.3004029 + 8.266251)
15,4.618614,(x2 * -16.974478) + ((7.295357 - exp(x0)) + square((x1 + -0.39748812) * 3.5957358)),0.14159117707297594,x2*(-16.974478) + 12.9293159434016*(x1 - 0.39748812)**2 - exp(x0) + 7.295357,PySRFunction(X=>x2*(-16.974478) + 12.9293159434016*(x1 - 0.39748812)**2 - exp(x0) + 7.295357)
19,4.0235724,((x0 + 1.1808456) / (x1 + 0.24294631)) - square(x1 - ((exp(x2 + 0.5256892) + -0.6954053) + x0)),0.034481123839726575,(x0 + 1.1808456)/(x1 + 0.24294631) - (x1 - (x0 + exp(x2 + 0.5256892) - 0.6954053))**2,PySRFunction(X=>(x0 + 1.1808456)/(x1 + 0.24294631) - (x1 - (x0 + exp(x2 + 0.5256892) - 0.6954053))**2)
20,2.7187588,(exp(x0) + (0.36202124 / (x1 + 0.060153868))) - square((exp(x2 + 0.57357216) - x1) + (x0 + -0.9213585)),0.39199471209451126,-(x0 - x1 + exp(x2 + 0.57357216) - 0.9213585)**2 + exp(x0) + 0.36202124/(x1 + 0.060153868),PySRFunction(X=>-(x0 - x1 + exp(x2 + 0.57357216) - 0.9213585)**2 + exp(x0) + 0.36202124/(x1 + 0.060153868))
