Complexity,Loss,Equation,score,sympy_format,lambda_format
1,49.501083,-5.1158385,0.0,-5.11583850000000,PySRFunction(X=>-5.11583850000000)
3,32.823914,x2 * -10.36942,0.2054186065104274,x2*(-10.36942),PySRFunction(X=>x2*(-10.36942))
4,24.400885,2.1912556 / log(x2),0.2965379329691304,2.1912556/log(x2),PySRFunction(X=>2.1912556/log(x2))
5,21.105757,(x2 * -25.576847) + 10.231715,0.14507355526433086,10.231715 + x2*(-25.576847),PySRFunction(X=>10.231715 + x2*(-25.576847))
7,20.435087,((0.39019433 - x2) * 25.572838) + x1,0.016146236230087617,x1 + (0.39019433 - x2)*25.572838,PySRFunction(X=>x1 + (0.39019433 - x2)*25.572838)
8,17.896336,((0.39995062 - x2) * 31.828083) / exp(x1),0.13265737525183335,(0.39995062 - x2)*31.828083/exp(x1),PySRFunction(X=>(0.39995062 - x2)*31.828083/exp(x1))
9,17.425352,((0.40099627 - x2) / (x1 + 0.4606988)) * 16.093142,0.026669841853476543,(0.40099627 - x2)*16.093142/(x1 + 0.4606988),PySRFunction(X=>(0.40099627 - x2)*16.093142/(x1 + 0.4606988))
10,17.42533,(2.157188 - square(x2 * -3.6578894)) / (x1 + 0.4594376),1.2625290948968172e-06,(2.157188 - 13.3801548626324*x2**2)/(x1 + 0.4594376),PySRFunction(X=>(2.157188 - 13.3801548626324*x2**2)/(x1 + 0.4594376))
11,16.906664,((x2 / (x1 + 0.03316672)) + 18.936174) * (0.3498356 - x2),0.03021703104214852,(0.3498356 - x2)*(x2/(x1 + 0.03316672) + 18.936174),PySRFunction(X=>(0.3498356 - x2)*(x2/(x1 + 0.03316672) + 18.936174))
13,14.822722,((x2 * ((x1 * -16.583511) - x2)) / (x1 - -0.025034437)) + 6.475781,0.06577329500717595,x2*(x1*(-16.583511) - x2)/(x1 - 1*(-0.025034437)) + 6.475781,PySRFunction(X=>x2*(x1*(-16.583511) - x2)/(x1 - 1*(-0.025034437)) + 6.475781)
14,14.77773,2.4569128 + (((x1 * -14.52655) - x2) * (square(x2) / (x1 - -0.02309772))),0.0030399559201886193,x2**2*(x1*(-14.52655) - x2)/(x1 - 1*(-0.02309772)) + 2.4569128,PySRFunction(X=>x2**2*(x1*(-14.52655) - x2)/(x1 - 1*(-0.02309772)) + 2.4569128)
16,14.775512,(((square(x2) * ((x1 * -14.52655) - x2)) / (x1 - -0.02309772)) - 0.029730935) + 2.4569128,7.505098777870613e-05,x2**2*(x1*(-14.52655) - x2)/(x1 - 1*(-0.02309772)) - 1*0.029730935 + 2.4569128,PySRFunction(X=>x2**2*(x1*(-14.52655) - x2)/(x1 - 1*(-0.02309772)) - 1*0.029730935 + 2.4569128)
20,14.773709,(((((x1 * -14.52655) - x2) * (square(x2) / (x1 - -0.02309772))) - 0.02184796) - (x0 * 0.02184796)) + 2.4569128,3.0508418516998428e-05,-0.02184796*x0 + x2**2*(x1*(-14.52655) - x2)/(x1 - 1*(-0.02309772)) - 1*0.02184796 + 2.4569128,PySRFunction(X=>-0.02184796*x0 + x2**2*(x1*(-14.52655) - x2)/(x1 - 1*(-0.02309772)) - 1*0.02184796 + 2.4569128)
