Complexity,Loss,Equation,score,sympy_format,lambda_format
1,4.717999,-0.74826366,0.0,-0.748263660000000,PySRFunction(X=>-0.748263660000000)
3,3.8821833,x2 * -1.7984079,0.09749353373512654,x2*(-1.7984079),PySRFunction(X=>x2*(-1.7984079))
4,3.4908574,0.34127727 / log(x2),0.10625032216697486,0.34127727/log(x2),PySRFunction(X=>0.34127727/log(x2))
5,3.2237587,log(x1 - log(x2)),0.07959940246380472,log(x1 - log(x2)),PySRFunction(X=>log(x1 - log(x2)))
6,3.0029423,(0.40246964 / log(x2)) + x1,0.07095540223282465,x1 + 0.40246964/log(x2),PySRFunction(X=>x1 + 0.40246964/log(x2))
7,2.9525578,square(x2 - x1) / log(x2),0.016920729169650338,(-x1 + x2)**2/log(x2),PySRFunction(X=>(-x1 + x2)**2/log(x2))
8,2.800187,((x0 * x1) - square(x2)) * 2.953842,0.052985644862357746,(x0*x1 - x2**2)*2.953842,PySRFunction(X=>(x0*x1 - x2**2)*2.953842)
9,2.7697139,square(square((x1 * x1) - x2)) * -5.4307914,0.010942170998969734,(x1*x1 - x2)**4*(-5.4307914),PySRFunction(X=>(x1*x1 - x2)**4*(-5.4307914))
10,2.7577863,((x0 * x1) - square(x2)) * (x0 + 2.363905),0.004315736981142355,(x0 + 2.363905)*(x0*x1 - x2**2),PySRFunction(X=>(x0 + 2.363905)*(x0*x1 - x2**2))
11,2.752067,(x0 + -5.925374) * square(square((x1 * x1) - x2)),0.002076026980293052,(x0 - 5.925374)*(x1*x1 - x2)**4,PySRFunction(X=>(x0 - 5.925374)*(x1*x1 - x2)**4)
12,2.6642914,square(square(x0)) - square(square((x2 - square(x1)) * 1.5469265)),0.032414134624480756,x0**4 - 5.72636092071986*(-x1**2 + x2)**4,PySRFunction(X=>x0**4 - 5.72636092071986*(-x1**2 + x2)**4)
13,2.6469245,square(square(square(x0))) - square(square((square(x1) - x2) * 1.5383556)),0.006539731098375306,x0**8 - 5.60050187849945*(x1**2 - x2)**4,PySRFunction(X=>x0**8 - 5.60050187849945*(x1**2 - x2)**4)
14,2.6359458,square(square(x0 / 1.0988393)) - square(square((x2 - square(x1)) * 1.5405457)),0.004156345009997826,0.685903889693228*x0**4 - 5.63246296027141*(-x1**2 + x2)**4,PySRFunction(X=>0.685903889693228*x0**4 - 5.63246296027141*(-x1**2 + x2)**4)
16,2.621778,(square((x0 + -0.3710548) / 1.7923361) - square(square(x2 - (x1 * x1)))) * 5.694231,0.002694670703691926,(0.311287080071278*(x0 - 0.3710548)**2 - (-x1*x1 + x2)**4)*5.694231,PySRFunction(X=>(0.311287080071278*(x0 - 0.3710548)**2 - (-x1*x1 + x2)**4)*5.694231)
19,2.285347,square(square(square(square(square((x2 * 1.5190382) - square(x1))) - ((x2 - x1) * 1.4132068)))) * -1.1695461,0.04577828026396211,(-1.4132068*(-x1 + x2) + (-x1**2 + x2*1.5190382)**4)**8*(-1.1695461),PySRFunction(X=>(-1.4132068*(-x1 + x2) + (-x1**2 + x2*1.5190382)**4)**8*(-1.1695461))
