Complexity,Loss,Equation,score,sympy_format,lambda_format
1,21.013187,-3.173206,0.0,-3.17320600000000,PySRFunction(X=>-3.17320600000000)
3,14.169565,x2 * -6.5326734,0.1970269192262712,x2*(-6.5326734),PySRFunction(X=>x2*(-6.5326734))
4,10.259824,log(0.8044056 - x2),0.32286066897284593,log(0.8044056 - x2),PySRFunction(X=>log(0.8044056 - x2))
5,9.098688,(x2 * -15.864057) + 6.3453403,0.12010545829509547,6.3453403 + x2*(-15.864057),PySRFunction(X=>6.3453403 + x2*(-15.864057))
7,8.4073715,(x0 + 5.845757) - (x2 * 15.86445),0.039510673380726107,x0 - 15.86445*x2 + 5.845757,PySRFunction(X=>x0 - 15.86445*x2 + 5.845757)
8,8.021191,(exp(x0) + 4.624473) + (x2 * -15.864339),0.04702196594936049,x2*(-15.864339) + exp(x0) + 4.624473,PySRFunction(X=>x2*(-15.864339) + exp(x0) + 4.624473)
9,7.749913,(x2 * -15.863468) - ((x0 * -3.229876) + -4.72991),0.03440529709768833,x2*(-15.863468) - (x0*(-3.229876) - 4.72991),PySRFunction(X=>x2*(-15.863468) - (x0*(-3.229876) - 4.72991))
10,7.6553707,(x2 * -19.022474) + (exp(x2 + x0) + 5.04137),0.012274163693194087,x2*(-19.022474) + exp(x0 + x2) + 5.04137,PySRFunction(X=>x2*(-19.022474) + exp(x0 + x2) + 5.04137)
12,7.138566,5.90308 - ((x2 * 8.27985) * (exp(-67.17185 * x1) - -1.8016666)),0.034947768979181344,5.90308 - 8.27985*x2*(-1*(-1.8016666) + exp(-67.17185*x1)),PySRFunction(X=>5.90308 - 8.27985*x2*(-1*(-1.8016666) + exp(-67.17185*x1)))
13,6.8895335,5.9003944 - ((exp(exp(x2 + (x1 * -29.231773))) - -13.229434) * x2),0.03550853993236101,5.9003944 - x2*(exp(exp(x1*(-29.231773) + x2)) - 1*(-13.229434)),PySRFunction(X=>5.9003944 - x2*(exp(exp(x1*(-29.231773) + x2)) - 1*(-13.229434)))
14,6.075049,((x0 + 3.8294446) - exp(exp(x2))) * (exp(x1 * -49.171494) - -1.1768932),0.12581332087417163,(exp(x1*(-49.171494)) - 1*(-1.1768932))*(x0 - exp(exp(x2)) + 3.8294446),PySRFunction(X=>(exp(x1*(-49.171494)) - 1*(-1.1768932))*(x0 - exp(exp(x2)) + 3.8294446))
15,5.4888825,exp(x0) - (exp(exp(x2)) * (x2 * (exp(x1 * -67.1268) - -1.0093096))),0.10146537214833616,-x2*(exp(x1*(-67.1268)) - 1*(-1.0093096))*exp(exp(x2)) + exp(x0),PySRFunction(X=>-x2*(exp(x1*(-67.1268)) - 1*(-1.0093096))*exp(exp(x2)) + exp(x0))
16,5.376318,(((x0 + x0) - exp(exp(x2))) * (exp(x1 * -77.63598) - -1.2281563)) + 4.639777,0.02072092963220383,(exp(x1*(-77.63598)) - 1*(-1.2281563))*(x0 + x0 - exp(exp(x2))) + 4.639777,PySRFunction(X=>(exp(x1*(-77.63598)) - 1*(-1.2281563))*(x0 + x0 - exp(exp(x2))) + 4.639777)
17,5.106528,(x0 + exp(x0)) - (exp(exp(x2)) * (x2 * (exp(x1 * -67.1268) - -1.0093096))),0.051484032028504496,x0 - x2*(exp(x1*(-67.1268)) - 1*(-1.0093096))*exp(exp(x2)) + exp(x0),PySRFunction(X=>x0 - x2*(exp(x1*(-67.1268)) - 1*(-1.0093096))*exp(exp(x2)) + exp(x0))
18,4.995391,((square(x0) - (exp(exp(x2)) * x2)) * (exp(x1 * -67.1268) - -1.0093096)) + exp(x0),0.022004033913449867,(x0**2 - x2*exp(exp(x2)))*(exp(x1*(-67.1268)) - 1*(-1.0093096)) + exp(x0),PySRFunction(X=>(x0**2 - x2*exp(exp(x2)))*(exp(x1*(-67.1268)) - 1*(-1.0093096)) + exp(x0))
19,4.612894,((exp(x0) + x0) - ((exp(exp(x2)) * x2) * (exp(x1 * -57.957977) - -0.99283147))) - x1,0.07966026154244948,x0 - x1 - x2*(exp(x1*(-57.957977)) - 1*(-0.99283147))*exp(exp(x2)) + exp(x0),PySRFunction(X=>x0 - x1 - x2*(exp(x1*(-57.957977)) - 1*(-0.99283147))*exp(exp(x2)) + exp(x0))
20,4.5926576,((exp(x0) + square(x0)) - ((exp(exp(x2)) * x2) * (exp(x1 * -57.957977) - -0.99283147))) - x1,0.004396571433522367,x0**2 - x1 - x2*(exp(x1*(-57.957977)) - 1*(-0.99283147))*exp(exp(x2)) + exp(x0),PySRFunction(X=>x0**2 - x1 - x2*(exp(x1*(-57.957977)) - 1*(-0.99283147))*exp(exp(x2)) + exp(x0))
