Complexity,Loss,Equation,score,sympy_format,lambda_format
1,5.819459,x0,0.0,x0,PySRFunction(X=>x0)
2,5.660991,square(x0),0.027608336868132008,x0**2,PySRFunction(X=>x0**2)
3,5.462659,x0 - 0.59713566,0.03566329767856037,x0 - 1*0.59713566,PySRFunction(X=>x0 - 1*0.59713566)
4,3.875903,log(x0 + 0.00046152453),0.3431569996340038,log(x0 + 0.00046152453),PySRFunction(X=>log(x0 + 0.00046152453))
6,0.8090534,(x0 - 0.472625) / square(x2),0.7833345123005255,(x0 - 1*0.472625)/(x2**2),PySRFunction(X=>(x0 - 1*0.472625)/(x2**2))
7,0.3157587,(x0 - 0.5757662) / (0.17573336 / x2),0.9408866080014698,(x0 - 1*0.5757662)/((0.17573336/x2)),PySRFunction(X=>(x0 - 1*0.5757662)/((0.17573336/x2)))
9,0.28098354,((x0 + -0.4144454) / (x2 / 1.8201547)) + -0.38930985,0.058341111594786325,-0.38930985 + (x0 - 0.4144454)/((x2/1.8201547)),PySRFunction(X=>-0.38930985 + (x0 - 0.4144454)/((x2/1.8201547)))
10,0.25848788,((x0 + -0.3446157) / x2) + log(x0 + 0.24964674),0.08344728413638997,log(x0 + 0.24964674) + (x0 - 0.3446157)/x2,PySRFunction(X=>log(x0 + 0.24964674) + (x0 - 0.3446157)/x2)
12,0.12075529,(log(x0 + 0.70362794) / x2) + ((x0 + -0.71511817) * 1.7915537),0.38054135293617336,1.7915537*x0 - 1.28117260340073 + log(x0 + 0.70362794)/x2,PySRFunction(X=>1.7915537*x0 - 1.28117260340073 + log(x0 + 0.70362794)/x2)
14,0.10394502,(log(x0 + 0.3908675) + (((x0 + -0.3673859) / x2) / 0.85161775)) - 0.21269977,0.07495199779418811,log(x0 + 0.3908675) - 0.21269977 + 1.17423574132878*(x0 - 0.3673859)/x2,PySRFunction(X=>log(x0 + 0.3908675) - 0.21269977 + 1.17423574132878*(x0 - 0.3673859)/x2)
16,0.042494677,(x0 * 1.7932848) + ((log(x0 + 0.70482165) / x2) - (1.3036638 - (x1 * 0.07828043))),0.4472416422405132,1.7932848*x0 + 0.07828043*x1 - 1.3036638 + log(x0 + 0.70482165)/x2,PySRFunction(X=>1.7932848*x0 + 0.07828043*x1 - 1.3036638 + log(x0 + 0.70482165)/x2)
18,0.042494632,(((x2 + log(x0 + 0.70482624)) / x2) - 2.3036563) + ((x0 * 1.7932833) - (x1 * -0.07828712)),5.294783606716769e-07,1.7932833*x0 + 0.07828712*x1 - 2.3036563 + (x2 + log(x0 + 0.70482624))/x2,PySRFunction(X=>1.7932833*x0 + 0.07828712*x1 - 2.3036563 + (x2 + log(x0 + 0.70482624))/x2)
19,0.03675531,(((1.7934096 * x0) + ((log(x0 + 0.704908) + x2) / x2)) - 2.297197) - (square(x1) * -0.094484985),0.14509505705363962,1.7934096*x0 + 0.094484985*x1**2 - 2.297197 + (x2 + log(x0 + 0.704908))/x2,PySRFunction(X=>1.7934096*x0 + 0.094484985*x1**2 - 2.297197 + (x2 + log(x0 + 0.704908))/x2)
