# param=alphaq z=3.6 tol=0.25 log_space=True source=results/single_z_stage9/refit/z3.6/pareto_alphaq.csv
Complexity,Loss,grad_err,n_keep,gate_pass,x0_enters
19,12.832371,0.1731560104202839,48,True,True
18,13.657217,0.11719311220936701,48,True,True
17,13.738954,0.16411054858545798,48,True,True
16,14.281155,0.11881390116315627,48,True,True
15,14.891773,0.11303974261825206,48,True,True
14,15.178467,0.10882803690337334,48,True,True
13,16.819965,0.08390686732284874,48,True,True
12,22.257145,0.10723875715671338,48,True,True
11,24.46275,0.0854134144192944,48,True,True
10,28.056396,0.11391467906951114,48,True,True
9,33.277237,0.31707746205001125,48,False,True
8,34.943367,0.28033529273455676,48,False,True
7,38.636494,0.354507475209129,48,False,True
6,38.766045,0.20008310275531044,48,True,True
5,40.13024,0.17290698816573352,48,True,True
3,41.740578,0.11698104874886972,48,True,True
