# param=herei z=3.6 tol=0.25 log_space=True source=results/single_z_stage9/refit/z3.6/pareto_herei.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
19,0.84268415,0.05994063632540658,0.00011450972424910117,48,True,True
18,0.93606794,0.15505796262468707,0.0002657774141534894,48,True,True
16,1.0046341,0.19215117570296425,0.00029141742381978523,48,True,True
15,1.0793773,0.1907605049291169,0.0002934858413437408,48,True,True
13,1.2544895,0.17621289403314144,0.00032845327700837054,48,True,True
12,1.6813776,0.07016722713693868,0.0005767853863703755,48,True,True
11,1.9920255,0.31410513846395394,0.0013853010257784699,48,False,True
10,2.0719934,0.21308738751853884,0.00020571000778171893,48,True,True
9,2.4544384,0.17192888306749343,0.0009526697445352679,48,True,True
8,2.9507434,0.24606291075960696,0.0006804599876841577,48,True,True
7,3.1111324,0.34849923376166414,0.000369524361030651,48,False,True
6,3.614477,0.2786097556683663,0.0012980139711001313,48,False,True
5,4.051184,0.14140205392809324,0.0006376347086199382,48,True,True
4,8.923369,0.25455280378271616,0.0004294172928007236,48,False,True
3,10.02052,0.405131607317031,0.007987521614729905,48,False,True
2,22.978804,0.12516293099112008,0.010857550747928772,48,True,True
1,24.636395,0.48817524938679324,0.0036206010157066025,48,False,True
