# param=hireionz z=3.6 tol=0.25 log_space=True source=results/single_z_stage9/refit/z3.6/pareto_hireionz.csv
Complexity,Loss,grad_err,value_mse,n_keep,gate_pass,x0_enters
19,8.350775,0.09022214769538028,0.0006344252889264301,48,True,True
18,8.370912,0.09002199415133666,0.0006311532921871736,48,True,True
17,8.536063,0.08950493988394509,0.0006162877684553774,48,True,True
16,8.553092,0.08259025453849167,0.000641654605118878,48,True,True
15,8.557314,0.09129790739258364,0.0006411063043557599,48,True,True
14,10.101456,0.06584542768271529,0.0007203644678511258,48,True,True
13,12.407663,0.11022063931902948,0.0004920386409714755,48,True,True
12,19.321575,0.5206772131564242,0.0004939017927637232,48,False,True
10,20.516106,0.3355737529324295,0.0003401193981675725,48,False,True
8,27.056368,0.2478705106792703,0.00034136105463572773,48,True,True
7,32.181904,0.19999977915608158,0.0005464704981979305,48,True,True
6,32.463573,0.1287150244781612,0.0005454833910536158,48,True,True
5,38.239635,0.08123750192060503,0.0005710735806323582,48,True,True
3,56.24623,0.09118365409409823,0.0006867534251841592,48,True,True
