# param=hub z=3.6 tol=0.25 log_space=True source=results/single_z_stage9/refit/z3.6/pareto_hub.csv
Complexity,Loss,grad_err,n_keep,gate_pass,x0_enters
19,395.44305,0.9351005293784362,48,False,True
17,396.74377,0.9785136734932881,48,False,True
16,408.21143,0.9737749859580562,48,False,True
14,412.45938,1.0221648789211684,48,False,True
13,419.16968,1.004255577864444,48,False,True
12,419.63235,0.9930240940220535,48,False,True
11,427.04666,1.0675325939641493,48,False,True
10,433.19305,1.0678296426145906,48,False,True
8,446.32306,1.0138358469997737,48,False,True
6,462.3189,1.0139904614085737,48,False,True
